geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00104757,28.9,42.1,10.5,18.4
E00105850,33.8,37.2,17.6,11.5
E00105851,30.1,36.8,14,19.1
E00105852,40.6,33.8,14.3,11.3
E00105853,50,37.9,6.9,5.2
E00105854,31.1,47.3,6.8,14.9
E00105855,37.6,38.3,15.8,8.3
E00105859,33,40.2,10.3,16.5
E00105866,28.4,44.7,12.1,14.9
E00105869,37,37,13,13
E00105870,30.8,41.1,15.1,13
E00105871,44.2,25.7,14.2,15.9
E00105872,35.9,41.4,10.2,12.5
E00105873,37,30.7,13.4,18.9
E00105874,32.8,32.8,20.2,14.3
E00105875,33.1,44.4,13.7,8.9
E00105876,34.9,38.9,14.3,11.9
E00105886,26.5,40,18.5,15
E00105887,18.7,48,13.3,20
E00105891,29.1,42.4,13.9,14.6
E00105892,35.1,35.9,15.3,13.7
E00105893,26.1,42.8,15.2,15.9
E00105894,32.1,42.1,16.4,9.3
E00105895,37.4,36.5,14.8,11.3
E00105897,21.6,47.7,12.5,18.2
E00105898,40.2,45.8,12.1,1.9
E00105899,48.3,30.8,10,10.8
E00105900,40.8,45.6,7.8,5.8
E00105901,34.7,37.9,17.7,9.7
E00105903,25.5,38.3,17,19.1
E00105905,31.7,46.2,11.8,10.2
E00105906,32.9,45.6,11.4,10.1
E00105907,21.4,37.5,12.5,28.6
E00105908,23,45.2,17,14.8
E00105909,39.1,30.4,17.4,13
E00105910,43.6,29.9,12.8,13.7
E00105911,32.3,44.4,12.9,10.5
E00105912,31.1,43.7,8.9,16.3
E00105960,29.7,37.6,13.9,18.8
E00105961,39.4,26.9,19.2,14.4
E00105966,15.4,52.4,16.8,15.4
E00105968,48.1,41.1,3.1,7.8
E00105977,21.8,53.8,12.8,11.5
E00106032,33.1,44.4,9.7,12.9
E00106033,40.1,36.2,13.2,10.5
E00106034,26.8,46.5,15.3,11.5
E00106035,24.1,45.4,16.7,13.9
E00106036,43.7,39.1,9.9,7.3
E00106038,52,35.4,8.7,3.9
E00106039,35.3,34.5,17.3,12.9
E00106040,36.7,40.8,15.8,6.7
E00106041,32.8,33.6,19,14.7
E00106042,28.5,40.8,19.2,11.5
E00106044,33.1,40.5,16.6,9.8
E00106049,33,34.8,12.2,20
E00106050,26.2,41.5,15.4,16.9
E00106051,46.7,29,14,10.3
E00106052,33.3,27.5,24.8,14.4
E00106053,29.8,34.7,15.7,19.8
E00106054,33.1,33.1,16.2,17.6
E00106055,37.9,34.5,13.8,13.8
E00106056,8.1,44.6,32.4,14.9
E00106105,28.4,42.6,12.1,17
E00106106,34.3,42.7,12.6,10.5
E00106107,33.6,39.7,12.2,14.5
E00106108,24.2,43.8,15.7,16.3
E00106109,26.2,42.3,13.7,17.9
E00106110,43.4,30.1,13.2,13.2
E00106111,32.5,46.8,12.7,7.9
E00106112,38.6,37.1,12.9,11.4
E00106113,28.5,43.1,16.9,11.5
E00106115,22.9,47.3,14.5,15.3
E00171802,41.3,41.3,13.3,4.2
E00171831,29.7,38.6,11.9,19.8
