areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
W00000001,99.7,0.3,0
W00000002,99.6,0.4,0
W00000003,99.7,0.3,0
W00000004,98.5,1.5,0
W00000022,98,1,1
W00000023,100,0,0
W00000024,100,0,0
W00000025,100,0,0
W00000026,100,0,0
W00000027,99.7,0,0.3
W00000028,99.7,0.3,0
W00000029,98.5,0.4,1.1
W00000030,98.9,1.1,0
W00000031,99.6,0.4,0
W00000037,99.8,0.2,0
W00000038,99.5,0.2,0.2
W00000039,96.3,3.7,0
W00000040,98.9,1.1,0
W00000041,100,0,0
W00000042,100,0,0
W00000043,99.2,0,0.8
W00000044,99.2,0.8,0
W00000045,98.8,0.9,0.3
W00000046,99.6,0,0.4
W00000047,99.6,0.4,0
W00000052,100,0,0
W00000053,99.3,0.7,0
W00000054,97.3,1.5,1.1
W00000055,98.6,1.1,0.3
W00000056,95.4,2.5,2.1
W00000064,100,0,0
W00000065,92.7,5,2.3
W00000066,99.6,0,0.4
W00000067,98.9,0.6,0.6
W00000068,97.6,2.4,0
W00000069,99.7,0,0.3
W00000075,100,0,0
W00000076,94.8,2.8,2.4
W00000077,97.6,2.2,0.3
W00000078,98.9,1.1,0
W00000079,99.6,0.4,0
W00000080,99.4,0.6,0
W00000081,99.3,0.3,0.3
W00000082,99.5,0.5,0
W00000083,100,0,0
W00000091,100,0,0
W00000092,100,0,0
W00000093,99.4,0.6,0
W00000094,99.6,0.4,0
W00000095,99.5,0.5,0
W00000096,98.5,0.5,1
W00000097,100,0,0
W00000098,99.7,0.3,0
W00000099,100,0,0
W00000109,100,0,0
W00000110,99.7,0.3,0
W00000113,100,0,0
W00000114,99.7,0.3,0
W00000115,99.8,0.2,0
W00000116,98.2,1.8,0
W00000117,97.9,2.1,0
W00000118,98.6,1.4,0
W00000119,99.6,0,0.4
W00000120,99.5,0.5,0
W00000121,96.7,3.3,0
W00000122,99.7,0.3,0
W00000123,99.1,0.9,0
W00000124,100,0,0
W00000125,98.6,1.4,0
W00000126,100,0,0
W00000132,100,0,0
W00000133,99,0.8,0.2
W00000134,99.1,0.9,0
W00000135,100,0,0
W00000136,99,1,0
W00000137,98.7,1.3,0
W00000139,99,0.7,0.2
W00000140,99,1,0
W00000143,100,0,0
W00000144,99.6,0.4,0
W00000145,100,0,0
W00000146,99.3,0.7,0
W00000147,98.9,0.8,0.4
W00000148,100,0,0
W00000149,99.4,0.3,0.3
W00000150,99.7,0.3,0
W00000151,100,0,0
W00000152,98.2,1.4,0.4
W00000153,97.7,2.3,0
W00000154,98.5,1.5,0
W00000155,100,0,0
W00000165,99.5,0.5,0
W00000166,96.7,1.6,1.6
W00000167,100,0,0
W00000168,99.6,0.4,0
W00000169,100,0,0
W00000170,100,0,0
W00000171,99.2,0.5,0.3
W00000172,98.5,1.3,0.2
W00000173,100,0,0
W00000180,99.6,0,0.4
W00000181,99.6,0,0.4
W00000182,98,1.2,0.8
W00000183,99,1,0
W00000184,99.6,0,0.4
W00000185,99,0.7,0.3
W00000186,99.6,0.4,0
W00000187,99.3,0.7,0
W00000188,99.4,0.6,0
W00000189,99.2,0.8,0
W00000190,98.9,1.1,0
W00000191,99.4,0.6,0
W00000192,97.7,2.3,0
W00000193,99.6,0,0.4
W00000194,99.4,0.6,0
W00000195,100,0,0
W00000196,99.7,0.3,0
W00000197,100,0,0
W00000198,99.7,0.3,0
W00000199,100,0,0
W00000200,100,0,0
W00000201,100,0,0
W00000202,99,1,0
W00000203,99.7,0,0.3
W00000204,99.5,0.5,0
W00000205,100,0,0
W00000206,100,0,0
W00000207,100,0,0
W00000208,98.5,1.2,0.2
W00000209,99.2,0.8,0
W00000210,100,0,0
W00000211,100,0,0
W00000212,99.6,0,0.4
W00000220,99.5,0.3,0.3
W00000221,100,0,0
W00000222,100,0,0
W00000223,99,0.3,0.7
W00000224,100,0,0
W00000225,100,0,0
W00000226,100,0,0
W00000227,99.6,0.4,0
W00000228,99.6,0.4,0
W00000229,99.7,0.3,0
W00000230,97.2,2.8,0
W00000236,98.9,1.1,0
W00000237,98.9,1.1,0
W00000238,99.6,0.4,0
W00000239,99.6,0.4,0
W00000240,98.8,1.2,0
W00000250,98.5,1.5,0
W00000251,98.5,1.5,0
W00000252,99.4,0.6,0
W00000253,98.8,1.2,0
W00000271,100,0,0
W00000272,99.5,0.5,0
W00000273,99.7,0,0.3
W00000274,99.4,0.6,0
W00000275,99.4,0.6,0
W00000276,98.2,1.2,0.6
W00000277,98.4,1.6,0
W00000293,100,0,0
W00000294,100,0,0
W00000295,97.1,1.4,1.4
W00000296,99.6,0,0.4
W00000297,100,0,0
W00000298,99.7,0.3,0
W00000299,97.6,1.9,0.5
W00000300,87.2,9.8,3
W00000301,100,0,0
W00000302,97.9,1.6,0.5
W00000303,99.2,0.8,0
W00000308,94.3,4.3,1.3
W00000309,95.5,4.1,0.4
W00000310,99.3,0.7,0
W00000311,98.7,1.3,0
W00000312,97.1,2.6,0.2
W00000313,99.6,0.4,0
W00000337,98.7,1.3,0
W00000338,99.6,0.4,0
W00000357,100,0,0
W00000358,100,0,0
W00000359,98.8,0.8,0.4
W00000360,99.3,0.7,0
W00000376,99.6,0.4,0
W00000377,99.6,0.4,0
W00000378,100,0,0
W00000379,99.4,0.6,0
W00000380,98.9,0.4,0.7
W00000381,100,0,0
W00000399,99.3,0.3,0.3
W00000400,100,0,0
W00000401,96.1,3.5,0.4
W00000402,98.3,1.4,0.3
W00000403,100,0,0
W00000404,98.9,1.1,0
W00000409,88.3,10.5,1.2
W00000410,100,0,0
W00000411,98.7,1.3,0
W00000423,98.1,1.9,0
W00000424,100,0,0
W00000425,100,0,0
W00000426,99.5,0,0.5
W00000435,99.4,0.6,0
W00000436,99.4,0.6,0
W00000437,98.7,0,1.3
W00000438,99.5,0.5,0
W00000448,99.4,0.6,0
W00000449,99.4,0.6,0
W00000450,99.4,0.6,0
W00000451,100,0,0
W00000452,100,0,0
W00000453,99.7,0.3,0
W00000454,99.4,0,0.6
W00000455,99.1,0.6,0.3
W00000456,100,0,0
W00000457,99.3,0.7,0
W00000458,99,1,0
W00000459,100,0,0
W00000473,94.4,4.4,1.2
W00000474,97.5,2.5,0
W00000475,99.7,0.3,0
W00000476,98.3,1.4,0.3
W00000477,97.8,2.2,0
W00000478,97.7,1.9,0.5
W00000479,97.9,2.1,0
W00000480,100,0,0
W00000481,99.7,0.3,0
W00000482,99.2,0.8,0
W00000483,99.5,0.5,0
W00000484,100,0,0
W00000485,100,0,0
W00000486,99.1,0.9,0
W00000487,99.5,0.5,0
W00000488,98.9,0.4,0.7
W00000489,98.2,1.5,0.4
W00000498,100,0,0
W00000499,100,0,0
W00000500,95.9,3.1,1
W00000501,97.4,2,0.6
W00000502,98.2,1.3,0.6
