areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
W00000001,77.5,17.2,5.3
W00000002,62.9,27.8,9.3
W00000003,74.1,18.6,7.3
W00000004,76.4,20.1,3.5
W00000022,81.7,13.5,4.8
W00000023,79.3,14.8,5.9
W00000024,81.1,13,5.9
W00000025,81.6,13.5,4.9
W00000026,77.2,17.1,5.7
W00000027,73.9,19.3,6.8
W00000028,74.8,16.2,9
W00000029,77.3,14.8,7.9
W00000030,90.7,7.3,2.1
W00000031,87.2,9,3.8
W00000037,79.3,14.5,6.2
W00000038,76.1,17,6.9
W00000039,84.5,11.1,4.4
W00000040,73.9,19.9,6.3
W00000041,78.3,14,7.7
W00000042,73.3,18.3,8.4
W00000043,76.4,17.1,6.6
W00000044,80.8,15.6,3.6
W00000045,84.3,11.6,4.2
W00000046,71.6,22.5,6
W00000047,79.2,15.6,5.2
W00000052,82.7,14,3.3
W00000053,88.1,9.1,2.8
W00000054,86.2,11.5,2.3
W00000055,68.7,22.3,9.1
W00000056,77,15.8,7.2
W00000064,88.7,9.2,2.1
W00000065,72.5,20.4,7
W00000066,77,17.9,5.1
W00000067,85.6,10,4.4
W00000068,86.1,10.8,3.1
W00000069,83.7,12.4,3.9
W00000075,76.8,15.5,7.7
W00000076,72.9,18,9
W00000077,78.7,15.2,6.2
W00000078,79.1,12.9,7.9
W00000079,81.8,12.1,6.1
W00000080,81.3,13.6,5.2
W00000081,76.8,16.5,6.7
W00000082,81.6,13.2,5.2
W00000083,80.8,13,6.2
W00000091,79.6,16.4,4
W00000092,70.9,20.9,8.1
W00000093,67.6,26.6,5.8
W00000094,74.1,21.4,4.5
W00000095,70.5,20.7,8.8
W00000096,76.8,16.9,6.3
W00000097,86.6,11,2.4
W00000098,84.9,13.2,1.9
W00000099,80.7,14.3,5.1
W00000109,78.1,13.8,8.1
W00000110,79.4,14.8,5.8
W00000113,73,19,8
W00000114,77.7,14.9,7.3
W00000115,86.9,8.5,4.6
W00000116,87.2,7.8,5
W00000117,95.6,4.4,0
W00000118,80.7,11.6,7.6
W00000119,79.3,15.9,4.8
W00000120,80.4,12.2,7.4
W00000121,84.7,12.8,2.4
W00000122,81.2,15.1,3.7
W00000123,84.4,11.6,4
W00000124,82.2,14.1,3.7
W00000125,81.3,13.2,5.5
W00000126,85.7,9.9,4.4
W00000132,81.6,13.9,4.5
W00000133,83.2,11.5,5.3
W00000134,84.5,11.3,4.2
W00000135,66.5,29.9,3.6
W00000136,78.7,12.2,9.1
W00000137,81.6,11.8,6.6
W00000139,79.8,13.8,6.4
W00000140,84.2,12,3.8
W00000143,74.1,19.4,6.5
W00000144,78.3,14.1,7.6
W00000145,81,14.4,4.6
W00000146,77.8,11.8,10.4
W00000147,75.8,17.6,6.6
W00000148,57.6,23.3,19.2
W00000149,84.9,12.2,3
W00000150,77.6,16.5,5.9
W00000151,73.9,18,8
W00000152,79.8,15.5,4.7
W00000153,78.8,15.5,5.8
W00000154,73.6,16.1,10.4
W00000155,76.7,15.2,8.2
W00000165,79,13.2,7.8
W00000166,78.5,12.9,8.6
