geography_code,disability_3a-001,disability_3a-002
W00000001,19.2,80.8
W00000002,34.2,65.8
W00000003,17.8,82.2
W00000004,21.8,78.2
W00000022,19,81
W00000023,21,79
W00000024,17.9,82.1
W00000025,21.3,78.7
W00000026,22.7,77.3
W00000027,26.3,73.7
W00000028,23.4,76.6
W00000029,19.9,80.1
W00000030,12.4,87.6
W00000031,14.7,85.3
W00000037,19.4,80.6
W00000038,26.1,73.9
W00000039,14.3,85.7
W00000040,23.4,76.6
W00000041,19.5,80.5
W00000042,22.5,77.5
W00000043,22.1,77.9
W00000044,15,85
W00000045,17,83
W00000046,24.6,75.4
W00000047,21.6,78.4
W00000052,20.3,79.7
W00000053,14.9,85.1
W00000054,15.1,84.9
W00000055,28.3,71.7
W00000056,24.3,75.7
W00000064,12.2,87.8
W00000065,25.9,74.1
W00000066,20.9,79.1
W00000067,14.7,85.3
W00000068,16.7,83.3
W00000069,18.9,81.1
W00000075,25.5,74.5
W00000076,23.5,76.5
W00000077,20.6,79.4
W00000078,24.7,75.3
W00000079,20.5,79.5
W00000080,20.8,79.2
W00000081,19,81
W00000082,21.2,78.8
W00000083,22.3,77.7
W00000091,18.3,81.7
W00000092,23.1,76.9
W00000093,28.2,71.8
W00000094,23,77
W00000095,32.3,67.7
W00000096,25.6,74.4
W00000097,13.4,86.6
W00000098,15.7,84.3
W00000099,18.6,81.4
W00000109,22.4,77.6
W00000110,18.4,81.6
W00000113,22.5,77.5
W00000114,22.8,77.2
W00000115,14.5,85.5
W00000116,17.5,82.5
W00000117,9.4,90.6
W00000118,22.6,77.4
W00000119,19.6,80.4
W00000120,19,81
W00000121,12.2,87.8
W00000122,19.3,80.7
W00000123,15,85
W00000124,18.5,81.5
W00000125,16.1,83.9
W00000126,14.5,85.5
W00000132,19.4,80.6
W00000133,17.9,82.1
W00000134,17.6,82.4
W00000135,33.4,66.6
W00000136,20.1,79.9
W00000137,20.4,79.6
W00000139,18.7,81.3
W00000140,13.8,86.2
W00000143,25.1,74.9
W00000144,24.5,75.5
