areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00045714,90,7.4,1.9,0.7,0
E00045715,91.6,5.8,0.3,0.6,1.6
E00046260,81.9,9.1,4.2,2.8,2.1
E00046261,82.7,9.1,0.8,3.5,4
E00046262,80.7,11,4.8,2.9,0.5
E00046263,82.9,12.1,3.1,0.4,1.6
E00046264,76.2,15.2,4.4,1.8,2.3
E00046267,70.8,22.7,1.9,0.9,3.7
E00046268,81.5,17.9,0.3,0.3,0
E00046269,81.8,15.5,2,0.7,0
E00046270,88.2,11.4,0.4,0,0
E00046271,80.2,12.6,3.1,4.1,0
E00046272,85.8,10.6,2.6,0.7,0.3
E00046273,84.3,11,1.4,3.3,0
E00046274,78.5,13.9,4.4,3.2,0
E00046275,78,11.5,7.3,0.5,2.6
E00046276,76.5,13.4,7.6,1.8,0.8
E00046277,79.6,18.5,1.5,0,0.4
E00046278,81.2,15.6,1.7,0.6,0.9
E00046279,78.5,10.8,5.4,5.4,0
E00046280,77.3,12.1,6.7,2.1,1.8
E00046281,87,6.7,4.2,1.4,0.7
E00046283,82.5,11,2.9,3.1,0.5
E00046303,75.5,17.3,5.1,0.9,1.2
E00046304,89.6,6.3,3.2,0.9,0
E00046305,83.2,13.6,2.9,0,0.3
E00046306,86.7,6.7,2.6,3.3,0.7
E00046307,86.1,11.1,2,0.8,0
E00046308,83,9.7,3.9,1.8,1.5
E00046309,85.8,9.8,3.6,0.6,0.3
E00046310,82.2,10.7,4,2.5,0.6
E00046311,84.2,5.5,6.1,4.2,0
E00046312,79.5,12.4,4.7,1.3,2.1
E00046313,82.6,11.6,4.8,0.6,0.3
E00046314,84.7,9.5,4,1.4,0.3
E00046315,82.7,8.7,6.2,2.2,0.3
E00046316,80.8,11.6,2.9,2.9,1.8
E00046317,92.5,7.5,0,0,0
E00046318,79.8,10.9,4.5,3.8,1
E00046319,76.8,16.4,2.6,2.3,1.8
E00046320,81.1,12.5,4.8,1.1,0.5
E00046321,76.8,14,6.1,1.3,1.9
E00046322,83.8,10,2.2,3.4,0.6
E00046323,84.4,8,3.8,3.4,0.4
E00046324,86,8.2,2.4,3.4,0
E00046325,79.3,13,5.3,2,0.3
E00046326,79.4,9.3,6.5,2.8,2
E00046327,79.8,12.3,4.3,3.1,0.6
E00046328,85.1,12.5,2.1,0,0.3
E00046329,81.9,12,2.6,2.9,0.6
E00046330,82,10.4,3.2,1.9,2.5
E00046331,84.4,12.7,2,0.8,0
E00046332,83.9,12.9,0.4,2.4,0.4
E00046333,86.4,10,2.4,0.8,0.5
E00046334,81,13.1,5.4,0.3,0.3
E00046335,82.3,7.2,10.2,0,0.3
E00046336,80.1,10.9,4.8,3.9,0.3
E00046337,77.5,10.7,5.6,4.1,2.1
E00046338,85,10.2,1.5,2.9,0.5
E00046339,83.5,11.4,2.5,0.9,1.6
E00046340,81.7,11.2,5.8,0.6,0.6
E00046341,76.1,17.3,4.5,1.3,0.8
E00046342,78.6,12.9,4,0.9,3.6
E00046343,75.9,13.4,3.6,4.9,2.3
E00046759,88.5,9.3,1.6,0,0.6
E00046760,87.8,9.1,1.6,1.3,0.3
E00046761,82.5,11.7,1.9,3.6,0.3
E00046762,88.3,6.6,4.8,0.3,0
E00046763,88.4,8.8,0.7,1.5,0.7
E00046764,78.5,12.4,5.5,3,0.6
E00046765,89.3,9.5,0.6,0.6,0
E00046766,81.8,13.5,1.9,1.3,1.6
E00046767,87.8,8,1.1,1.5,1.5
E00046768,80.7,7.4,4.1,5.7,2
E00046769,82.1,10.9,2.8,3.9,0.4
E00046770,84.3,9.1,2.2,2.6,1.9
E00046771,83.4,9.5,3.4,3.4,0.3
E00046772,87.5,10.1,0,1.2,1.2
E00046774,83.4,10.9,3.1,2.5,0
E00046775,82.7,10.4,3.6,2,1.3
E00046776,80.5,13.7,2.4,2.6,0.8
E00046787,93.5,5,1.6,0,0
E00046788,87.9,5,1,4.7,1.3
E00046789,95.5,3.6,0.6,0,0.3
E00046790,91.3,4.3,1.2,2.3,0.9
E00046791,94.2,4,0,1.4,0.4
E00046792,87.1,8.2,0.9,2.2,1.6
E00046793,90.5,7.3,0.7,0.7,0.7
E00046794,95.1,3.6,1.2,0,0
E00046795,87.1,7.5,1.4,4,0
E00046796,86,5.4,6.1,0,2.5
E00046797,88.2,4,5.3,0,2.5
E00046798,91.7,7.1,0.9,0,0.3
E00046799,86.1,9.1,2.1,1,1.7
E00046800,86.4,9.1,2.6,0.3,1.6
E00046801,82.2,10.8,3.8,3.2,0
E00046802,86.6,7.4,3.4,2.7,0
E00046803,86.3,9.9,0.5,2.2,1.1
E00046804,89.5,6.3,0.7,3.2,0.4
E00046805,92.5,4.9,1.6,1,0
E00046806,83.3,11.1,2.5,1.5,1.5
E00046807,95.7,2.8,1.1,0.4,0
E00046808,88.8,8.6,1.3,0,1.3
E00046809,86.3,6.4,4.7,2.6,0
E00046810,85.4,13.5,1.1,0,0
E00046811,90.3,7.7,1.2,0.4,0.4
E00046812,85.8,9.9,3,0.9,0.4
E00046813,86.9,6.6,5.5,0.7,0.3
E00046814,85.6,8.6,1.4,2.9,1.4
E00046815,93.4,6,0.3,0,0.3
E00046816,79.5,14.3,2.8,2.5,0.9
E00046817,83.4,12.6,3,0.7,0.3
E00046818,88.1,6.9,3,2,0
E00046819,91.5,4.2,0.8,0.4,3
E00046820,82.8,9.1,1.5,3.9,2.7
E00046821,82.3,9.8,4.2,1.9,1.9
E00046822,92.3,6.6,0,0.5,0.5
E00046823,89.5,4.9,2.6,2.6,0.4
E00046824,85.6,5.7,0.4,6.5,1.9
E00046825,89.8,9.6,0.3,0.3,0
E00046826,90.6,8.7,0,0.3,0.3
E00046827,88.6,10,0.4,0.7,0.4
E00046828,83,10.8,4.6,0.6,0.9
E00046829,89.3,6.9,0.6,0.6,2.5
E00046830,86.2,8.7,1.5,2.7,0.9
E00046831,86.8,9,2.2,1.6,0.3
E00046832,84.1,10,1.4,1,3.4
E00046833,87.1,8.2,0.7,3.6,0.4
E00046838,70.4,23.8,1.1,2.8,1.9
E00046839,86.3,10.8,2,0,1
E00046844,87.9,8.8,1.7,1.4,0.3
E00046875,77.4,14.9,3.6,3.6,0.6
E00046876,78.2,17,1.9,0.6,2.2
E00046877,84.5,13,0,1.4,1.1
E00046878,78.8,11.8,2.7,3.4,3.4
E00046879,81.8,11.1,2.6,0.7,3.9
E00046880,82.3,14,2.1,1.2,0.4
E00046881,78,15.9,2.3,1.7,2
E00046883,83.5,9.7,4.7,0,2.2
E00046884,83.3,9,1.4,4.4,1.9
E00046885,91.4,6.1,1.9,0.6,0
E00046886,81.6,10.5,2.7,4.9,0.2
E00046887,77.7,16.7,1.3,1.7,2.7
E00046888,83.2,11.2,2.8,1.9,0.9
E00046889,84.7,12.1,1.9,0.6,0.6
E00046890,68.8,19.8,5.7,5.4,0.3
E00046891,89.1,9.4,1.2,0.3,0
E00046892,80.5,15.5,1.3,1.3,1.3
E00046893,82.9,9.4,1.4,1.4,4.9
E00046894,84.8,6.9,2.6,2.6,3
E00046895,81.7,14.7,2.9,0,0.7
E00046896,77.7,15.6,2.4,1.5,2.8
E00046897,79.7,11.9,4.3,1.4,2.6
