areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00072594,81.1,18.9
E00072595,85.7,14.3
E00072596,90.1,9.9
E00072597,90.1,9.9
E00072598,89.4,10.6
E00072599,90.6,9.4
E00072600,90.9,9.1
E00072601,82.1,17.9
E00072602,89.5,10.5
E00072603,91.7,8.3
E00072604,89,11
E00072605,95.6,4.4
E00072606,90.1,9.9
E00072609,90.5,9.5
E00072613,86.4,13.6
E00072779,82.8,17.2
E00072780,91.5,8.5
E00072781,88.4,11.6
E00072782,90.3,9.7
E00072783,78.3,21.7
E00072784,86.4,13.6
E00072785,91.3,8.7
E00072786,93.7,6.3
E00072789,86.6,13.4
E00072794,85.8,14.2
E00072988,92.4,7.6
E00072992,90.8,9.2
E00072995,93.9,6.1
E00072997,90.5,9.5
E00073108,89.8,10.2
E00073119,85.4,14.6
E00073120,84.1,15.9
E00073121,88.2,11.8
E00073122,90.2,9.8
E00073123,87.3,12.7
E00073124,87.9,12.1
E00075111,92.3,7.7
E00075112,96.6,3.4
E00075113,92.3,7.7
E00075122,89.3,10.7
E00075123,95.7,4.3
E00075124,95.2,4.8
E00075125,92.6,7.4
E00075126,96.9,3.1
E00075127,94.7,5.3
E00075128,94.7,5.3
E00075129,93.1,6.9
E00075132,93.8,6.2
E00075133,94.8,5.2
E00075134,94.3,5.7
E00075136,93.7,6.3
E00075137,95.7,4.3
E00075138,95.9,4.1
E00075139,95.1,4.9
E00075140,97.9,2.1
E00075141,90.8,9.2
E00075142,96.1,3.9
E00075143,95.7,4.3
E00075144,96.7,3.3
E00075216,93.5,6.5
E00075218,96.2,3.8
E00075219,96.3,3.7
E00075220,95.9,4.1
E00075221,93.3,6.7
E00075222,99.6,0.4
E00075223,96.9,3.1
E00075224,94.6,5.4
E00075226,92.9,7.1
E00075227,94.7,5.3
E00075228,96.6,3.4
E00075229,85.2,14.8
E00075230,96.1,3.9
E00075231,96.4,3.6
E00075232,95.1,4.9
E00075233,96.4,3.6
E00075234,91,9
E00075235,93.4,6.6
E00075236,97.6,2.4
E00075237,95.5,4.5
E00075238,96.9,3.1
E00075239,94.3,5.7
E00075240,93.1,6.9
E00075241,97.3,2.7
E00075242,91.8,8.2
E00075243,96.6,3.4
E00075244,98.3,1.7
E00075245,96.1,3.9
E00075246,96.7,3.3
E00075247,95.8,4.2
E00075248,95.3,4.7
E00075249,96.9,3.1
E00075250,94.3,5.7
E00075251,95,5
E00075252,95.3,4.7
E00075253,93.4,6.6
E00075254,95.1,4.9
E00075255,89.8,10.2
E00075256,94.5,5.5
E00075257,92,8
E00075258,91.5,8.5
E00075259,91.2,8.8
E00075260,96.4,3.6
E00075261,93.6,6.4
E00075262,95,5
E00075263,96.2,3.8
E00075264,97.1,2.9
E00075265,95.4,4.6
E00075266,95.8,4.2
E00075267,95.5,4.5
E00075268,94.7,5.3
E00075269,94.4,5.6
E00075270,93.8,6.3
E00075271,82.1,17.9
E00075272,92.3,7.7
E00075273,86.6,13.4
E00075428,92.5,7.5
E00075429,95.7,4.3
E00075431,91.6,8.4
E00075432,95.6,4.4
E00075433,96.3,3.7
E00075434,94.9,5.1
E00075435,93.3,6.7
E00075436,96.1,3.9
E00075437,97.4,2.6
E00075438,95.8,4.2
E00075439,97.9,2.1
E00075440,91.7,8.3
E00075754,96.4,3.6
E00075756,95.8,4.2
E00075757,98,2
E00075758,90.4,9.6
E00075828,95.4,4.6
E00075829,92.1,7.9
E00075830,90.6,9.4
E00075831,94,6
E00075832,84.1,15.9
E00075833,96,4
E00075835,97.2,2.8
E00075836,92,8
E00075837,97.2,2.8
E00075838,94.4,5.6
E00075839,96.4,3.6
E00075840,91.1,8.9
E00075841,91.3,8.8
E00075842,92,8
E00075843,94.3,5.7
E00075844,94.9,5.1
