areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00086549,8.7,31.9,0,56.8,2.6
E00086550,5.6,61,3.3,27.5,2.6
E00086570,3.2,60.4,4,31.3,1.1
E00086571,16,40.2,3.5,36.2,4.1
E00086572,7.5,44.2,1.6,46.7,0
E00086575,21.3,32.7,5,36.6,4.5
E00086576,5.5,58.4,3,31,1.9
E00086577,10.6,48.1,3.4,34.4,3.4
E00086578,11.2,36.6,2.5,46,3.7
E00086579,5.1,49.1,1,39.8,4.9
E00086581,6.2,32.2,4.1,55.4,2.1
E00086582,20.5,40.2,2.4,35.8,1.2
E00086589,12.4,27.2,2.8,55.2,2.4
E00086590,11.7,31.8,2.5,50.6,3.3
E00086592,8.3,29.9,3.8,54.9,3
E00086596,11,29.4,2.7,54.7,2.2
E00086598,7.3,37.5,2.3,51.7,1.1
E00086602,7.9,39.7,4.7,46.2,1.5
E00086603,12.3,40.7,8.6,32.7,5.6
E00086605,17,22.6,7.8,50.4,2.2
E00086609,11.9,40.5,3.1,42.3,2.2
E00086610,27.6,35.8,5.8,27.6,3.1
E00086613,29.2,28.7,6.7,32.1,3.3
E00086614,26.7,28.8,4.7,35.6,4.2
E00086615,10,25.3,4.8,53.6,6.2
E00086616,8.6,25.5,3.8,54.5,7.6
E00086617,11.7,34.6,4.2,47.2,2.3
E00086618,28.6,37.8,7.7,23.5,2.6
E00086619,16,36.2,3.7,41.8,2.2
E00086620,19.3,32.4,4.3,42,1.9
E00086621,13,37.7,4.3,45,0
E00086622,22.4,39.5,6.7,26.9,4.5
E00086623,12.2,36.2,6.1,43.7,1.8
E00086624,21.8,33.6,4.3,37.4,2.8
E00086625,16.5,35.9,6,35.9,5.6
E00086626,9.4,29.7,5.9,53.5,1.4
E00086627,10.3,34.6,1.5,53.2,0.4
E00086762,24.8,40.4,4.7,26.7,3.4
E00086763,20.5,42.9,6.2,23.4,7
E00086764,24.7,36.8,5.2,28.1,5.2
E00086765,10,47.9,6.4,34.1,1.6
E00086766,15.7,49.3,8.8,24.5,1.7
E00086767,21.4,30.7,7.8,35.4,4.7
E00086768,10.7,43,10.7,30.4,5.2
E00086769,21.1,44.5,8.4,23.1,2.9
E00086770,29.4,48.2,5,15.4,2
E00086771,10.3,42.1,7.9,35.3,4.4
E00086772,14.8,46.7,8.9,26.6,3
E00086773,33.5,39,6.3,17.7,3.5
E00086774,44.2,33.7,8,14.1,0
E00086775,39.9,38.3,5.9,12.2,3.6
E00086776,12.1,45.1,7.3,35,0.5
E00086777,29.5,43.2,8.7,14.9,3.7
E00086778,28.2,39.4,10.3,19.2,2.8
E00086779,12.2,51.1,7.4,28.9,0.4
E00086780,16.7,37.2,6.6,36.4,3.1
E00086781,23.3,43,7.2,23.3,3.1
E00086782,30.6,41.7,6.1,20.6,1.1
E00086783,16.5,42.4,8.6,30.6,2
E00086784,45.4,29.9,8,12.6,4
E00086785,25.3,49.3,4.4,16.6,4.4
E00086786,37.1,34.6,7.9,15.8,4.6
E00086788,22,50.5,4.9,22.5,0
E00086789,21.6,47.1,9,22.4,0
E00086790,20.4,50.2,3.6,24.7,1.1
E00086791,19.8,49.1,5.7,21.7,3.8
E00086792,20.7,47.9,7.4,19.1,4.8
E00086793,14.8,32.9,2.9,46.7,2.9
E00086794,15.9,44,3.4,33.2,3.4
E00086795,24.6,50,7.7,16.5,1.2
E00086796,31.9,35.3,6.3,23.7,2.9
E00086798,33.3,35.2,6.9,20.4,4.2
E00086799,19.6,44.6,2.7,28.5,4.6
E00086800,22.5,36.7,5.4,33.8,1.7
E00086801,30.1,45.2,6.4,16.9,1.4
E00086802,28.2,38.9,5.2,23,4.8
E00086803,15.6,29.5,6.6,44.3,4.1
E00086804,26,47.1,3.1,21.5,2.2
E00086805,27.2,35,3.9,30,3.9
E00086806,25,52.7,3.6,16.4,2.3
E00086807,29.8,43.9,4.4,19.3,2.6
E00086808,22.4,50.9,3.7,23,0
E00086809,10.3,36.8,4.1,45.5,3.3
E00086810,4.6,25.4,2,66.7,1.3
E00086811,22.5,35.6,3.6,34.8,3.6
