areacd,sex-001,sex-002
E00155265,52.4,47.6
E00155266,50.4,49.6
E00155267,49.6,50.4
E00155270,56.5,43.5
E00155271,49.3,50.7
E00155272,51.4,48.6
E00155273,51.2,48.8
E00155274,51.7,48.3
E00155275,52.5,47.5
E00155276,52.1,47.9
E00155277,49.1,50.9
E00155278,52.1,47.9
E00155279,51.4,48.6
E00155280,51.4,48.6
E00155281,50.2,49.8
E00155282,49.2,50.8
E00155283,47.8,52.2
E00155284,52.2,47.8
E00155285,55.2,44.8
E00155286,50.3,49.7
E00155287,52,48
E00155288,53,47
E00155289,50,50
E00155290,53.2,46.8
E00155291,48.6,51.4
E00155292,50.4,49.6
E00155293,49.2,50.8
E00155294,53.1,46.9
E00155295,57.9,42.1
E00155296,53.8,46.2
E00155297,52.9,47.1
E00155298,54.5,45.5
E00155299,49.5,50.5
E00155300,51.8,48.2
E00155301,47.8,52.2
E00155302,50.8,49.2
E00155365,77.9,22.1
E00155383,50.7,49.3
E00155442,52.3,47.7
E00155443,51.1,48.9
E00155444,48.2,51.8
E00155445,51.9,48.1
E00155447,56.2,43.8
E00155449,47.9,52.1
E00155516,56.6,43.4
E00155517,50.7,49.3
E00155518,52.4,47.6
E00155519,55.6,44.4
E00155520,48,52
E00155522,49,51
E00155523,49.2,50.8
E00155524,51.4,48.6
E00155525,53.6,46.4
E00155526,56,44
E00155527,53.1,46.9
E00155528,52.3,47.7
E00155529,50.2,49.8
E00155530,56.2,43.8
E00155531,51.1,48.9
E00155532,52.4,47.6
E00155533,52.6,47.4
E00155534,52,48
E00155640,47.9,52.1
E00155641,52,48
E00155643,50.6,49.4
E00155644,50.6,49.4
E00155645,48.3,51.7
E00155646,48.5,51.5
E00155647,56.4,43.6
E00155648,52.2,47.8
E00155649,54.5,45.5
E00155650,51.3,48.7
E00155651,51.6,48.4
E00155652,52.6,47.4
E00155653,54.3,45.7
E00155654,51.2,48.8
E00155655,51.7,48.3
E00155656,54.9,45.1
E00155657,50.2,49.8
E00155659,52.4,47.6
E00155660,49.7,50.3
E00155661,52.7,47.3
E00155662,50.1,49.9
E00155663,53,47
E00155664,52.4,47.6
E00155665,56,44
E00155666,55.4,44.6
E00155667,54.4,45.6
E00155668,50.7,49.3
E00155669,49.5,50.5
E00155670,56.5,43.5
E00155671,54.3,45.7
E00155672,49.2,50.8
E00155673,56,44
E00155674,51.8,48.2
E00155675,51.9,48.1
E00155676,50.5,49.5
E00155759,49.7,50.3
E00155767,48.9,51.1
E00155772,51.3,48.7
E00155839,51.9,48.1
E00155840,53.4,46.6
E00155841,49.8,50.2
E00155842,50,50
E00155843,49.3,50.7
E00155844,50.7,49.3
E00155857,55.4,44.6
E00155858,56.5,43.5
E00155859,55,45
E00155860,52.2,47.8
E00155861,51.3,48.7
E00155862,52.4,47.6
E00155863,54.1,45.9
E00157372,48.9,51.1
E00157734,51.7,48.3
