areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00155265,47.2,28.3,9.4,15.1
E00155266,62,31.6,0.6,5.8
E00155267,50,31.8,4.5,13.6
E00155270,30,24.3,21.4,24.3
E00155271,57.3,39.1,2.7,0.9
E00155272,57.8,36.7,1.8,3.7
E00155273,60.3,39.7,0,0
E00155274,52.8,20.4,0,26.9
E00155275,64.5,30.4,4.3,0.7
E00155276,56.8,38.6,0.8,3.8
E00155277,42.5,35.1,6,16.4
E00155278,26,26.9,34.6,12.5
E00155279,54.7,42.3,0.7,2.2
E00155280,51.1,43.6,0.8,4.5
E00155281,6.1,21.7,65.2,7
E00155282,46.6,40.7,0.8,11.9
E00155283,31.8,33.3,15.2,19.7
E00155284,55.2,35.2,2.9,6.7
E00155285,38.2,35,16.3,10.6
E00155286,56.9,35,0,8.1
E00155287,58,31.2,1.4,9.4
E00155288,35.8,57.5,0,6.6
E00155289,46.2,44.7,3,6.1
E00155290,40.4,34.2,17.5,7.9
E00155291,38.8,51.7,4.3,5.2
E00155292,51.1,40.3,2.2,6.5
E00155293,33.6,46.1,9.4,10.9
E00155294,58.8,35.8,0.7,4.7
E00155295,34.4,44.8,0,20.8
E00155296,59.6,34.6,1.9,3.8
E00155297,48.2,44.6,1.2,6
E00155298,48.6,35.7,5,10.7
E00155299,54.8,31.7,3.2,10.3
E00155300,43.4,24,17.8,14.7
E00155301,31.7,40.1,14.8,13.4
E00155302,50.4,43.9,1.6,4.1
E00155365,48.4,28.1,1.6,21.9
E00155383,58.1,35.3,0,6.6
E00155442,45.9,45,1.8,7.2
E00155443,50.5,46.6,1,1.9
E00155444,64.7,31.9,0,3.4
E00155445,57.1,37.8,0,5
E00155447,39.4,50.7,1.4,8.5
E00155449,52.5,40,2.5,5
E00155516,40.2,25.8,6.8,27.3
E00155517,33.3,19,4.8,42.9
E00155518,28.9,24,24,23.1
E00155519,55.6,26.4,0.7,17.4
E00155520,47.5,36.3,0,16.3
E00155522,41,38.1,4.5,16.4
E00155523,51.8,34.8,0.9,12.5
E00155524,28.8,20.9,5.8,44.6
E00155525,42,34,6,18
E00155526,39.7,15.1,29.5,15.8
E00155527,38.2,24.4,22,15.4
E00155528,28.7,25.4,36.1,9.8
E00155529,53.9,42.6,0,3.5
E00155530,62.2,28.8,4.5,4.5
E00155531,59,33.6,0,7.4
E00155532,55.9,26.3,4.2,13.6
E00155533,28,50.5,12.9,8.6
E00155534,58.4,29.9,0,11.7
E00155640,16.6,17.9,51.7,13.8
E00155641,32.8,32.8,2.6,31.8
E00155643,70,26.9,0.8,2.3
E00155644,66.7,28.8,0.8,3.8
E00155645,52.1,26,0,21.9
E00155646,52.7,41.2,0,6.1
E00155647,31.5,24.3,21.6,22.5
E00155648,57.1,39.3,0,3.6
E00155649,9.9,19,63.6,7.4
E00155650,60.5,35.5,0.8,3.2
E00155651,40.7,40,9.6,9.6
E00155652,54.5,37.3,0.7,7.5
E00155653,60.9,22.7,6.3,10.2
E00155654,46.6,29.3,18.8,5.3
E00155655,50.7,21.7,3.6,23.9
E00155656,11.5,28.8,55.4,4.3
E00155657,50,37.7,0.8,11.5
E00155659,40.6,36.8,7.5,15
E00155660,58.6,37.2,2.1,2.1
E00155661,51.9,34.1,1.6,12.4
E00155662,60.7,32.7,0,6.5
E00155663,31.7,27.3,4.3,36.7
E00155664,60.9,26.1,0,13
E00155665,32.1,10.2,48.2,9.5
E00155666,43.3,28.7,19.7,8.3
E00155667,48.4,28.6,15.9,7.1
E00155668,64.9,32.8,0.7,1.5
E00155669,33.1,39.2,9.2,18.5
E00155670,23.6,31.7,37.4,7.3
E00155671,34.4,28,34.4,3.2
E00155672,60.3,35.9,0.8,3.1
E00155673,57.1,27,10.3,5.6
E00155674,56.5,31.3,6.9,5.3
E00155675,51.8,36,3.5,8.8
E00155676,54,38.7,0,7.3
E00155759,61.7,35.1,0.6,2.6
E00155767,62.7,35.1,0,2.2
E00155772,53.1,40.8,1.4,4.8
E00155839,38.2,34.3,13.7,13.7
E00155840,36.3,45.2,2.4,16.1
E00155841,27.8,33,1,38.1
E00155842,54.6,36.1,0,9.3
E00155843,34.4,21.3,15.6,28.7
E00155844,32.2,16.5,4.1,47.1
E00155857,40,34.8,8.9,16.3
E00155858,30.5,43,21.9,4.7
E00155859,48.7,33.3,8,10
E00155860,20,23.3,46.7,10
E00155861,55.4,28.5,8.5,7.7
E00155862,54.8,38.3,0.9,6.1
E00155863,54.5,22.7,1.5,21.2
E00157372,49,32.7,1.4,17
E00157734,58.2,29.1,0.9,11.8
