areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00155265,93.5,0,6.5
E00155266,91.5,1.2,7.3
E00155267,98.3,0,1.7
E00155270,90.3,1.3,8.4
E00155271,92.6,3.7,3.7
E00155272,91.8,1.8,6.4
E00155273,95.6,2.5,1.9
E00155274,81.4,4.7,14
E00155275,90.9,3,6.1
E00155276,92.9,2.7,4.5
E00155277,91.4,2.2,6.3
E00155278,91,1.4,7.6
E00155279,94.7,1.7,3.6
E00155280,93.1,1.8,5.1
E00155281,93.2,1.7,5.1
E00155282,94.8,2.3,2.9
E00155283,93.5,0.5,5.9
E00155284,92.9,2,5.1
E00155285,93.1,1.2,5.7
E00155286,97.6,0.7,1.7
E00155287,93.2,2.3,4.5
E00155288,92.7,3.7,3.7
E00155289,94.1,2.7,3.2
E00155290,94.4,0.7,4.8
E00155291,92.9,1.8,5.2
E00155292,94.6,0.5,4.8
E00155293,95.9,1,3.2
E00155294,90.2,2.8,7
E00155295,84.7,0.8,14.5
E00155296,90.8,3.8,5.4
E00155297,95.4,2.1,2.5
E00155298,93,1.8,5.2
E00155299,93.3,1,5.7
E00155300,94.9,0.4,4.7
E00155301,96.4,0.3,3.3
E00155302,95.4,2.6,2
E00155365,92,1.3,6.8
E00155383,92,4,4
E00155442,94.4,2.1,3.5
E00155443,98.9,0,1.1
E00155444,94.7,1.8,3.5
E00155445,94.8,1,4.2
E00155447,95.2,0.5,4.2
E00155449,95.2,0,4.8
E00155516,92.8,4.2,2.9
E00155517,90.6,1.7,7.7
E00155518,93.7,0.3,5.9
E00155519,93.7,1.1,5.1
E00155520,90.1,2.1,7.9
E00155522,92.4,3.5,4.1
E00155523,94.6,3.1,2.3
E00155524,94.2,1.2,4.6
E00155525,90.8,3.9,5.2
E00155526,92,1.9,6.2
E00155527,89.9,4,6.1
E00155528,96,1,3
E00155529,93.5,3.6,2.9
E00155530,96.4,0,3.6
E00155531,95.4,1,3.6
E00155532,92.5,1.1,6.3
E00155533,90.2,3.8,6
E00155534,93.1,2.1,4.8
E00155640,90.1,1.8,8.1
E00155641,88.4,5.2,6.4
E00155643,95.1,1.2,3.8
E00155644,93.3,3.5,3.2
E00155645,90.5,1.6,7.9
E00155646,94.6,1.5,3.9
E00155647,92,2.8,5.2
E00155648,92.8,3.9,3.3
E00155649,90.5,3.3,6.2
E00155650,95,1.3,3.7
E00155651,93.5,3.5,2.9
E00155652,94.8,1.3,3.9
E00155653,96,0,4
E00155654,95.5,2.7,1.8
E00155655,87.8,1.5,10.7
E00155656,95.6,1.4,3
E00155657,93.3,1,5.7
E00155659,94.5,0.6,4.9
E00155660,92.7,1.9,5.4
E00155661,93.9,1.5,4.6
E00155662,94.2,2.8,3
E00155663,90.2,3,6.8
E00155664,90.9,2.1,7
E00155665,95.1,2.2,2.7
E00155666,94.9,1.7,3.4
E00155667,94.9,2.2,2.9
E00155668,92,2.7,5.3
E00155669,90.7,3.2,6.1
E00155670,90.8,1.1,8
E00155671,98.6,0.7,0.7
E00155672,91.5,3.5,5
E00155673,95.2,1.4,3.5
E00155674,95.2,2.2,2.6
E00155675,95.8,1.3,2.9
E00155676,90.4,5.6,4
E00155759,93.9,2.7,3.5
E00155767,95.5,0.3,4.2
E00155772,93.4,4,2.7
E00155839,93.5,1.4,5.2
E00155840,92.3,0.9,6.8
E00155841,94.6,0,5.4
E00155842,94,2.3,3.7
E00155843,94.1,0.7,5.1
E00155844,93.4,1.4,5.2
E00155857,92.2,2.6,5.2
E00155858,93.9,2.5,3.7
E00155859,95.6,2.2,2.2
E00155860,93.5,0.9,5.6
E00155861,94.9,1,4.1
E00155862,92,1.5,6.6
E00155863,89,3.4,7.6
E00157372,91.3,3.2,5.4
E00157734,94.4,1.5,4.1
