areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00086551,61.8,25.3,12.8
E00086552,62.2,23.1,14.6
E00086553,57.5,29.6,13
E00086557,56,28.3,15.7
E00086559,62.3,19.4,18.3
E00086561,61,34.7,4.3
E00086563,59.8,21,19.2
E00086564,67.1,24.8,8.1
E00086565,62.3,27.5,10.2
E00086568,76.1,19.6,4.3
E00086583,58.8,26.2,15
E00086584,64.8,20.1,15.1
E00086587,90.4,8.2,1.4
E00086588,65.2,21.6,13.2
E00086591,83,14.7,2.3
E00086593,87.8,6.8,5.4
E00086594,78.9,8.6,12.4
E00086597,74.2,19.1,6.7
E00086599,69.3,23.1,7.6
E00086601,79,18.2,2.7
E00086604,49.7,36.8,13.5
E00086606,63,22.8,14.2
E00086607,56,30.7,13.2
E00086608,74.7,19.5,5.7
E00086611,66.5,24.9,8.6
E00086612,61,25.6,13.4
E00086628,55.6,31.7,12.7
E00086629,53.4,38.7,7.9
E00086630,59.4,30.7,9.8
E00086631,71.7,21.9,6.3
E00086632,47.1,44.1,8.9
E00086633,61.7,21.6,16.7
E00086634,63.6,31.2,5.3
E00086636,61.1,31.8,7.1
E00086637,63.2,31.2,5.6
E00086638,67.3,23.6,9.1
E00086639,34.8,45.4,19.8
E00086641,47,40.7,12.3
E00086642,55.6,35.6,8.8
E00086643,60.8,34.9,4.4
E00086646,59.9,33.3,6.8
E00086647,58.8,34.2,7
E00086648,74.8,15,10.3
E00086649,54.2,23.1,22.7
E00086650,62.6,22,15.4
E00086651,49.9,34.9,15.2
E00086652,60.7,33.4,5.9
E00086653,63.5,31.3,5.1
E00086654,60.8,23.6,15.6
E00086655,64.6,28.5,6.9
E00086656,58.7,35.4,5.8
E00086657,61.7,31.3,7.1
E00086658,55.8,30.3,13.9
E00086659,59.1,34,7
E00086660,70.4,19.5,10.1
E00086661,66.6,27.4,6
E00086662,58.1,21.9,20
E00086663,69.2,22.6,8.2
E00086664,65.6,25.6,8.8
E00086665,53.3,38.3,8.3
E00086666,73.2,19.7,7.1
E00086667,63,29.7,7.3
E00086668,56.3,35.2,8.5
E00086669,56.9,30.3,12.8
E00086670,59.8,14.1,26.1
E00086671,65.1,6.5,28.4
E00086672,69.2,5.9,24.9
E00086673,68.8,15.9,15.3
E00086674,74,6.6,19.4
E00086675,52.9,7,40.1
E00086676,66.1,13.1,20.8
E00086677,85,5.7,9.3
E00086678,61.1,7.3,31.6
E00086679,73.5,6.8,19.7
E00086680,65.1,7.2,27.6
E00086681,75.9,8.7,15.4
E00086682,70.3,5.4,24.3
E00086683,80.8,8.9,10.3
E00086684,74.7,8.1,17.1
E00086685,76.2,9.3,14.5
E00086686,75.8,7.6,16.6
E00086687,79.6,7.1,13.3
E00086688,92.3,4.8,2.9
E00086689,73.9,8.6,17.5
E00086690,82.1,7.1,10.7
E00086691,82,2.9,15.1
E00086692,72.8,6.7,20.5
E00086693,79.5,6.8,13.7
E00086694,65.3,4.2,30.6
E00086695,84.3,3.3,12.3
E00086696,61.1,10.1,28.8
E00086697,62.2,7.1,30.8
E00086698,65,5.7,29.2
E00086699,65.2,6.3,28.5
E00086700,79.9,6.1,14
E00086701,60.5,6.8,32.7
E00086702,70.6,8.8,20.6
E00086703,50.8,19.9,29.3
E00086704,65.1,8.4,26.5
E00086705,56.7,17.6,25.6
E00086706,72.6,9.4,17.9
E00086707,61.4,11.4,27.2
E00086708,62,7.3,30.8
E00086709,56.6,10.2,33.2
E00086710,65,10.5,24.5
E00086711,64.1,7,28.9
E00086712,61.5,5.6,33
E00086713,59.2,5.4,35.4
E00086714,72.8,12.6,14.6
E00086715,60.1,5.9,33.9
E00086716,79,8.5,12.5
E00086717,70.5,15.8,13.7
E00086718,70.3,13.9,15.8
E00086719,72.5,13.9,13.6
E00086720,49.6,33.3,17.1
E00086721,86.3,5.3,8.4
E00086722,83.9,10.1,6
E00086723,72.6,14.8,12.6
E00086724,85.2,10,4.8
E00086725,75.2,18.5,6.3
E00086726,70.6,18.1,11.4
E00086727,76.2,11.6,12.2
E00086728,75.3,13,11.6
E00086730,75.1,11.9,13.1
E00086731,78.7,11.8,9.6
E00086732,63.2,25.6,11.2
E00086733,83.6,3.4,13
E00086734,90.4,2.9,6.7
E00086735,68.8,19,12.3
E00086736,80.2,8.2,11.6
E00086737,70.7,10.7,18.6
E00086738,70,10.8,19.2
E00086739,80.2,10.8,9
E00086740,81.2,7.3,11.6
E00086741,84.6,8.8,6.6
E00086742,77.8,9.9,12.3
E00086743,82.2,9.9,7.9
E00086744,83,6.7,10.3
E00086745,64.4,14.4,21.2
E00086746,82.8,5.7,11.4
E00086747,87.9,5.2,6.9
E00086748,79.6,7.9,12.5
E00086749,84.4,7.8,7.8
E00086750,71.3,11.6,17.1
E00086751,83.3,9,7.7
E00086752,84.8,7.6,7.6
E00086753,75.2,10.6,14.2
E00086754,84,5.7,10.3
E00086755,76.1,10.4,13.5
E00086756,86.5,6.9,6.6
E00086757,76.5,13.1,10.4
E00086758,77.2,8.3,14.5
E00086759,79.5,6.4,14.1
E00086760,69.1,17.5,13.5
E00086761,80.7,7.3,12
E00086816,66.3,31.3,2.5
E00086818,62.8,31,6.3
E00086861,65.9,15.6,18.5
E00086862,80.9,11,8.1
E00086863,73.9,12.4,13.7
E00086864,75.2,7.3,17.6
E00086865,62.3,12.6,25.1
E00086866,77.5,5.7,16.8
E00086867,66.1,7.6,26.3
E00086868,81.1,5.4,13.4
E00086869,72.2,9.3,18.6
E00086870,67.1,14.3,18.6
E00086871,81.8,6.7,11.4
E00086872,54.4,12.5,33.1
E00086873,72.7,8.2,19.1
E00086874,85.1,3,11.8
E00086875,76.5,8.9,14.6
E00086876,61,11.6,27.4
E00086877,75,11.8,13.2
