geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02000002,92.7,2.6,2.2,2.5
E02000003,93.1,3.1,1.7,2.2
E02000004,91.6,4.2,1.6,2.7
E02000005,93.2,2.8,1.6,2.4
E02000007,92.7,3,2,2.3
E02000008,92.1,2.8,2.1,3
E02000009,92.9,2.9,2,2.2
E02000010,91.9,2.9,2.4,2.8
E02000011,93,2.9,2.1,2
E02000012,93.1,3.2,1.8,2
E02000013,92.4,2.9,2.1,2.6
E02000014,92.2,2.8,2.2,2.7
E02000015,92.5,2.9,2.5,2.1
E02000016,95.3,1.8,1.6,1.3
E02000017,93.5,2.8,1.9,1.8
E02000018,93,2.2,2.2,2.5
E02000019,92.6,2.3,2.2,2.9
E02000020,93.8,2.2,1.7,2.3
E02000021,92.9,2.6,2,2.5
E02000022,94.2,2.3,1.8,1.6
E02000023,93.4,2.3,2,2.3
E02000065,93,2.5,2.4,2.1
E02000066,92.7,2.9,2,2.4
E02000067,92.6,3.2,1.7,2.6
E02000068,92.7,3.2,2,2.1
E02000069,92,3.9,1.7,2.3
E02000070,90.5,4.4,2.2,2.9
E02000071,91.8,4.2,1.6,2.4
E02000072,92.3,2.9,2,2.8
E02000073,91.9,4.2,1.5,2.4
E02000074,91,3.8,2.1,3.1
E02000075,90.5,5,1.8,2.7
E02000077,91.6,4.1,1.6,2.6
E02000078,91.4,4.7,1.5,2.4
E02000079,92,4.2,1.7,2.1
E02000080,91.8,4.5,1.6,2.2
E02000081,91.7,4.1,1.8,2.4
E02000082,92.3,4.1,1.5,2.1
E02000083,90.9,4,2.1,3
E02000084,91.3,4.9,1.5,2.3
E02000085,92.2,4.3,1.5,2
E02000086,91.3,4.7,1.7,2.3
E02000087,91,4.9,1.5,2.6
E02000088,90.9,4.9,1.6,2.7
E02000089,91.7,4.5,1.4,2.5
E02000090,92.4,4.6,1.2,1.8
E02000091,91.4,4.6,1.5,2.5
E02000092,90.2,3.9,2.3,3.7
E02000127,90.8,4.1,2.1,3
E02000128,92.3,4.2,1.6,1.9
E02000133,91.4,5.3,1.3,2
E02000134,93,3.8,1.5,1.7
E02000136,90.6,4.2,2.1,3.1
E02000140,91,3.5,2.2,3.3
E02000142,92.8,4.4,1.2,1.6
E02000144,93,4.3,1.3,1.4
E02000145,91.5,3.8,1.8,2.9
E02000146,92.7,4.1,1.4,1.7
E02000148,91.4,5.2,1.2,2.2
E02000149,90.6,4.3,1.9,3.1
E02000151,91.4,5.6,1.2,1.8
E02000152,91.6,3.8,2,2.6
E02000153,91.5,5.2,1.2,2
E02000154,92,4.4,1.5,2.1
E02000155,89.9,4.9,2,3.2
E02000157,90.9,5.8,1.4,1.9
E02000158,90.7,4.5,1.8,3
E02000159,91.3,5.1,1.4,2.2
E02000160,91.5,5.2,1.4,2
E02000161,92.3,4.5,1.4,1.7
E02000162,90.8,4.6,1.8,2.8
E02000163,90.5,5.4,1.7,2.5
E02000165,91.5,4.7,1.5,2.3
E02000313,92.2,2.5,2.4,2.9
E02000314,92.8,3.1,2,2.1
