geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02000002,17.7,25.7,41.8,14.8
E02000003,24,32.3,13.3,30.5
E02000004,28.1,39.4,16.2,16.3
E02000005,16,37.1,25.1,21.7
E02000007,12.9,28.3,42.2,16.6
E02000008,14.8,30,35.5,19.8
E02000009,11.1,27.1,34.6,27.2
E02000010,14.5,30.3,33.6,21.5
E02000011,24.8,31.4,14.9,28.9
E02000012,26.2,41.5,12.2,20.1
E02000013,14.5,26.9,37.1,21.5
E02000014,14.8,27.2,35.6,22.3
E02000015,12.4,20.7,47.2,19.7
E02000016,5.7,18.1,34.5,41.8
E02000017,20.9,26,10.7,42.4
E02000018,13,27.2,37.8,22.1
E02000019,12.6,31.4,35.6,20.4
E02000020,11.3,32.6,31.2,24.9
E02000021,18.8,29.6,20.8,30.9
E02000022,4,20.5,49.2,26.3
E02000023,7.3,24.4,48.2,20.1
E02000065,13.5,29.6,28.9,28
E02000066,15.1,16.4,49,19.5
E02000067,19.9,30.4,20.2,29.6
E02000068,16,30.3,29.5,24.1
E02000069,29.1,39.1,14.4,17.4
E02000070,41.8,36.7,8.1,13.4
E02000071,34.3,36.7,14.4,14.5
E02000072,13.8,35.3,34.4,16.6
E02000073,44,43.5,4.1,8.4
E02000074,19.6,32.2,36.8,11.4
E02000075,48.5,36.4,5.7,9.5
E02000077,35.5,41.2,10.4,13
E02000078,39.6,44.6,5.4,10.4
E02000079,36.4,37.3,5.7,20.7
E02000080,38.1,39.7,6.3,15.9
E02000081,37.1,36.2,14.2,12.5
E02000082,40.2,46.4,2.3,11.2
E02000083,25.3,40.2,18,16.5
E02000084,40.9,43.5,4.3,11.2
E02000085,38,44.9,4,13
E02000086,44,43.1,1.6,11.3
E02000087,42.1,38.8,5,14.2
E02000088,42.7,44.5,3.9,9
E02000089,41.9,44.8,5.4,8
E02000090,32,34.3,10,23.7
E02000091,37.1,31.6,14.7,16.6
E02000092,25.7,30.8,32.2,11.3
E02000127,19.3,30.6,32.6,17.4
E02000128,32.9,39.8,11.8,15.5
E02000133,40.6,41.2,3.5,14.6
E02000134,22.3,31.5,14.6,31.6
E02000136,38.1,34,18.9,8.9
E02000140,18.5,29.5,41.9,10
E02000142,33.9,40.9,5.5,19.7
E02000144,27.3,34.4,5.6,32.8
E02000145,21.3,31,33.1,14.6
E02000146,26.9,42,8.2,22.9
E02000148,43.3,38.5,7.3,10.9
E02000149,30.3,35.9,19.5,14.2
E02000151,47.1,42.6,2.2,8
E02000152,24.6,37.2,27.2,10.9
E02000153,42.9,48.2,3.9,5
E02000154,36.7,35.7,7.9,19.7
E02000155,46.2,35.4,8.4,10.1
E02000157,49.1,39.8,2,9.2
E02000158,39.3,31.7,21,8
E02000159,46.7,40.1,2.8,10.5
E02000160,44.4,40.8,3.4,11.4
E02000161,46,41.2,2.5,10.3
E02000162,40.2,33,16.8,10
