geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E02000002,64.7,35.3
E02000003,58,42
E02000004,71.6,28.4
E02000005,60.1,39.9
E02000007,65.1,34.9
E02000008,63.1,36.9
E02000009,56.5,43.5
E02000010,61.9,38.1
E02000011,60.5,39.5
E02000012,61.3,38.7
E02000013,61.4,38.6
E02000014,62.6,37.4
E02000015,62,38
E02000016,41.7,58.3
E02000017,45.6,54.4
E02000018,61.2,38.8
E02000019,62.5,37.5
E02000020,52.1,47.9
E02000021,56.8,43.2
E02000022,50.6,49.4
E02000023,57.4,42.6
E02000065,55,45
E02000066,60.6,39.4
E02000067,65.2,34.8
E02000068,67.6,32.4
E02000069,73.1,26.9
E02000070,80.1,19.9
E02000071,82.9,17.1
E02000072,69.8,30.2
E02000073,82.2,17.8
E02000074,79.7,20.3
E02000075,85.3,14.7
E02000077,77,23
E02000078,86.2,13.8
E02000079,78.5,21.5
E02000080,76.1,23.9
E02000081,82.6,17.4
E02000082,82.8,17.2
E02000083,81,19
E02000084,83.9,16.1
E02000085,86.3,13.7
E02000086,89.3,10.7
E02000087,86.9,13.1
E02000088,88.9,11.1
E02000089,89,11
E02000090,85.2,14.8
E02000091,85.4,14.6
E02000092,84.8,15.2
E02000127,75.4,24.6
E02000128,84.1,15.9
E02000133,81.6,18.4
E02000134,72.4,27.6
E02000136,82.8,17.2
E02000140,80.8,19.2
E02000142,78.6,21.4
E02000144,67.1,32.9
E02000145,76.8,23.2
E02000146,79,21
E02000148,83.3,16.7
E02000149,82.2,17.8
E02000151,84,16
E02000152,80,20
E02000153,87.8,12.2
E02000154,76.4,23.6
E02000155,82.5,17.5
E02000157,83.9,16.1
E02000158,80.4,19.6
E02000159,86.7,13.3
E02000160,88.9,11.1
E02000161,80.1,19.9
E02000162,85.6,14.4
E02000163,85.2,14.8
E02000165,93,7
E02000313,60.9,39.1
E02000314,54.9,45.1
E02000315,60.4,39.6
E02000317,58.1,41.9
E02000318,45,55
E02000319,53.4,46.6
E02000320,60.5,39.5
E02000321,57.3,42.7
E02000323,50.8,49.2
E02000324,64.9,35.1
E02000326,66.7,33.3
E02000327,60.5,39.5
E02000328,70.7,29.3
E02000329,69.4,30.6
E02000331,64,36
E02000332,69.1,30.9
E02000333,72.2,27.8
E02000334,66.9,33.1
E02000335,79.4,20.6
E02000337,72.9,27.1
E02000339,78.7,21.3
E02000340,73.7,26.3
E02000341,73.6,26.4
E02000342,74.9,25.1
E02000343,74.8,25.2
E02000344,79.9,20.1
E02000464,79.6,20.4
E02000465,76.8,23.2
E02000466,83.5,16.5
E02000467,76.7,23.3
E02000468,80.3,19.7
E02000469,74.2,25.8
E02000470,81.7,18.3
E02000471,85.2,14.8
E02000472,81,19
E02000473,84.7,15.3
E02000474,77.8,22.2
E02000475,82.4,17.6
E02000476,65.4,34.6
E02000477,87.4,12.6
E02000478,78.9,21.1
E02000479,71.8,28.2
E02000480,66.3,33.7
E02000481,91.2,8.8
E02000482,91.7,8.3
E02000483,85.9,14.1
E02000484,85.2,14.8
E02000485,85.7,14.3
E02000486,84.8,15.2
E02000487,94.3,5.7
E02000488,88.3,11.7
E02000489,79.4,20.6
E02000490,81.3,18.7
E02000491,74,26
E02000492,85.1,14.9
E02000493,73.3,26.7
E02000661,69.6,30.4
E02000665,67.5,32.5
E02000668,70.9,29.1
E02000675,69.3,30.7
E02000678,64.9,35.1
E02000683,66.3,33.7
E02000714,51.1,48.9
E02000715,44.9,55.1
E02000716,48.7,51.3
E02000717,42.8,57.2
E02000718,48,52
E02000719,46.5,53.5
E02000720,50,50
E02000721,45.4,54.6
E02000722,44.2,55.8
E02000723,42.6,57.4
E02000724,43.9,56.1
E02000725,44.4,55.6
E02000727,40.5,59.5
E02000728,36.7,63.3
E02000729,48.4,51.6
E02000730,40.4,59.6
E02000731,39.2,60.8
E02000732,46.4,53.6
E02000733,49.6,50.4
E02000734,46.4,53.6
E02000735,43.7,56.3
E02000736,47.7,52.3
E02000737,48.8,51.2
E02000738,46.5,53.5
E02000739,45.1,54.9
E02000740,49.3,50.7
E02000741,48.3,51.7
E02000742,49.7,50.3
E02000743,48.6,51.4
E02000744,50.9,49.1
E02000745,45.5,54.5
E02000746,50.8,49.2
E02000747,45,55
E02000748,44.3,55.7
E02000749,52.7,47.3
E02000751,74.2,25.8
E02000752,65.3,34.7
E02000753,64.2,35.8
E02000754,69.8,30.2
E02000755,71.6,28.4
E02000756,60.9,39.1
E02000757,70,30
E02000758,61.3,38.7
E02000759,65.3,34.7
E02000760,59.4,40.6
E02000762,55.3,44.7
E02000763,52.8,47.2
E02000764,69.2,30.8
E02000765,49,51
E02000767,50.5,49.5
E02000768,74.8,25.2
E02000770,47.2,52.8
E02000772,49.1,50.9
E02000773,49,51
E02000774,46.7,53.3
E02000776,49.6,50.4
E02000777,74.4,25.6
E02000779,40.6,59.4
E02000781,55.1,44.9
E02000782,42,58
E02000783,44.8,55.2
E02000896,79.2,20.8
E02000897,76.5,23.5
E02000901,76.6,23.4
E02000915,61.5,38.5
E02000918,55.7,44.3
E02000921,53.6,46.4
E02000922,52.2,47.8
E02003279,94.3,5.7
E02003280,90.3,9.7
E02003281,93.6,6.4
E02003282,84.5,15.5
E02003283,91,9
E02003284,88.3,11.7
E02003285,80.8,19.2
E02003286,93.9,6.1
E02003287,89.8,10.2
E02003288,76.8,23.2
E02003289,92.1,7.9
E02003290,86.8,13.2
E02003291,92.4,7.6
E02003292,81.1,18.9
E02003293,76.8,23.2
E02003294,90.9,9.1
E02003295,91.3,8.7
E02003296,95.5,4.5
E02003297,94.4,5.6
E02003298,93.7,6.3
E02003299,92.5,7.5
E02003300,92,8
E02003301,79.1,20.9
E02003302,79.1,20.9
E02003303,81.5,18.5
E02003304,85.3,14.7
E02003305,84.4,15.6
E02003307,84.9,15.1
E02003308,86,14
E02003309,79,21
E02003311,62,38
E02003312,58.9,41.1
E02003313,74.8,25.2
E02003314,93.7,6.3
E02003315,95.6,4.4
E02003316,92.9,7.1
E02003317,90,10
E02003318,89.1,10.9
E02003319,84,16
E02003320,78.9,21.1
E02003321,87.6,12.4
E02003322,75.2,24.8
E02003323,86,14
E02003324,86.3,13.7
E02003325,71.7,28.3
E02003326,81.7,18.3
E02003327,83.9,16.1
E02003328,69.3,30.7
E02003329,73.6,26.4
E02003330,84.6,15.4
E02003331,92,8
E02003332,87,13
E02003333,73.6,26.4
E02003334,74.9,25.1
E02003335,76.7,23.3
E02003336,92.7,7.3
E02003337,88.8,11.2
E02003338,91.7,8.3
E02003339,85.3,14.7
E02003340,88.8,11.2
E02003341,93.7,6.3
E02003342,92.3,7.7
E02003343,91.3,8.7
E02003344,90.4,9.6
E02003345,93.1,6.9
E02003346,87.6,12.4
E02003347,90.8,9.2
E02003348,90.7,9.3
E02003349,93.4,6.6
E02003350,91.8,8.2
E02003351,93.1,6.9
E02003719,66.4,33.6
E02003720,65.3,34.7
E02003721,67.2,32.8
E02003722,64.6,35.4
E02003723,58.1,41.9
E02003724,66.8,33.2
E02003725,61.5,38.5
E02003726,58.7,41.3
E02003727,60.6,39.4
E02003728,53.7,46.3
E02003729,64,36
E02003731,63.4,36.6
E02003732,87.1,12.9
E02003733,93,7
E02003734,83.9,16.1
E02003735,83.8,16.2
E02003736,92.1,7.9
