geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02000002,25.3,21.9,18.4,34.5
E02000003,24.8,24.1,17.4,33.8
E02000004,23.3,26.7,20,30
E02000005,19.5,22.7,18.8,39.1
E02000007,29.1,22.1,18.4,30.4
E02000008,23.3,24.8,18.7,33.2
E02000009,23.8,21.6,18.6,36
E02000010,23.5,23.3,20.4,32.7
E02000011,22.5,23.8,18.6,35.1
E02000012,21.1,17.4,14.9,46.6
E02000013,24.3,23.5,18.4,33.9
E02000014,22.4,23.8,20.4,33.4
E02000015,30.9,20.9,18.3,30
E02000016,27.3,23.6,19.5,29.6
E02000017,22.5,18.3,17.5,41.7
E02000018,22.2,22.8,20.1,34.9
E02000019,18.3,23.1,23.1,35.4
E02000020,22.4,22.1,19.1,36.3
E02000021,22.6,22.6,19.1,35.7
E02000022,27,25,18,30
E02000023,23.5,21.4,17.9,37.2
E02000065,23.7,23.4,19.4,33.5
E02000066,31.8,22.2,17.7,28.3
E02000067,28.3,27,19.5,25.1
E02000068,30,25.2,19.2,25.6
E02000069,27.8,29.7,17.4,25.1
E02000070,25.1,31.1,17.6,26.1
E02000071,23.1,28.4,19.9,28.5
E02000072,24.5,25.7,19.9,30
E02000073,20.4,31.2,19.2,29.1
E02000074,29.7,27.6,18.2,24.5
E02000075,23.1,34.1,18.9,23.9
E02000077,21.1,28.5,19.6,30.9
E02000078,21.6,33.6,18.7,26
E02000079,29.2,31.5,18.2,21
E02000080,24.4,28.4,19.6,27.5
E02000081,27.5,29.6,18.1,24.9
E02000082,21.1,29.4,19.9,29.6
E02000083,26.9,30.1,18.3,24.7
E02000084,22.3,31.3,18.4,28
E02000085,24.3,30.9,17.9,26.9
E02000086,22.5,32.6,19.3,25.6
E02000087,26.1,33,16.9,24
E02000088,21,33.6,19.4,26.1
E02000089,20,32.3,18.9,28.8
E02000090,35.4,32.8,14.5,17.2
E02000091,34.6,29.9,17,18.5
E02000092,28.6,29.4,19.5,22.5
E02000127,30.4,27.3,19.9,22.3
E02000128,25.3,32.1,20.4,22.1
E02000133,25,34.7,16.8,23.5
E02000134,34.7,32.9,15.9,16.5
