geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02000002,81.9,12.1,6
E02000003,85.1,10.8,4.1
E02000004,82.7,12.5,4.8
E02000005,84.9,10.7,4.4
E02000007,82.4,11.6,6
E02000008,81.8,12.1,6.1
E02000009,84.7,10.6,4.7
E02000010,83.2,11.5,5.3
E02000011,83.7,11.1,5.2
E02000012,84.6,11.5,3.8
E02000013,82.8,11.5,5.7
E02000014,81.8,13,5.2
E02000015,82.8,12.1,5.1
E02000016,87.2,9.1,3.7
E02000017,84.9,10.7,4.4
E02000018,83.9,10.7,5.4
E02000019,83.5,11.6,4.9
E02000020,85.8,10.2,4
E02000021,84.7,10.9,4.4
E02000022,88.2,8.3,3.5
E02000023,85.2,9.6,5.1
E02000065,86.5,9.7,3.8
E02000066,82.6,12.5,4.9
E02000067,84.8,11,4.3
E02000068,84.4,11,4.7
E02000069,82.8,12.7,4.6
E02000070,82.4,12.9,4.7
E02000071,84.3,11.9,3.9
E02000072,84.3,10.9,4.8
E02000073,85.6,11,3.4
E02000074,81,13.3,5.7
E02000075,83.9,12.2,3.9
E02000077,83,12.4,4.6
E02000078,85,11.3,3.7
E02000079,83.5,12.3,4.2
E02000080,86.1,10.3,3.6
E02000081,82.5,12.4,5.1
E02000082,86.4,10.6,3
E02000083,84.1,11.2,4.7
E02000084,86.2,10.2,3.6
E02000085,85.8,10.6,3.6
E02000086,86.2,10.4,3.4
E02000087,85.8,10.4,3.8
E02000088,85.3,10.7,4
E02000089,84.2,11.8,4.1
E02000090,84,10.9,5.1
E02000091,83.3,11.9,4.7
E02000092,79.4,13.6,7
E02000127,81.6,12.6,5.8
E02000128,86.5,9.5,4
E02000133,88.8,8.2,3
E02000134,86.8,10,3.2
E02000136,81.8,12.8,5.3
E02000140,80.6,13.4,6
E02000142,87.5,9.4,3.1
E02000144,88.8,8.5,2.6
E02000145,81.6,12.5,5.9
E02000146,85.8,10.6,3.7
E02000148,87.7,9.3,3
E02000149,83.7,11.4,4.8
E02000151,87.8,9.7,2.5
E02000152,84.1,10.7,5.3
E02000153,88.7,8.5,2.8
E02000154,87.1,9.4,3.5
E02000155,81.5,13.4,5.1
E02000157,87.1,10.1,2.8
E02000158,84.3,11.2,4.5
E02000159,87.5,9.5,2.9
E02000160,86.4,10.5,3.1
E02000161,87.4,9.9,2.7
E02000162,82.7,12.7,4.6
E02000163,86.3,10.1,3.6
E02000165,86.7,10.2,3.1
E02000313,82.7,11.9,5.4
E02000314,86.1,9.8,4.1
E02000315,84,10.6,5.4
E02000317,82.4,11.5,6.1
E02000318,82.7,12.1,5.2
E02000319,83.9,11.7,4.5
E02000320,84.4,11.2,4.3
E02000321,81.2,12.4,6.4
E02000323,85.4,10.8,3.7
E02000324,80.9,13.1,5.9
E02000326,86.4,9.9,3.7
E02000327,83.8,11.2,5
E02000328,85.3,10.4,4.4
E02000329,81.8,12.7,5.5
E02000331,83,11.2,5.7
E02000332,85.3,10.6,4.1
E02000333,86.1,9.6,4.3
E02000334,83.9,10.8,5.3
E02000335,85.2,11.1,3.7
E02000337,80.3,13.2,6.4
E02000339,84.3,11.3,4.4
E02000340,83.5,12,4.5
E02000341,79.8,13.3,6.9
E02000342,84,10.8,5.2
E02000343,80.7,13,6.3
E02000344,84.7,11.2,4.2
E02000464,80.9,12.9,6.2
E02000465,82.2,12.6,5.2
E02000466,81.4,13.1,5.5
E02000467,81.1,12.6,6.3
E02000468,82.7,12.3,5
E02000469,81.1,13.4,5.5
E02000470,84.7,11.3,4
E02000471,84.8,11.1,4.1
E02000472,84.4,11.4,4.2
E02000473,86.1,10.4,3.5
E02000474,83.1,12.1,4.8
E02000475,85.2,11,3.9
E02000476,83.4,12.1,4.4
E02000477,85.7,10.9,3.5
E02000478,85.5,10.7,3.8
E02000479,84.2,11.3,4.5
E02000480,85.2,10.5,4.3
E02000481,82.7,12.6,4.7
E02000482,86.7,10,3.2
E02000483,82.9,12.6,4.5
E02000484,84.3,11.6,4.2
E02000485,85.6,10.5,3.9
E02000486,83,13,4
E02000487,86.1,10.6,3.3
E02000488,85.8,10.7,3.5
E02000489,83.3,12.5,4.3
E02000490,83.4,12,4.6
E02000491,83.7,11.6,4.7
E02000492,83.4,12.2,4.4
E02000493,83.6,11.9,4.4
E02000661,86.5,9.7,3.8
E02000665,85.9,10.3,3.8
E02000668,87.6,9.1,3.3
E02000675,84.9,10.8,4.3
E02000678,83,12.1,4.9
E02000683,82,12,6
E02000714,84.1,11.4,4.4
E02000715,82.4,11.9,5.6
E02000716,83.5,11.2,5.4
E02000717,82.3,12.3,5.5
E02000718,82.9,12.4,4.7
E02000719,85.1,10.7,4.2
E02000720,85.3,10.7,4
E02000721,83.9,11.2,5
E02000722,84.8,11,4.2
E02000723,83.2,11.9,4.9
E02000724,83.8,11.7,4.5
E02000725,85.3,10.5,4.2
E02000727,82.8,12.6,4.6
E02000728,84.6,10.9,4.5
E02000729,83.3,11.6,5.1
E02000730,83.4,11.8,4.7
E02000731,83.5,11.6,4.9
E02000732,82.4,12.4,5.2
E02000733,83.7,11.6,4.7
E02000734,83.4,11.7,4.8
