geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02000002,31.8,24.1,20.9,23.2
E02000003,27.8,24.7,25.5,22.1
E02000004,30.6,22.9,25.1,21.4
E02000005,32.4,24,22,21.5
E02000007,32.6,26.6,18.7,22.1
E02000008,34.1,24.7,17.6,23.7
E02000009,32.3,25.4,20.1,22.2
E02000010,31,27,18.3,23.8
E02000011,26.8,28.2,20.1,24.9
E02000012,30.6,21.5,27.6,20.2
E02000013,33.1,25.3,17.5,24.1
E02000014,32.4,28,15.2,24.4
E02000015,29.6,27.8,18.7,23.8
E02000016,29.3,26.5,25.6,18.6
E02000017,29.1,25.4,20.6,24.9
E02000018,33.2,25.1,17.4,24.2
E02000019,31.3,27.1,18.2,23.4
E02000020,28.4,26.5,23.8,21.3
E02000021,31.1,28,17.4,23.5
E02000022,32.5,26.1,23,18.3
E02000023,33.5,28.4,18.6,19.5
E02000065,29.2,27.5,23.5,19.8
E02000066,33.3,24,22.7,20
E02000067,32.4,21.3,28.5,17.7
E02000068,32.7,23.6,26.5,17.2
E02000069,31.8,19.5,31.3,17.4
E02000070,31.5,18,32.2,18.3
E02000071,33.7,17.1,30.3,18.8
E02000072,32,25.1,26.1,16.8
E02000073,28.9,18.4,37.5,15.3
E02000074,35.6,20.3,25.9,18.1
E02000075,28.8,16,38.2,17
E02000077,30,19.3,33.7,16.9
E02000078,28.8,18,36.8,16.5
E02000079,26.5,18.3,39.7,15.5
E02000080,28.3,18.2,35.3,18.2
E02000081,29.2,18.8,35.6,16.5
E02000082,29,17.8,34.3,18.9
E02000083,29.7,20.1,33.2,17
E02000084,27.2,15.5,41.4,15.9
E02000085,30.9,16.8,33.3,19.1
E02000086,29.8,14.8,37.7,17.7
E02000087,24.2,17,46,12.8
E02000088,25.5,15.5,42.9,16.1
E02000089,26.7,16.1,42.5,14.7
E02000090,26.5,17.2,42.6,13.7
E02000091,27.6,15.7,42.4,14.3
E02000092,32.4,19.2,29.5,18.9
E02000127,30.7,17.7,33,18.5
E02000128,23.5,16,46.1,14.5
E02000133,16.9,15.8,60,7.3
E02000134,24.9,15.1,47.9,12.1
E02000136,27.5,17.5,40.9,14.1
E02000140,33,20.7,27.4,18.9
E02000142,21.8,15.9,51.3,11.1
E02000144,21.3,16.2,51.6,10.9
E02000145,29.2,23.6,29.5,17.8
E02000146,23.2,16.5,48.7,11.6
E02000148,20.9,14.8,53.3,11
E02000149,27.7,21,35.8,15.5
E02000151,18.5,14.8,56.6,10.1
E02000152,26.8,16.8,39.3,17.2
E02000153,26,13.3,47.5,13.2
E02000154,23.4,17.2,47.7,11.7
E02000155,26.1,20.7,35.5,17.7
E02000157,21.4,15.6,51.6,11.3
E02000158,25.4,18.7,41,14.9
E02000159,23.9,16.6,46,13.5
E02000160,25.9,13.8,45.1,15.2
E02000161,21.3,18,49.6,11.1
E02000162,26.6,17.2,41.4,14.8
E02000163,20,18.3,49.6,12.2
E02000165,23,25.7,30.6,20.7
E02000313,37.1,24.8,18,20.1
E02000314,28.9,24.4,27.2,19.5
E02000315,33.7,26.2,19.8,20.3
E02000317,35.6,21.6,26.8,16
E02000318,37.1,25.1,20.1,17.7
E02000319,32.1,21.7,29.6,16.6
E02000320,31.2,22.1,28.6,18
E02000321,35.3,23.1,24,17.7
E02000323,31.6,22.5,29.8,16.1
E02000324,36.4,14.3,33,16.2
E02000326,25.2,13.7,47.6,13.5
E02000327,35.5,19.7,31,13.8
E02000328,22.4,9.8,58.6,9.1
