geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02000002,64.7,24.4,5.7,3,2.2
E02000003,58,24.1,8.3,5.3,4.3
E02000004,71.6,18.1,5.9,2.7,1.7
E02000005,60.1,24.5,8,4.2,3.2
E02000007,65.1,22.9,5.8,4.1,2.1
E02000008,63.1,23.1,7.3,4,2.5
E02000009,56.4,25.7,9.4,5,3.6
E02000010,61.9,23.5,6.9,5,2.7
E02000011,60.5,23.5,7.2,5.3,3.5
E02000012,61.3,26.7,5.6,3.2,3.2
E02000013,61.4,23.7,7.6,4.7,2.6
E02000014,62.6,22,7.5,4.9,3.1
E02000015,62,24.6,7,3.7,2.7
E02000016,41.7,27.3,11.7,11.4,7.9
E02000017,45.6,28.9,11,9,5.5
E02000018,61.2,23.2,8.1,4.6,2.9
E02000019,62.5,23.1,7.9,4.1,2.3
E02000020,52.1,29.3,8.7,5.5,4.3
E02000021,56.7,27.1,8.1,4.9,3.2
E02000022,50.6,31.6,8.8,5.4,3.6
E02000023,57.4,29.3,6.9,3.7,2.7
E02000065,55,30.2,7.3,4.3,3.3
E02000066,60.6,28.4,5.8,3,2.2
E02000067,65.2,20.8,7.4,3.9,2.6
E02000068,67.6,22,5,2.9,2.5
E02000069,73.1,18.3,4.9,2.1,1.6
E02000070,80.1,14.1,3.1,1.7,1.1
E02000071,83,12.6,2.3,1.4,0.8
E02000072,69.8,21.1,4.9,2.5,1.6
E02000073,82.2,13.9,2.2,1.1,0.7
E02000074,79.7,14.6,3.2,1.6,0.8
E02000075,85.3,11.7,1.6,0.9,0.6
E02000077,77,16,3.7,1.9,1.3
E02000078,86.2,9.7,2.2,1.1,0.8
E02000079,78.5,13.2,4.2,2.3,1.8
E02000080,76.1,16.5,4,2.1,1.3
E02000081,82.7,12,2.6,1.8,1
E02000082,82.8,12.7,2.4,1.3,0.8
E02000083,81,13.1,2.9,1.7,1.3
E02000084,83.9,11.8,2.1,1.3,0.8
E02000085,86.3,9.7,2.1,1,0.9
E02000086,89.2,8.1,1.6,0.6,0.4
E02000087,86.9,9.5,1.7,1,0.9
E02000088,88.9,8.9,1.1,0.7,0.4
E02000089,89,8.8,1.4,0.3,0.5
E02000090,85.2,9.1,2.4,1.9,1.4
E02000091,85.4,10.5,2.1,1.4,0.6
E02000092,84.8,11.4,2,1.1,0.8
E02000127,75.4,16.7,4.6,2.1,1.3
E02000128,84.1,11.5,2.1,1.3,1
E02000133,81.6,13.9,2.4,1.2,0.9
E02000134,72.4,14.8,5.2,4.5,3
E02000136,82.8,13.4,1.9,1,0.9
E02000140,80.8,13.9,3,1.4,0.9
E02000142,78.6,13.7,3.3,2.6,1.8
E02000144,67.1,17,6.3,5.6,4
E02000145,76.8,16,4,2.1,1.2
E02000146,79,13,3.1,2.7,2.1
E02000148,83.3,12.7,1.8,1.1,1
E02000149,82.2,12.2,3.2,1.3,1.2
E02000151,84,11.8,2.4,1,0.7
E02000152,80,14.1,2.7,1.9,1.2
E02000153,87.8,9.6,1.2,0.9,0.6
E02000154,76.4,14.7,3.8,2.8,2.2
E02000155,82.5,12.9,2.4,1.3,0.9
E02000157,83.9,11.1,2.4,1.5,1.1
E02000158,80.4,14.8,2.4,1.5,0.9
E02000159,86.7,9.8,1.2,1.1,1.2
E02000160,88.9,8.3,1.6,0.8,0.4
E02000161,80.1,13.8,2.8,2.1,1.2
E02000162,85.6,9.7,2,1.6,1.2
E02000163,85.3,10.8,1.7,1,1.1
E02000165,93,5.6,0.7,0.5,0.2
E02000313,60.9,27.7,6,3.2,2.2
E02000314,54.9,29,8.3,4.8,3
E02000315,60.3,25.9,6.4,3.8,3.6
E02000317,58.1,26.9,7.2,4.9,2.9
E02000318,45,28.9,10.5,8.8,6.7
E02000319,53.4,27.2,8.9,6.1,4.3
E02000320,60.5,24.7,7.2,4.8,2.8
E02000321,57.3,26.5,8.2,4.4,3.5
E02000323,50.8,28.5,8.4,6.4,5.8
E02000324,64.9,23.9,5.7,3,2.5
E02000326,66.7,19.8,7.4,3.8,2.3
E02000327,60.6,27,5.8,3.6,3
E02000328,70.7,17.7,5.6,3.7,2.3
E02000329,69.4,20.3,5.5,3,1.9
E02000331,64,22.4,6.2,4.2,3.1
E02000332,69.1,20.2,5,3.5,2.2
E02000333,72.2,17,5.2,3.5,2
E02000334,66.9,21.8,6.3,3.3,1.7
E02000335,79.4,14.1,4,1.4,1.2
E02000337,72.9,18,4.7,2.8,1.6
E02000339,78.7,14.1,3.8,2.2,1.3
E02000340,73.7,15.7,4.8,3.3,2.5
E02000341,73.6,18.9,3.9,2.3,1.3
E02000342,74.9,15.2,4.6,2.4,2.9
E02000343,74.8,17.8,4,2.2,1.3
E02000344,79.9,15.4,2.4,1.6,0.7
E02000464,79.7,13.9,3.6,1.9,1
E02000465,76.8,15.4,4.5,2.2,1.1
E02000466,83.5,11.6,2.5,1.3,1.1
E02000467,76.7,15.2,4.7,2.1,1.3
E02000468,80.3,13.5,3.5,1.7,1
E02000469,74.2,16.9,4.8,2.4,1.6
E02000470,81.7,11.5,3.7,1.9,1.2
E02000471,85.2,10.5,2,1.4,0.9
E02000472,80.9,12,3.5,2.1,1.5
E02000473,84.7,10.6,2.6,1.2,0.9
E02000474,77.8,14.4,3.7,2.5,1.5
E02000475,82.4,11.8,3,1.6,1.3
E02000476,65.4,16.1,8.2,6,4.3
E02000477,87.3,8.6,2,1.2,0.9
E02000478,78.8,18.3,1.4,0.7,0.7
E02000479,71.8,14.9,6.7,4.2,2.3
E02000480,66.3,18.7,6.5,4.5,4.1
E02000481,91.2,6,1.4,0.9,0.4
E02000482,91.7,6.2,1.2,0.5,0.4
E02000483,85.9,8.7,2.8,1.6,1
E02000484,85.2,10.2,2.3,1.2,1.1
E02000485,85.8,8.9,2.8,1.8,0.8
E02000486,84.8,10.4,2.2,1.4,1.1
E02000487,94.3,4.5,0.5,0.4,0.3
E02000488,88.3,8.5,1.5,1,0.6
