geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02000002,33.2,37.8,21.4,6.8,0.8
E02000003,42,37.3,17,3.7,0.1
E02000004,43.9,35.9,15.8,4.2,0.1
E02000005,42.5,34.5,17.1,5.5,0.4
E02000007,36.3,35.9,20.1,7.2,0.4
E02000008,33.4,37.4,22,6.6,0.6
E02000009,37.1,37.6,19.1,5.9,0.3
E02000010,36.6,37.3,19.1,6.3,0.7
E02000011,38.4,38.8,18.4,3.8,0.6
E02000012,42.4,34.8,18.4,4.1,0.3
E02000013,33.9,37.4,21.4,6.9,0.5
E02000014,34.7,37.2,20.4,7.2,0.4
E02000015,34.3,37.8,20.8,6.7,0.4
E02000016,37.6,38,18.2,5.6,0.6
E02000017,36.8,39.3,17.1,6.5,0.3
E02000018,33.6,38.2,20.8,7.1,0.3
E02000019,37.5,36.8,19.8,5.8,0.1
E02000020,41.7,36.6,17,4.6,0.1
E02000021,37.5,39.4,18.1,4.7,0.3
E02000022,41,36.5,16.6,5.5,0.4
E02000023,36.1,36.9,19.5,6.6,0.9
E02000065,41.2,37.4,16.3,4.8,0.3
E02000066,36.7,37.7,18.6,6.4,0.6
E02000067,45,34.8,15.5,4.2,0.5
E02000068,41.6,34.3,19,4.7,0.5
E02000069,46.2,37.1,13,3.4,0.3
E02000070,45.6,35.5,15.6,3.1,0.2
E02000071,45.4,36.8,14.6,2.9,0.2
E02000072,41.8,33.1,18.3,6.4,0.4
E02000073,53.6,33.5,10.8,1.9,0.2
E02000074,39.2,35.9,19.2,5.3,0.4
E02000075,50.7,35.4,12.1,1.7,0.1
E02000077,48.4,33.4,14.8,3.3,0.1
E02000078,53.2,32.9,11.8,1.9,0.2
E02000079,51.8,33.8,12.1,2.2,0.2
E02000080,49.5,35,13.2,2.2,0.1
E02000081,48.5,34.2,14.1,3.2,0.1
E02000082,55.8,31.6,11,1.6,0.1
E02000083,48.7,32.9,14.7,3.3,0.3
E02000084,54.7,33.1,10.6,1.5,0.1
E02000085,50.5,34.6,12.6,2.2,0
E02000086,55.3,32.5,10.4,1.8,0.1
E02000087,55.5,32.9,10.1,1.4,0.1
E02000088,55.2,31.5,11.5,1.7,0.1
E02000089,55,33.5,9.5,1.8,0.1
E02000090,53.1,33,11.3,2.4,0.1
E02000091,48.7,34.2,14.2,2.8,0.2
E02000092,41.3,34.5,17.6,6.3,0.4
E02000127,43,33.2,17.7,5.8,0.2
E02000128,56.1,30.2,11.8,1.9,0.1
E02000133,65.6,26.9,6.3,1.1,0.1
E02000134,54.8,30.4,11.6,3,0.2
E02000136,47.9,32.4,15.6,3.6,0.6
E02000140,37.5,33.4,21.2,7.4,0.5
E02000142,60.5,29.8,8.6,1.2,0
E02000144,61.3,29.2,8.1,1.4,0
E02000145,40.6,34.7,17.4,7,0.4
E02000146,58.1,28.9,9.7,3.1,0.2
E02000148,58,31.2,8.7,2,0.1
E02000149,48.7,32.1,14.9,4,0.4
E02000151,61.3,30.5,7.1,1.1,0
E02000152,49.4,30,16.2,4.1,0.2
E02000153,61.5,29.3,8.2,0.8,0.1
E02000154,55.9,31.5,10.2,2.1,0.2
E02000155,46.9,35.1,15,2.9,0.2
E02000157,58.3,32.6,8.7,0.4,0.1
E02000158,49.4,33.7,13.8,3,0.1
E02000159,58.2,31.1,9.3,1.4,0
E02000160,56.3,32.2,10.3,1.2,0
E02000161,59.2,30.9,8.8,1.1,0
E02000162,49.3,34.4,13,3.2,0.2
E02000163,56.4,32,10.1,1.4,0
E02000165,54.9,33.1,10.6,1.4,0
E02000313,33.8,38.9,19.9,6.4,1
E02000314,43.9,35.2,15.1,5.6,0.3
E02000315,35.2,36.9,19.9,7.1,1
E02000317,37.8,35.6,18.8,7.2,0.6
E02000318,35.8,36.7,20.1,6.9,0.5
E02000319,41.7,34.7,16.9,5.9,0.8
E02000320,44.7,34.8,15.4,4.6,0.5
E02000321,34.3,37.4,19.9,7.5,0.9
E02000323,42.8,35.2,15.8,5.5,0.6
E02000324,38.8,35.1,18.1,7.5,0.5
E02000326,55.1,29.2,12,3.3,0.4
E02000327,42.2,32.3,18.9,6,0.6
E02000328,56.3,27.9,12.1,3.6,0.1
E02000329,42.2,35.4,16.2,5.7,0.5
E02000331,44.8,31.1,17.5,6.1,0.5
E02000332,51.8,33.2,12.3,2.6,0.2
E02000333,59.9,27.6,9.8,2.4,0.3
E02000334,46.4,33.5,14.7,5,0.4
E02000335,52.5,32.6,12.2,2.7,0
E02000337,39,34.7,19.2,6.8,0.3
E02000339,50.3,33.3,13.3,2.8,0.3
E02000340,50.1,33,14,2.7,0.1
E02000341,36.2,34.6,20.7,8.2,0.3
E02000342,47.2,30.9,16.2,5.3,0.4
E02000343,44.2,32.3,17.7,5.3,0.4
E02000344,54.7,30.6,12.2,2.6,0
E02000464,38.6,35.5,19,6.1,0.7
E02000465,39.8,33.5,19.5,6.8,0.4
E02000466,42.4,36,16.6,4.7,0.3
E02000467,31.7,37.5,22.1,8,0.8
E02000468,45.2,36.3,15.2,3.1,0.2
E02000469,38.2,36.3,19.5,5.5,0.4
E02000470,52.7,33.3,11.4,2.4,0.2
E02000471,50.3,35.8,12.1,1.8,0
E02000472,47.8,34.9,14.5,2.7,0.1
E02000473,53.1,32.7,12,2,0.2
E02000474,44.8,35.7,15.9,3.4,0.2
E02000475,54.5,31.6,11.5,2.4,0
E02000476,46.6,32.6,16.5,4,0.3
E02000477,53.9,33,11.3,1.7,0.1
E02000478,52.7,33.3,12.5,1.5,0
E02000479,49.4,31.5,14.8,4,0.3
E02000480,46.9,34,15,3.9,0.2
E02000481,48.9,35.7,13.3,1.9,0.2
E02000482,57.7,32.4,9.1,0.8,0
E02000483,44.8,37.2,15.4,2.3,0.3
E02000484,50.7,34,12.7,2.6,0
E02000485,52.6,33.9,12.1,1.4,0
E02000486,47.5,35.6,14.2,2.5,0.2
E02000487,58.4,32,8.4,1.1,0.1
E02000488,53.3,33.4,11.7,1.5,0
E02000489,46.3,35.2,15.4,3,0.2
E02000490,43.3,36.8,16.5,3.3,0.1
E02000491,42.8,34.9,17.1,4.9,0.3
E02000492,45.5,36.5,14.6,3.3,0.1
E02000493,40.8,36.9,18.3,3.9,0.2
E02000661,53.4,30.6,11.6,4,0.5
E02000665,51.6,30.6,13.8,3.7,0.3
E02000668,56.5,28.6,11.8,3.1,0
E02000675,49.9,33.3,13,3.4,0.3
E02000678,38.9,34.7,18.9,6.9,0.6
E02000683,42.3,31.6,19.2,6.5,0.4
E02000714,42.6,34.2,17.4,5.5,0.4
E02000715,28.7,40.1,22.2,8.5,0.5
E02000716,35.9,37.5,19.5,6.4,0.6
E02000717,29.5,39.8,22.5,7.6,0.6
E02000718,30.1,39.6,21.6,8.2,0.5
E02000719,40,36.3,17.2,6,0.4
E02000720,38.2,36.4,20.3,5,0.1
E02000721,30.5,39.5,22.8,6.8,0.5
E02000722,38.6,36,18.8,6.2,0.4
E02000723,30.6,38.9,22.4,7.7,0.4
E02000724,30.5,38.3,23.7,7.1,0.4
E02000725,42.2,34.6,17.6,5,0.5
E02000727,28.1,41.2,22.5,7.6,0.6
E02000728,33.6,38.9,21.9,5.3,0.3
E02000729,33.7,37.9,19.5,8.5,0.4
E02000730,29.3,38.7,23.8,7.8,0.4
E02000731,29.7,41.2,21.4,7.3,0.4
E02000732,32.1,37.8,21.5,7.8,0.8
E02000733,34.6,38.2,19.4,7.3,0.5
E02000734,33.6,38.1,20.9,6.9,0.5
E02000735,33.5,38.1,20.7,6.7,1
E02000736,32,39.3,21.1,7.3,0.4
E02000737,33.4,36.1,22.6,7.2,0.6
E02000738,39.2,37.5,17.8,5.2,0.3
E02000739,34.3,38.4,20.3,6.3,0.7
E02000740,34.1,38.3,20.4,6.5,0.7
E02000741,36.4,37,19.8,6.4,0.4
E02000742,34.7,39.1,19.7,6.2,0.3
E02000743,36.8,34.8,19.6,8.2,0.6
E02000744,38.3,36.5,18.6,6.1,0.5
E02000745,37.5,37.6,18.7,5.8,0.5
E02000746,47,31.8,15.4,5.4,0.3
E02000747,49.9,29.9,14.8,5,0.3
E02000748,38.8,36.7,18.6,5.5,0.4
E02000749,34.8,35.5,20.5,8.6,0.6
E02000751,56.6,31.1,10.3,1.8,0.1
E02000752,43.2,33.3,17.5,5.4,0.7
E02000753,41.4,34.9,17.2,6.2,0.2
E02000754,53.2,30.6,13.3,2.9,0.1
E02000755,49.5,34.3,12.5,3.6,0.2
E02000756,49.2,33.7,13.5,3.4,0.2
E02000757,57.5,30.7,9.5,2,0.2
E02000758,44.7,35.8,15,4.4,0.2
E02000759,51.9,33.2,11.7,2.8,0.3
E02000760,42.9,36.4,16.4,4.1,0.1
E02000762,47.7,35.5,14.5,2.2,0.1
E02000763,46.4,34.3,15.4,3.6,0.3
E02000764,56.9,30.5,10.3,2.1,0.2
E02000765,46.1,37.2,13.5,2.7,0.4
E02000767,48.4,35.2,13.3,2.9,0.1
E02000768,59.8,30.3,8,1.8,0.1
E02000770,41.4,37.3,16.4,4.5,0.5
E02000772,40.9,37.7,16.4,4.8,0.3
E02000773,45.1,33.4,15.1,5.7,0.7
E02000774,40.2,37.5,17.3,4.8,0.2
E02000776,41.4,36.8,17.5,4,0.3
E02000777,53.5,31.8,11.7,2.8,0.3
E02000779,31.7,41.4,20.6,5.6,0.8
E02000781,43,35.9,17.1,3.8,0.2
E02000782,38.9,36.9,18.6,5.3,0.4
E02000783,33.5,38.2,21.3,6.6,0.4
E02000896,52.5,33.3,11.8,2.2,0.2
E02000897,42.7,33.4,17.9,5.6,0.4
E02000901,54.5,30.3,12.1,2.8,0.3
E02000915,48.3,34,13.7,3.7,0.2
E02000918,44,33.9,16.2,5.5,0.4
E02000921,37,36.2,20.3,5.9,0.6
E02000922,43.3,34.9,16.9,4.4,0.5
E02003279,46.7,37.8,13,2.3,0.2
E02003280,42.4,36.8,17.1,3.5,0.2
E02003281,44.2,36.7,15.3,3.5,0.5
E02003282,46.7,33.7,15.2,4,0.5
E02003283,45.5,34.3,15,4.7,0.4
E02003284,41.6,35.5,17.6,4.9,0.4
E02003285,47.3,33.3,15.2,3.9,0.4
E02003286,60.9,30.1,8.1,0.9,0.1
E02003287,42.5,34.3,17.3,5.4,0.5
E02003288,40.6,33.9,18.7,6.4,0.4
