geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02000002,81.5,14.9,3.6
E02000003,73.8,20.4,5.8
E02000004,84.4,12.9,2.7
E02000005,76.7,19.2,4.2
E02000007,82.1,14.2,3.7
E02000008,78.8,17.1,4.1
E02000009,73.6,21.2,5.2
E02000010,78.4,17.5,4.1
E02000011,75.6,18.6,5.8
E02000012,76.1,18.1,5.8
E02000013,77.6,17.2,5.2
E02000014,77.7,17.2,5.1
E02000015,81,15,4
E02000016,64.9,27.9,7.2
E02000017,62.9,27.2,9.9
E02000018,77.8,17.2,5
E02000019,79,17.1,4
E02000020,71.2,22.3,6.5
E02000021,76.6,18.5,4.9
E02000022,72,23.1,4.9
E02000023,78.8,17.4,3.8
E02000065,86.2,11.3,2.6
E02000066,84.7,11.3,4
E02000067,82.8,13.7,3.5
E02000068,85.5,11.8,2.8
E02000069,87.5,10.2,2.3
E02000070,89.4,9,1.6
E02000071,91.7,6.8,1.5
E02000072,89.1,9.3,1.6
E02000073,91.2,7.2,1.6
E02000074,91.1,7.4,1.5
E02000075,92.8,6.2,1
E02000077,86.2,11.3,2.4
E02000078,93.8,5.3,1
E02000079,88.8,9.4,1.8
E02000080,87.2,10.7,2
E02000081,91.7,7,1.3
E02000082,91.4,7.2,1.5
E02000083,90.7,7.9,1.4
E02000084,92.8,6.1,1.1
E02000085,93.5,5.2,1.3
E02000086,95.1,4.4,0.5
E02000087,95.1,4.3,0.6
E02000088,96.1,3.3,0.6
E02000089,95.3,4.2,0.5
E02000090,93.2,5.9,0.9
E02000091,93.7,5.4,0.9
E02000092,93.4,5.5,1.1
E02000127,88.3,9.9,1.8
E02000128,93.3,5.9,0.8
E02000133,95,4.5,0.5
E02000134,86.6,11.6,1.8
E02000136,93.6,5.6,0.9
E02000140,91.4,7.4,1.2
E02000142,91.9,7.2,0.9
E02000144,84.9,13.8,1.3
E02000145,89.7,8.9,1.4
E02000146,92,7,1
E02000148,94.8,4.6,0.6
E02000149,92.2,6.6,1.1
E02000151,94.4,5.2,0.4
E02000152,92,6.9,1.1
E02000153,95.6,4,0.4
E02000154,89.6,9.3,1.1
E02000155,92.8,6.1,1
E02000157,94.2,5.5,0.3
E02000158,91.9,7.4,0.7
E02000159,96.1,3.4,0.6
E02000160,96.5,3.2,0.3
E02000161,91.3,8.2,0.5
E02000162,94.8,4.7,0.5
E02000163,94.2,5.2,0.6
E02000165,97.8,2,0.2
E02000313,86.3,11.3,2.4
E02000314,82.1,14.2,3.7
E02000315,83.2,13.6,3.2
E02000317,78.6,15.8,5.6
