geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02000002,13,46.7,40.2
E02000003,16.2,46.1,37.7
E02000004,13.9,53.8,32.3
E02000005,15.1,43,41.9
E02000007,15,46.2,38.8
E02000008,14.3,45.1,40.6
E02000009,16.1,41.3,42.6
E02000010,16.5,43.5,40
E02000011,14.2,48.5,37.3
E02000012,13.8,38.4,47.8
E02000013,14.2,45,40.9
E02000014,14.1,47.2,38.6
E02000015,16.3,44.4,39.3
E02000016,17.7,35.4,46.9
E02000017,15.1,37.8,47.1
E02000018,16.8,42.8,40.3
E02000019,15.2,42.7,42.1
E02000020,15.5,37.1,47.4
E02000021,15.2,44.3,40.4
E02000022,20.1,32.9,47
E02000023,15.8,37.6,46.6
E02000065,17.8,44.7,37.5
E02000066,16.6,46,37.4
E02000067,14.9,50.6,34.5
E02000068,15.7,51.2,33.1
E02000069,12.5,59.9,27.6
E02000070,11.4,63.9,24.7
E02000071,14.1,57.2,28.7
E02000072,17.5,47.9,34.6
E02000073,11.3,65.6,23.1
E02000074,13.6,56.2,30.2
E02000075,10.3,69.7,20
E02000077,13.8,56.9,29.3
E02000078,12,67.1,20.9
E02000079,11.5,66.1,22.5
E02000080,13,63.1,24
E02000081,11,67.3,21.7
E02000082,12.8,62.5,24.7
E02000083,13.1,58.8,28.2
E02000084,13,66.1,21
E02000085,12.5,63.6,23.9
E02000086,12.5,67.7,19.8
E02000087,12.2,67.4,20.4
E02000088,10.6,68.8,20.6
E02000089,12.7,65.6,21.7
E02000090,17.4,62.1,20.5
E02000091,12,67.1,20.9
E02000092,12.9,56.6,30.4
E02000127,13.9,57.2,28.9
E02000128,12.8,65.5,21.7
E02000133,11.2,69.2,19.6
E02000134,15,60,24.9
E02000136,10.4,67.6,22
E02000140,13,54.3,32.7
E02000142,13.6,65.3,21.1
E02000144,14.8,63.7,21.5
E02000145,13.1,54.9,32
E02000146,12.7,65.5,21.8
E02000148,11.7,69.7,18.6
E02000149,11.6,61.3,27.1
E02000151,10.3,74,15.7
E02000152,11.7,56.7,31.6
E02000153,11.4,68.9,19.7
E02000154,11.1,69.6,19.2
E02000155,9.4,69.4,21.3
E02000157,9.8,74.1,16.2
E02000158,10.9,66,23.1
E02000159,11.4,68.2,20.5
E02000160,11.7,70.6,17.7
E02000161,10.7,68.9,20.4
E02000162,10.4,69,20.6
E02000163,11.2,70.1,18.7
E02000165,13.5,66.4,20.1
E02000313,16,45,39
E02000314,18,42.8,39.2
E02000315,15.8,41.5,42.7
E02000317,15,43.2,41.8
E02000318,14.8,37.5,47.7
E02000319,16.3,43.4,40.4
E02000320,16.6,47.2,36.2
E02000321,16.7,44.5,38.8
E02000323,19,38.2,42.8
E02000324,13.2,48.9,37.9
E02000326,17.2,53.8,29.1
E02000327,18.1,42.9,39
E02000328,13.6,60.7,25.7
E02000329,12.5,56.9,30.6
E02000331,16.3,47.1,36.6
E02000332,13.3,59.8,26.9
E02000333,14.3,65.9,19.7
E02000334,13.8,55.1,31.2
E02000335,13,64.2,22.8
E02000337,14,52,34.1
E02000339,15.3,65.6,19.2
E02000340,13,64.2,22.8
E02000341,12.4,51.7,36
E02000342,21.7,49.1,29.2
E02000343,12.2,57.5,30.3
E02000344,12.7,63.3,23.9
E02000464,12.3,56.2,31.5
E02000465,15.2,53.8,31
E02000466,13.1,59.3,27.6
E02000467,14,49.6,36.4
E02000468,13.2,58.7,28.1
E02000469,12.4,55,32.6
E02000470,12.2,65.7,22.1
E02000471,10.9,68.3,20.8
E02000472,12.7,63.6,23.7
E02000473,12.5,63.2,24.3
E02000474,12.8,58.5,28.7
E02000475,11.8,67.3,20.8
E02000476,14.9,53.5,31.6
E02000477,13,67.9,19.1
E02000478,10.2,63.1,26.7
E02000479,14.2,52.2,33.5
E02000480,15.6,50.7,33.7
E02000481,11.3,68.8,19.8
E02000482,9.7,73.2,17.1
E02000483,12.7,65.1,22.2
E02000484,12.8,64.5,22.7
E02000485,12.3,65.6,22.1
E02000486,11.4,67.3,21.4
E02000487,9,74.8,16.2
E02000488,10.6,70.4,19
E02000489,12.8,60.2,27
E02000490,13.2,59.6,27.2
E02000491,14.5,54.4,31.1
E02000492,11.7,64,24.3
E02000493,16.2,53,30.8
E02000661,15.9,61.7,22.5
E02000665,19,51.5,29.6
E02000668,15.6,57.1,27.3
E02000675,16.3,55.9,27.8
E02000678,17.9,45.3,36.8
E02000683,15.7,48.1,36.1
E02000714,17.2,38.7,44.2
E02000715,12.7,30.9,56.5
E02000716,14.6,33.4,52
E02000717,13.4,30.8,55.8
E02000718,13.6,32.3,54.2
E02000719,18.4,38.1,43.5
E02000720,14,37.7,48.2
E02000721,13,32.1,54.9
E02000722,20,37,43
E02000723,13,32.1,54.9
E02000724,14.9,31.5,53.6
E02000725,19.5,37.2,43.3
E02000727,14.1,28.7,57.2
E02000728,15,32.8,52.2
E02000729,16.3,36,47.6
E02000730,13.9,30.1,56
E02000731,14.6,31.6,53.7
E02000732,13.5,32.4,54.1
E02000733,17.7,37.2,45.1
E02000734,16.8,35.7,47.5
E02000735,16.3,33.1,50.7
E02000736,15.1,32.5,52.5
E02000737,14.3,35.1,50.6
E02000738,16.1,32.7,51.2
E02000739,17.5,33.7,48.8
E02000740,19.4,36.3,44.3
E02000741,16.2,36.7,47
E02000742,14.6,33.8,51.6
E02000743,17.8,34.6,47.6
E02000744,18.2,37.3,44.5
E02000745,18.7,37.6,43.7
E02000746,20.3,36,43.7
E02000747,19.8,38.7,41.5
E02000748,19.8,41.1,39.1
E02000749,17.3,34.2,48.5
E02000751,12.3,65.3,22.4
E02000752,14.5,48.4,37.1
E02000753,13.7,51.5,34.8
E02000754,13.5,57,29.5
E02000755,14.6,58,27.5
E02000756,14.1,51.1,34.8
E02000757,16.5,59,24.5
E02000758,13.8,48.8,37.4
E02000759,15.8,50.4,33.8
E02000760,14.1,48.7,37.2
E02000762,12.4,50.6,37
E02000763,16.5,46.9,36.6
E02000764,14.3,61.3,24.4
E02000765,14,45.6,40.4
E02000767,14,46.8,39.2
E02000768,13.1,63.3,23.6
E02000770,13,42,45.1
E02000772,13.8,37.2,49
E02000773,14.8,36.7,48.5
E02000774,13.6,38.6,47.8
E02000776,13.9,39,47.1
E02000777,11.8,59.3,28.9
E02000779,13.8,36.6,49.6
E02000781,12.4,39.5,48.1
E02000782,13.2,32.5,54.3
E02000783,16.5,29.9,53.6
E02000896,12.5,64.7,22.7
E02000897,12.5,52.8,34.7
E02000901,15,57.8,27.2
E02000915,16.1,49.9,34
E02000918,17.1,45.2,37.6
E02000921,16,42.5,41.5
E02000922,17.6,44,38.4
E02003279,10.4,72.6,17
E02003280,10.7,67.3,22
E02003281,9.4,71.7,18.9
E02003282,11.2,66.6,22.3
E02003283,10.1,63.5,26.4
E02003284,13.6,62.4,24.1
E02003285,17.5,56,26.5
E02003286,12.8,73.3,13.9
E02003287,10.1,67.9,22
E02003288,14.8,54.4,30.8
E02003289,15,68.2,16.7
E02003290,12.2,63.6,24.2
E02003291,11.5,63.8,24.7
E02003292,15.2,56.3,28.5
E02003293,17.6,57.7,24.7
E02003294,10.2,74.7,15.1
E02003295,11.3,66,22.8
E02003296,11.7,71.9,16.4
E02003297,12.3,66.4,21.3
E02003298,11.3,67.1,21.6
E02003299,14.6,66.2,19.2
E02003300,13.2,66.3,20.5
E02003301,15.3,54.7,30
E02003302,14.5,52.5,32.9
E02003303,16.8,55.6,27.6
E02003304,11.5,62,26.5
E02003305,11.9,64.9,23.1
E02003307,12.3,57.6,30.1
E02003308,15,61.7,23.3
E02003309,13.4,62.8,23.9
E02003311,15.9,50.9,33.3
E02003312,19.7,47.4,32.8
E02003313,14.7,48.4,36.9
E02003314,10.8,67.4,21.9
E02003315,10.9,67.1,22
E02003316,12.8,63.6,23.6
E02003317,10.6,64.8,24.6
E02003318,12.2,69.1,18.7
E02003319,14.2,57.7,28.1
E02003320,17.2,54.6,28.2
E02003321,11,57.8,31.2
E02003322,23.3,46.6,30.1
E02003323,14.4,56.2,29.4
E02003324,14.9,56.2,29
E02003325,16.9,51.7,31.4
E02003326,13.4,57.8,28.8
E02003327,14.4,62.1,23.5
E02003328,16.7,47.1,36.3
E02003329,17.2,53,29.8
E02003330,13.8,60.3,25.9
E02003331,10.8,63.2,26.1
E02003332,11.2,61.9,26.9
E02003333,14.8,50.4,34.9
E02003334,14.1,53.1,32.8
E02003335,15.7,47.3,37
E02003336,9.3,72,18.7
E02003337,11.7,61.6,26.7
E02003338,11.6,65.1,23.3
E02003339,11.3,64.2,24.5
E02003340,10.2,60.7,29.1
E02003341,11.8,67.6,20.6
E02003342,10.1,69.9,20
E02003343,9.8,73.2,17
E02003344,12.5,59,28.5
