geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000002,76.1,10.3,4.9,8.7
E02000003,69.3,13.5,5.2,12
E02000004,82.2,7.7,3.2,7
E02000005,70.8,11.9,5.7,11.6
E02000007,78.2,7.3,4.7,9.8
E02000008,74.5,8.8,6,10.7
E02000009,66.5,12.7,6.1,14.7
E02000010,73.9,8.8,6.3,11
E02000011,71.4,10.5,5.1,13
E02000012,62.8,22.6,4.4,10.2
E02000013,73,10.2,5.3,11.4
E02000014,74,8.7,6.1,11.2
E02000015,77,7.9,5.4,9.7
E02000016,57,13.3,7,22.8
E02000017,52.4,20.7,6.3,20.7
E02000018,72.2,11.1,5.6,11.1
E02000019,73,10.3,6.5,10.3
E02000020,63.5,14.6,6.4,15.5
E02000021,69.8,11.7,6.6,11.9
E02000022,62.4,12.7,6.7,18.1
E02000023,69.6,12.4,6.5,11.5
E02000065,81.3,7.6,3,8.2
E02000066,80.3,8.2,2.6,8.9
E02000067,80.2,7,2.8,10
E02000068,83,5.9,3.3,7.7
E02000069,85,6,2.2,6.8
E02000070,88,5.4,1.8,4.7
E02000071,89.7,4.4,1.7,4.2
E02000072,85.5,5.4,2.9,6.2
E02000073,89.6,4.8,1.8,3.8
E02000074,89.5,4.6,1.8,4.2
E02000075,91.6,3.6,1.8,2.9
E02000077,84.1,6.7,2.6,6.7
E02000078,91.8,3.8,1.3,3.1
E02000079,86.9,5,2.5,5.7
E02000080,84.7,6.9,2.6,5.7
E02000081,89.7,4.9,2,3.4
E02000082,89.3,4.5,2.5,3.7
E02000083,88.7,4.3,1.7,5.2
E02000084,90.9,4.5,1.5,3.1
E02000085,91.7,3.9,1.6,2.7
E02000086,94,2.8,1,2.2
E02000087,93.3,3.6,1,2.1
E02000088,94.4,2.7,1,1.8
E02000089,93.4,3.3,1.4,1.9
E02000090,91.5,3.5,1.5,3.4
E02000091,92.4,3.1,1.2,3.3
E02000092,91.3,3.7,2,3
E02000127,85.7,5.9,2.5,5.9
E02000128,90.9,4.4,1.6,3.1
E02000133,92.1,4.8,0.9,2.3
E02000134,84.7,5.6,2,7.6
E02000136,91.9,4.1,1.1,2.8
E02000140,89.3,4.4,1.9,4.3
E02000142,88.7,5.4,1.5,4.3
E02000144,81.4,7.3,3,8.3
E02000145,88,4.4,2.5,5
E02000146,89.7,4.5,1.9,4
E02000148,92.4,4.3,1.3,2.1
E02000149,90.8,3.8,1.8,3.7
E02000151,92.1,4.2,1.5,2.1
E02000152,89.3,4.8,2,3.8
E02000153,92.9,4.2,1.4,1.5
E02000154,87.5,4.5,2.3,5.8
E02000155,91.8,4.2,1.2,2.8
E02000157,92.6,3.2,1.7,2.5
E02000158,89.1,5,1.8,4.1
E02000159,94,3.5,0.7,1.7
E02000160,94.2,3.4,1.1,1.3
E02000161,89.7,4,2.8,3.5
E02000162,93.5,2.9,1.3,2.3
E02000163,92.5,3.9,1.3,2.3
E02000165,96.9,1.9,0.3,0.9
E02000313,81.2,6.1,2.4,10.3
E02000314,74.6,9.7,4.6,11.2
E02000315,78.9,8.6,3.8,8.8
E02000317,73.4,10.9,4.3,11.5
E02000318,60.1,13.4,5.2,21.4
