geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02000002,10.9,25.3,63.8
E02000003,15.4,24.8,59.8
E02000004,12.1,23.4,64.5
E02000005,12.9,19.5,67.6
E02000007,10.8,29.2,60.1
E02000008,12.1,23.3,64.6
E02000009,13.6,23.8,62.6
E02000010,13.1,23.5,63.4
E02000011,12.8,22.5,64.7
E02000012,20.1,21.1,58.8
E02000013,12.8,24.2,63
E02000014,14.1,22.4,63.5
E02000015,11.7,30.9,57.4
E02000016,11.6,27.3,61.1
E02000017,23.5,22.4,54
E02000018,14.1,22.2,63.7
E02000019,12.7,18.3,69
E02000020,14.3,22.4,63.3
E02000021,12.9,22.6,64.5
E02000022,8.7,27,64.3
E02000023,11.9,23.5,64.6
E02000065,12.3,23.7,64
E02000066,11.6,31.8,56.5
E02000067,11.4,28.3,60.3
E02000068,9,30,61
E02000069,9.6,27.7,62.7
E02000070,7.8,25.2,67
E02000071,7.9,23.1,69
E02000072,8.8,24.5,66.7
E02000073,7.4,20.4,72.1
E02000074,8.2,29.7,62.2
E02000075,6.7,23.1,70.2
E02000077,9.5,21.2,69.4
E02000078,7.5,21.6,70.9
E02000079,7.2,29.2,63.5
E02000080,9.8,24.4,65.8
E02000081,6.5,27.5,66
E02000082,7.7,21.1,71.2
E02000083,7.4,26.9,65.7
E02000084,7.1,22.3,70.6
E02000085,7.2,24.3,68.5
E02000086,5.8,22.5,71.8
E02000087,5.7,26.2,68.1
E02000088,5.9,21,73.2
E02000089,5.8,20,74.2
E02000090,7.6,35.4,57.1
E02000091,6.2,34.6,59.2
E02000092,7.3,28.7,64
E02000127,8.4,30.4,61.2
E02000128,5.1,25.3,69.6
E02000133,4.8,25,70.2
E02000134,6.7,34.7,58.6
E02000136,6,29,65.1
E02000140,7.3,29.7,63
E02000142,5.9,26,68.1
E02000144,7.4,30.1,62.5
E02000145,7,29.6,63.4
E02000146,5.6,30.8,63.6
E02000148,5,24.9,70.2
E02000149,6.9,27.3,65.8
E02000151,4.2,21.8,74.1
E02000152,6.8,26.7,66.5
E02000153,6.1,17.9,76.1
E02000154,6.1,27.9,66
E02000155,6.1,29.6,64.3
E02000157,4.1,22.3,73.5
E02000158,5.5,23.6,71
E02000159,6,23.4,70.6
E02000160,5.6,21.6,72.8
E02000161,4.6,22.1,73.3
E02000162,5.1,31.4,63.5
E02000163,6.4,23.9,69.7
E02000165,6.9,20.6,72.5
E02000313,10.5,37.2,52.3
E02000314,12.3,24.9,62.8
E02000315,13.3,26.2,60.4
E02000317,11.7,27.8,60.5
E02000318,20.7,25.7,53.6
E02000319,15.5,28.5,56.1
E02000320,12.6,26.5,60.9
E02000321,12.9,31.5,55.5
E02000323,13.7,31.3,55.1
E02000324,13.4,28.5,58.1
E02000326,12,28.2,59.9
E02000327,9.4,34.9,55.7
E02000328,7,35,58
E02000329,10.9,27.5,61.6
E02000331,11.9,30,58
E02000332,9.4,28.6,62
E02000333,6,35.8,58.2
E02000334,11,27.1,61.9
E02000335,6.5,23.5,69.9
E02000337,11.4,23.9,64.7
E02000339,7.4,31.5,61.1
E02000340,7.3,35.7,56.9
E02000341,11,25,64.1
E02000342,8.3,29.8,61.9
E02000343,8.8,27.9,63.3
E02000344,7.6,24.4,67.9
E02000464,9.5,25.7,64.8
E02000465,9,27.1,63.9
E02000466,8,21.5,70.5
E02000467,8.7,30.1,61.2
E02000468,8.3,23,68.7
E02000469,10.6,26.4,62.9
E02000470,6.6,28.8,64.6
E02000471,7.8,20.9,71.2
E02000472,8.4,21.9,69.7
E02000473,6.8,23.9,69.3
E02000474,9.1,28.3,62.6
E02000475,6.1,28.1,65.7
E02000476,7.6,36.5,55.8
E02000477,7,22.3,70.7
E02000478,10.3,20.8,68.8
E02000479,8.7,29.8,61.5
E02000480,11.1,24.1,64.8
E02000481,5.4,25.3,69.3
E02000482,4.1,24.6,71.2
E02000483,6.4,32.7,60.8
E02000484,7.2,23.9,69
E02000485,6.2,25.6,68.2
E02000486,5.9,27.5,66.6
E02000487,5.2,17.7,77.2
E02000488,5.6,23.9,70.5
E02000489,8.2,23.3,68.4
E02000490,8.2,25.8,66
E02000491,10.2,25.7,64.1
E02000492,7.7,24.6,67.7
E02000493,10,25.6,64.4
E02000661,9.5,37.3,53.2
E02000665,9.5,30.3,60.2
E02000668,9,26.6,64.4
E02000675,9.6,28.1,62.3
E02000678,12.1,28.2,59.7
E02000683,10.8,31.4,57.8
E02000714,17.4,23.3,59.3
E02000715,17.3,19.5,63.2
E02000716,17.4,21.7,60.9
E02000717,21.5,19.2,59.3
E02000718,15.8,21.8,62.4
E02000719,19.2,27.7,53.2
E02000720,25.2,19.3,55.4
E02000721,22.4,21.8,55.8
E02000722,19.4,29,51.6
E02000723,30.1,14.5,55.3
E02000724,26.6,15.1,58.3
E02000725,20.1,28.6,51.4
E02000727,27.2,15.7,57.1
E02000728,26.8,14.9,58.3
E02000729,24.4,24,51.7
E02000730,31.4,17.8,50.8
E02000731,24.6,17.8,57.6
E02000732,16.8,21.5,61.7
E02000733,20.4,25.4,54.3
E02000734,20.3,27.5,52.2
E02000735,22.3,23.4,54.3
E02000736,19.4,16.1,64.5
E02000737,18.1,19.5,62.5
E02000738,20.3,18.3,61.4
E02000739,21.4,24.7,53.9
E02000740,16.8,27.5,55.7
E02000741,17,21.8,61.1
E02000742,20.9,19,60.1
E02000743,18.1,25.8,56.1
E02000744,16.5,26.6,57
E02000745,20.1,22.4,57.4
E02000746,14,26.5,59.5
E02000747,15.8,29.5,54.7
E02000748,15.5,22.7,61.7
E02000749,17,26,57
E02000751,8.5,26.8,64.7
E02000752,11.1,27.7,61.3
E02000753,11.6,24.2,64.2
E02000754,10.3,24.6,65.1
E02000755,8.6,29.7,61.6
E02000756,12.9,25.4,61.7
E02000757,8.6,30,61.4
E02000758,14.5,23.7,61.9
E02000759,10.2,23.3,66.5
E02000760,11.8,24.2,64
E02000762,16.9,20.6,62.5
E02000763,14.3,19.7,66
E02000764,8,34.4,57.6
E02000765,16.2,20.2,63.6
E02000767,13.5,21.2,65.2
E02000768,8.4,24.4,67.2
E02000770,18.5,21,60.4
E02000772,17.5,20.7,61.8
E02000773,16.4,15.7,67.9
E02000774,18.7,19.8,61.4
E02000776,16.8,19.4,63.9
E02000777,7.4,27.2,65.4
E02000779,16,24.2,59.8
E02000781,21.9,17.5,60.6
E02000782,15.2,20.3,64.5
E02000783,20.2,19.7,60.1
E02000896,7,31.1,61.8
E02000897,8.1,29.1,62.7
E02000901,8.5,20.9,70.6
E02000915,13.1,30.7,56.2
E02000918,16,26.9,57.1
E02000921,16.8,26.3,56.9
E02000922,19.2,23.6,57.2
E02003279,4.5,27.6,67.9
E02003280,5.5,29,65.5
E02003281,3.6,31.9,64.5
E02003282,5.4,30,64.6
E02003283,5.9,28.1,66
E02003284,5.6,29,65.3
E02003285,7.5,31,61.5
E02003286,3.1,25.8,71.1
E02003287,5.1,28.3,66.6
E02003288,6.1,40.6,53.3
E02003289,4,38.7,57.3
E02003290,4.6,40.6,54.8
E02003291,4.4,33,62.7
E02003292,6.3,41,52.7
E02003293,7.7,46.7,45.7
E02003294,5.1,29.4,65.5
E02003295,5.6,24.4,70
E02003296,6.1,20,73.9
E02003297,6.2,26,67.9
E02003298,6,25.5,68.5
E02003299,7.9,20.8,71.3
E02003300,6.3,25.3,68.4
E02003301,9,24.3,66.7
E02003302,8.3,29.4,62.3
E02003303,8.4,24.4,67.2
E02003304,7.6,26.5,65.9
E02003305,7.1,21.2,71.7
E02003307,8.4,25.2,66.4
E02003308,7.8,18.8,73.4
E02003309,8.8,25.6,65.5
E02003311,11.8,24.7,63.5
E02003312,8.9,28.2,62.9
E02003313,10.4,23.3,66.2
E02003314,6.9,29.1,64
E02003315,5.4,20.4,74.2
E02003316,6.7,21.5,71.7
E02003317,6.4,23.9,69.7
E02003318,7,20.3,72.7
E02003319,7.7,29,63.4
E02003320,7,32.5,60.5
E02003321,7.5,25.4,67.1
E02003322,10.9,35.5,53.7
E02003323,8.3,24.6,67.1
E02003324,6.9,24.7,68.4
E02003325,9.6,34.7,55.7
E02003326,9.1,25.1,65.8
E02003327,5.5,41.1,53.4
E02003328,8.8,39.3,51.9
E02003329,10.7,27.9,61.5
E02003330,7.8,25.7,66.5
E02003331,6.9,29.7,63.4
E02003332,8.5,21.1,70.4
E02003333,9.6,34.1,56.2
E02003334,9.3,26.2,64.6
E02003335,8.2,24.5,67.3
E02003336,5,25.2,69.8
E02003337,5.6,25.3,69.1
E02003338,5.2,32.4,62.5
E02003339,6.7,24.2,69.2
E02003340,5.9,29.4,64.7
E02003341,5.3,23.6,71
E02003342,5.1,24.9,69.9
E02003343,5.5,21.3,73.2
E02003344,6.7,26.8,66.6
E02003345,4.7,22.1,73.2
E02003346,5.9,27.9,66.2
E02003347,5.2,24.7,70.2
E02003348,4.8,21.3,73.9
E02003349,4.6,27.1,68.3
E02003350,6,23.6,70.4
E02003351,5,24.7,70.3
E02003719,15.4,32.1,52.5
E02003720,12.3,32.2,55.5
E02003721,12.1,32.8,55.1
E02003722,10.1,36.4,53.5
E02003723,10.3,35.8,53.9
E02003724,13,30.5,56.5
E02003725,12.9,36.8,50.3
E02003726,14.1,35.7,50.2
