areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00049242,59.3,30,8.7,2,0
E00049243,54.8,33.1,6.4,5.7,0
E00049244,35.7,34.9,23,6.3,0
E00049245,42.7,30.5,22.9,3.1,0.8
E00049246,46.6,32.8,17.2,3.4,0
E00049247,28,35.7,26.6,9.1,0.7
E00049248,55.7,27.8,14.8,1.7,0
E00049249,54.1,34.4,9.8,1.6,0
E00049250,40.6,36.2,22.5,0.7,0
E00049251,48,27.6,18.9,5.5,0
E00049252,28.3,37,26.8,8,0
E00049253,36.8,33.5,21.3,7.7,0.6
E00049254,47,27,21.7,4.3,0
E00049255,45.8,34.4,19.1,0.8,0
E00049256,50,35.2,14.1,0.8,0
E00049257,43.5,32,17,6.8,0.7
E00049258,44.3,31.1,21.3,3.3,0
E00049259,25.7,31,29.2,13.5,0.6
E00049260,41.6,42.7,12.4,3.2,0
E00049261,39.6,32.8,20.1,7.5,0
E00049262,26.7,39.8,24.1,8.9,0.5
E00049263,25.8,37.4,19.4,14.8,2.6
E00049264,39.4,45.3,9.5,5.1,0.7
E00049265,45.7,27.9,22.5,3.9,0
E00049266,16.9,39.7,31.6,11.8,0
E00049267,32.3,36.1,26.5,5.2,0
E00049268,48.6,35.2,13.4,2.8,0
E00049269,57.4,30.1,10.9,1.6,0
E00049270,48.8,43.4,7,0.8,0
E00049271,51.4,33.3,13.5,1.8,0
E00049272,60.9,28.7,9.6,0.9,0
E00049273,52.4,37.9,9.7,0,0
E00049274,45.1,43.1,11.1,0.7,0
E00049275,51.7,36,11,1.2,0
E00049276,56.1,31.6,12.3,0,0
E00049277,42.5,37,18.5,2.1,0
E00049278,42.1,42.1,15.9,0,0
E00049279,57.5,32.3,10.2,0,0
E00049280,50.8,37.5,10,1.7,0
E00049281,55.7,31.5,9.4,3.4,0
E00049282,39.1,38.3,15.7,7,0
E00049538,53.4,35.2,9.1,2.3,0
E00049539,53.5,32.5,11.4,2.6,0
E00049540,45.6,38.4,14.4,1.6,0
E00049542,41.9,32.6,17.8,7.8,0
