areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00049242,52.4,15.9,23.6,8.2
E00049243,45.1,16,24.6,14.3
E00049244,53.5,11.6,20.2,14.7
E00049245,50.4,11.8,19.7,18.1
E00049246,49,17.3,21.2,12.5
E00049247,42.4,11.8,29.4,16.5
E00049248,42.7,18.9,24.5,14
E00049249,46.1,15.6,22,16.3
E00049250,41,18.7,21.6,18.7
E00049251,52.4,17.9,14.9,14.9
E00049252,57.3,14.5,11.5,16.8
E00049253,38.1,17.7,27.4,16.8
E00049254,47,19.5,18.1,15.4
E00049255,46.9,17.2,22.1,13.8
E00049256,37,24.9,20.8,17.3
E00049257,49.3,15.5,17.6,17.6
E00049258,51.2,21.1,17.9,9.8
E00049259,62.3,10,15.4,12.3
E00049260,41.9,11.3,27.4,19.4
E00049261,49.3,22.3,11.5,16.9
E00049262,44.2,18.6,14.1,23.1
E00049263,47.4,14.7,18.9,18.9
E00049264,45.5,18,18.6,18
E00049265,37.7,19.6,27.5,15.2
E00049266,44.9,10.2,20.4,24.5
E00049267,44,20.1,14.9,20.9
E00049268,46.4,16.6,29.8,7.3
E00049269,40.1,17.1,27.9,14.9
E00049270,46.2,11.4,28.5,13.9
E00049271,39.3,16.4,25.4,18.9
E00049272,42.6,16.3,25.5,15.6
E00049273,47.7,9.4,30.2,12.8
E00049274,47.8,17.6,23.3,11.3
E00049275,47.1,13.2,24.9,14.8
E00049276,39.1,15.6,32,13.3
E00049277,35.6,25,28.8,10.6
E00049278,43.9,15.2,22.7,18.2
E00049279,37.9,17,29.4,15.7
E00049280,42.4,13.9,27.2,16.5
E00049281,48.7,14.3,25.9,11.1
E00049282,43.9,15.8,18.7,21.6
E00049538,41.2,10.7,32.1,16
E00049539,42.5,9.6,30.1,17.8
E00049540,39.5,14,31.8,14.7
E00049542,45.9,15.5,23,15.5
E00049543,41.9,13.5,30.4,14.2
E00049545,52,12.9,15.2,19.9
E00049547,38.7,10.1,35.1,16.1
E00049548,39.4,17,23.9,19.7
E00049549,42.1,13.8,30.3,13.8
E00049551,43.6,15,30.8,10.5
E00049552,47.8,11.9,22.4,17.9
E00049553,41.9,14.8,27.1,16.1
E00049554,46.4,15.2,24.6,13.7
E00049556,35.9,19.9,26,18.2
E00049558,48.2,10.6,21.3,19.9
E00049559,47.4,9.5,27,16.1
E00049560,54.9,15,14.2,15.9
E00049561,48.7,17.1,15.4,18.8
E00049562,50,15.4,21.6,13
E00049563,47.2,11.3,22,19.5
E00049564,50.7,10.6,22.5,16.2
E00049565,44.6,11.9,18.1,25.4
E00049566,50.9,14.5,23.2,11.4
E00049567,58.2,15.4,13.2,13.2
E00049569,48.5,16.5,18.4,16.5
E00049570,36,17.7,27.4,18.9
E00049572,42.2,6.9,29.3,21.6
E00049573,40.5,14.3,32.1,13.1
E00049574,48.2,19.1,18.4,14.2
E00049575,45.4,9.7,23.2,21.6
E00049577,43.8,12.5,33,10.7
E00049578,40.7,14.8,25,19.4
E00049579,38,17.6,36.1,8.3
E00049580,41.7,6.9,42.3,9.1
