areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00095136,4.5,21.6,31.8,42
E00095154,9,36.1,34.3,20.5
E00095155,12.7,22.5,53.9,10.8
E00095157,0,17.9,44,38.1
E00095169,3.7,17.2,40.3,38.8
E00095171,5.3,21.1,46.1,27.6
E00096201,4.7,16.3,40.3,38.8
E00096202,5.3,27.6,41.2,25.9
E00096203,20,41.8,22.7,15.5
E00096204,1.5,17.3,48.1,33.1
E00096205,6.3,11.6,39.3,42.9
E00096206,5,27.9,46.4,20.7
E00096207,26.5,33.3,31.4,8.8
E00096208,6.1,46.3,36.6,11
E00096209,12.4,14.2,37.2,36.3
E00096210,1.5,13.7,51.1,33.6
E00096211,13.9,16.8,39.6,29.7
E00096212,3.8,27.9,37.5,30.8
E00096213,1.9,17.5,48.1,32.5
E00096352,4.9,17.1,40.7,37.4
