geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00073747,7.7,49.2,30.8,12.3
E00073749,8.5,41.1,40.3,10.1
E00075091,6.8,50,33.1,10.1
E00075547,4.5,29.3,41.4,24.8
E00075548,9.7,50,30.6,9.7
E00075549,6.4,40,40,13.6
E00075551,5.6,32.6,34.7,27.1
E00075552,8.9,31.5,41.9,17.7
E00075553,10.5,55.9,21.7,11.8
E00075554,10.3,49.7,31,9
E00075555,9.1,40.9,31.8,18.2
E00075556,7.1,33.3,39,20.6
E00075557,6.1,39.1,36.5,18.3
E00113236,7.5,50.9,35.8,5.7
W00008044,5.3,25,35.6,34.1
W00008045,10.6,24.1,46.1,19.1
W00008047,4.6,27.6,45.4,22.4
W00008049,6.3,39.9,39.2,14.6
W00008050,30.6,37.8,22.5,9
W00008051,10.4,45.5,32.1,11.9
W00008052,8.3,44.4,31.5,15.7
W00008053,14.3,45.1,27.8,12.8
W00008055,5.8,32.5,39.2,22.5
W00008056,29.3,36.4,29.3,5.1
W00008085,15.9,47.7,26.2,10.3
W00008086,16.8,34.5,35.3,13.4
W00008087,19.2,43.2,25.6,12
W00008088,35.1,47,14.9,3
W00008089,21.4,39.3,29.1,10.3
W00008113,15.3,45.8,25.4,13.6
W00008114,16.7,35.3,30.4,17.6
W00008115,19.3,35.3,34.5,10.9
W00008213,6.7,39.3,35.6,18.5
W00008214,4.5,33.9,44.6,16.9
W00008215,6.8,28.8,45.5,18.9
W00008216,7.9,38.8,37.6,15.8
W00008217,21.8,42.7,23.6,11.8
W00008219,6.7,39.4,36.5,17.3
W00008236,18,41,31.1,9.9
W00008237,0,27.2,52.8,20
W00008238,14.5,32.4,36.6,16.6
W00008239,9.2,32.8,44.3,13.8
W00008240,16.5,33.8,36,13.7
W00008267,15.2,39.4,36.4,9.1
W00008268,12.2,51.2,26.8,9.8
W00008269,19.2,42.3,30,8.5
W00008270,14.1,42.2,33.3,10.4
W00008271,16.4,44.8,30.2,8.6
W00008272,16.8,43.2,28,12
W00008273,17.1,51.9,21.7,9.3
W00008274,35.9,43.7,12.7,7.7
W00008275,8.8,43.4,38.9,8.8
W00008276,14.1,38.3,39.1,8.6
W00008277,7.6,38.6,40.9,12.9
W00008284,4.4,22.5,45.6,27.5
W00008286,2.8,43.1,43.8,10.4
W00008315,28,48.5,17.4,6.1
W00008316,24.6,42.6,27.3,5.5
W00008317,35.1,36.6,24.6,3.7
W00008318,9.4,41.7,29.9,18.9
W00008319,11.9,36.6,38.1,13.4
W00010319,5.3,39.4,39.4,15.9
W00010320,0.8,28,58.3,12.9
W00010324,5.7,24.5,52.4,17.5
W00010327,19.6,41.2,29.4,9.8
W00010335,10.3,54.6,24.7,10.3
W00010340,6.6,37.6,43.6,12.2
W00010352,6.3,41.1,43.2,9.5
