areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00061874,82.5,12.4,5.1
E00061875,85.6,11.4,2.9
E00062043,74.7,16.7,8.6
E00062044,70.9,20.5,8.6
E00062045,76.3,15.6,8.2
E00062046,65.8,19.9,14.3
E00062047,60.8,26.9,12.3
E00062048,62.5,23.9,13.6
E00062049,81,14.9,4.1
E00062050,65.3,18.3,16.4
E00062051,82.8,13.3,3.9
E00062052,62.7,28.4,8.9
E00062053,81,13.9,5.1
E00062054,75.2,17.1,7.7
E00062055,72.6,16.5,10.8
E00062056,54.7,24.5,20.8
E00062057,73.3,19.9,6.8
E00062058,63.2,25,11.8
E00062059,51,23.5,25.5
E00062060,80.3,15.3,4.4
E00062061,68,21.4,10.7
E00062062,77.6,17.1,5.2
E00062064,78,14.5,7.5
E00062065,74.1,19,6.8
E00062066,63.2,24.7,12.1
E00062067,71,17.9,11.1
E00062068,71.7,18.1,10.2
E00062069,74.1,17,8.9
E00062070,80.4,13.9,5.7
E00062071,75.1,18,6.9
E00062072,81.8,12,6.2
E00062073,85.2,12.7,2.1
E00062074,82.8,12.2,4.9
E00062075,77.7,17.5,4.8
E00062076,84,12.3,3.6
E00062077,73.8,16.7,9.6
E00062078,74.2,16.9,9
E00062079,82.2,11,6.8
E00062080,79.6,14,6.4
E00062081,79.7,16.1,4.2
E00062082,88.5,6.6,4.9
E00062083,77.6,11.6,10.9
E00062084,70.7,19.3,10
E00062085,83.4,12.7,3.9
E00062086,81.4,14.6,4
E00062087,87.8,9.8,2.4
E00062088,73.3,14.7,12
E00062089,78,13.4,8.6
E00062090,79.9,14.6,5.5
E00062091,75.6,14.3,10.1
E00062092,68.7,15.6,15.6
E00062093,75.1,18.5,6.4
E00062094,70,23.3,6.6
E00062095,82.2,14.1,3.8
E00062096,71.8,17.1,11.2
E00062097,75.8,16.1,8.1
E00062098,39.2,36.9,23.8
E00062099,73.3,18.4,8.2
E00062100,77.7,14.7,7.5
E00062101,70.5,19.8,9.7
E00062102,75.2,17.5,7.3
E00062103,73.8,16.8,9.4
E00062104,87.7,11.7,0.6
E00062105,85.4,11.1,3.5
E00062106,81.3,15.2,3.5
E00062107,88.9,7.9,3.2
E00062108,90.1,8.8,1
E00062109,89.6,9.7,0.7
E00062110,87.9,10.3,1.7
E00062111,92.3,6.5,1.2
E00062112,86.5,9.6,3.9
E00062113,88.4,9,2.5
E00062114,72.6,16.8,10.6
E00062115,82.5,15.2,2.3
E00062116,72.3,19.8,7.9
E00062117,67.8,19.3,13
E00062119,81.2,14.4,4.4
E00062120,77.1,16.7,6.1
E00062121,86.2,10.3,3.5
E00062122,77.3,16.2,6.5
E00062123,78.3,16.6,5.1
E00062124,82.2,12.9,5
E00062125,53.7,22.8,23.5
E00062126,79,14.1,6.9
E00062127,70.4,19.6,10
E00062128,81.2,15.4,3.4
E00062129,71.6,22.3,6.1
E00062131,73.7,18,8.3
E00062132,70.7,18.6,10.7
E00062133,89.4,8.5,2.1
E00062134,89.5,7.3,3.2
E00062136,82.8,12.9,4.3
E00062138,81.4,13.6,5
E00062139,85.6,9.6,4.8
E00062140,81.5,14.4,4
E00062141,87.2,9.7,3.1
E00062142,82.6,12.2,5.3
E00062143,84.6,11.9,3.5
E00062144,78.8,17.3,3.8
E00062145,80.6,13.8,5.7
E00062146,80.9,12,7.1
E00062147,81.4,14.3,4.3
E00062148,77.4,18.6,3.9
E00062149,79.5,13.2,7.3
E00062150,85.4,11.7,2.9
E00062151,85.3,11.7,2.9
E00062152,76.5,16.4,7.1
E00062153,82.3,11.1,6.6
E00062154,88.5,7.9,3.7
E00062155,79.3,16.3,4.4
E00062156,88,10.1,1.9
E00062157,77.7,15,7.2
E00062158,84.2,11.7,4
E00062159,64.2,24.7,11.1
E00062160,79.5,17.5,2.9
E00062161,64.2,23.5,12.3
E00062162,69.9,21.3,8.9
E00062163,78.3,16.7,5
E00062164,75.2,15.5,9.3
E00062165,80.9,12.5,6.6
E00062166,77.2,13.9,8.8
E00062167,81.2,14.1,4.7
E00062168,77.7,16.4,6
E00062169,74.4,19.2,6.4
E00062170,80.2,15.8,4
E00062171,67.4,21.6,11
E00062172,77.1,15.5,7.4
E00062173,77.4,15.4,7.2
E00062174,79.8,12.8,7.4
E00062175,79.3,16.1,4.6
E00062176,72.2,19.4,8.4
E00062177,74.3,17.4,8.3
E00062178,81.3,13.7,5
E00062179,72.8,14.6,12.6
E00062180,86.2,12.3,1.5
E00062181,84.5,12.2,3.3
E00062182,77.1,13.8,9.1
E00062183,87.4,10.9,1.7
E00062184,85.9,11.3,2.8
E00062185,80,15.4,4.6
E00062186,78.3,15.9,5.8
E00062187,74.9,18.4,6.7
E00062188,49.5,24.1,26.4
E00062189,66.4,14.9,18.7
E00062190,71.3,19.9,8.8
E00062191,65.1,24.9,10
E00062192,83.2,10,6.7
E00062193,73.5,19.6,6.9
E00062194,86.6,11.9,1.5
E00062195,71.6,19,9.4
E00062196,88.5,9.8,1.7
E00062197,80.5,14.4,5.2
E00062198,77.3,15.1,7.6
E00062199,71.6,19.9,8.4
E00062200,75.2,19,5.8
E00062207,85.7,9.5,4.8
E00062208,88.5,7.5,4
E00062209,88.8,8.3,2.9
E00062210,75.8,15,9.2
E00062211,88.8,8.6,2.6
E00062212,87.9,8.9,3.2
E00062213,67.5,22.6,9.9
E00062214,84.3,11.1,4.5
E00062215,71.3,21.6,7.1
E00062216,86.8,10.5,2.7
E00062217,84.2,12.4,3.4
E00062218,65,25.6,9.4
E00062219,87.5,8.5,3.9
E00062220,78.2,18.7,3.1
E00062221,91.3,7.1,1.6
E00062222,86.2,8.6,5.2
E00062223,80.6,17.9,1.5
E00062224,80,16.3,3.7
E00062225,85.3,13.6,1.1
E00062227,85.5,9.4,5.1
E00062228,82.2,14.5,3.3
E00062229,91.4,6.2,2.4
E00062230,82.1,13.5,4.4
E00062231,86.7,11.6,1.8
E00062232,75.5,16.6,7.9
E00062233,80.4,13.6,6
E00062234,77.8,15.9,6.3
E00062235,81.2,13.4,5.4
E00062236,84.8,12,3.3
E00062237,69,20.3,10.7
E00062238,67.6,18.8,13.6
E00062239,68.8,22.3,8.8
E00062240,81.3,15.4,3.3
E00062241,79.4,12.8,7.8
E00062242,80.4,12.7,6.9
E00062243,78.7,13.7,7.6
E00062244,76.3,17.5,6.1
E00062245,80.6,14.1,5.2
E00062246,60.6,25.9,13.5
E00062247,73.1,20.6,6.3
E00062250,83.9,11.7,4.4
E00062251,64.4,21.5,14.1
E00062252,76.3,18.1,5.6
E00062253,70.7,19,10.3
E00062255,81.5,12.3,6.3
E00062256,82.9,11.4,5.7
E00062257,74.4,17.9,7.6
E00062258,82,13.5,4.5
E00062260,82.7,10.1,7.2
E00062261,86.6,12.4,1
E00062262,86,11,3
E00062263,81.5,12.6,6
E00062265,86.2,11.7,2.1
E00062266,74.5,19,6.5
E00062268,88.3,8.8,2.9
E00062269,85.9,11.4,2.6
E00062270,83.4,11.2,5.3
E00062272,77.9,15,7.2
E00062273,83.5,11.7,4.8
E00062274,77.7,18.1,4.2
E00062275,83.2,12.7,4.1
E00062276,79.6,11.9,8.5
E00062277,84.4,12.1,3.5
E00062278,81.2,15.4,3.4
E00062279,84.5,11.1,4.4
E00062280,81.5,13.5,5.1
E00062281,77.9,17.2,4.9
E00062282,84.7,11.4,3.9
E00062283,86.4,9.6,3.9
E00062284,82.6,12.3,5.1
E00062285,86.5,10.6,2.9
E00062286,81.8,15.6,2.7
E00062287,76.8,16.7,6.5
E00062288,56.6,29.1,14.3
E00062289,74.2,18.6,7.2
E00062290,73.6,19.9,6.5
E00062291,86.6,12,1.4
E00062292,89,9,2
E00062293,77.7,15,7.3
E00062294,80.5,13.6,5.9
E00062295,80.7,13.9,5.4
E00062296,76,21.8,2.2
E00062297,71.4,18.2,10.4
E00062298,74.1,18.7,7.2
E00062299,67.1,24.1,8.8
E00062300,69.2,18.8,12
E00062301,77.4,15.8,6.8
E00062302,72,18.4,9.6
E00062303,48.7,30,21.3
E00062304,66.2,19.4,14.4
E00062305,50.3,24.2,25.5
E00062306,71.5,16.1,12.4
E00062307,82.1,12.1,5.9
E00062308,89,9.4,1.6
E00062309,76.8,15.8,7.4
E00062310,83.4,10.9,5.6
E00062311,72.2,21.8,6
E00062312,66.8,21.8,11.5
E00062313,78.6,15.6,5.8
E00062314,84.8,11.4,3.8
E00062315,76.3,16,7.7
E00062316,77.2,16.5,6.3
E00062317,77.4,16.5,6.1
E00062318,83.8,10.8,5.4
E00062319,87.4,9.4,3.1
E00062320,61.9,25.7,12.5
E00062321,75.8,16.9,7.3
E00062322,81.1,13.3,5.6
E00062323,78.2,15.4,6.5
E00062324,75.3,19,5.8
E00062325,80.7,15.6,3.7
E00062326,85.4,9.3,5.3
E00062327,77.6,14,8.4
E00062328,84,10.6,5.4
E00062329,79.1,13.2,7.7
E00062330,76.8,15.6,7.6
E00062331,82,14.9,3
E00062332,81.6,12,6.4
E00062333,70.9,16.1,13.1
E00062334,64.1,16.9,19
E00062335,72.6,19.5,7.9
E00062336,80.2,12.8,7
