areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00061874,97.7,2.3
E00061875,97.3,2.7
E00062043,82.4,17.6
E00062044,84,16
E00062045,93.3,6.7
E00062046,88.8,11.3
E00062047,86.6,13.4
E00062048,83.5,16.5
E00062049,94,6
E00062050,91,9
E00062051,89.8,10.2
E00062052,92.7,7.3
E00062053,88.4,11.6
E00062054,90.5,9.5
E00062055,75.1,24.9
E00062056,82.1,17.9
E00062057,95,5
E00062058,84.1,15.9
E00062059,88.6,11.4
E00062060,91.6,8.4
E00062061,69.7,30.3
E00062062,86.3,13.7
E00062064,90.1,9.9
E00062065,83.4,16.6
E00062066,84.6,15.4
E00062067,85.9,14.1
E00062068,86.5,13.5
E00062069,81,19
E00062070,83.2,16.8
E00062071,95.9,4.1
E00062072,92,8
E00062073,92.4,7.6
E00062074,97.9,2.1
E00062075,98.5,1.5
E00062076,96.3,3.7
E00062077,91.4,8.6
E00062078,94.8,5.2
E00062079,96.9,3.1
E00062080,97.7,2.3
E00062081,97.4,2.6
E00062082,92.3,7.7
E00062083,98.4,1.6
E00062084,96.5,3.5
E00062085,96.5,3.5
E00062086,96.3,3.7
E00062087,97.9,2.1
E00062088,92.8,7.2
E00062089,94.7,5.3
E00062090,95.5,4.5
E00062091,94.4,5.6
E00062092,91.7,8.3
E00062093,95.8,4.2
E00062094,93.1,6.9
E00062095,95.4,4.6
E00062096,90.9,9.1
E00062097,95.8,4.2
E00062098,96.2,3.8
E00062099,91.1,8.9
E00062100,92.5,7.5
E00062101,97.8,2.2
E00062102,94.9,5.1
E00062103,86.1,13.9
E00062104,95.5,4.5
E00062105,90.9,9.1
E00062106,94.4,5.6
E00062107,97.7,2.3
E00062108,88.8,11.2
E00062109,94.7,5.3
E00062110,94.8,5.2
E00062111,91.6,8.4
E00062112,86.8,13.2
E00062113,92.1,7.9
E00062114,90,10
E00062115,95,5
E00062116,95.5,4.5
E00062117,91.9,8.1
E00062119,97.4,2.6
E00062120,93.9,6.1
E00062121,89.6,10.4
E00062122,88.6,11.4
E00062123,90.5,9.5
E00062124,85,15
E00062125,92.1,7.9
E00062126,89.3,10.7
E00062127,89,11
E00062128,95.6,4.4
E00062129,94.8,5.2
E00062131,96.4,3.6
E00062132,81.4,18.6
E00062133,94.6,5.4
E00062134,96.3,3.7
E00062136,96.6,3.4
E00062138,97.8,2.2
E00062139,96.9,3.1
E00062140,92.3,7.7
E00062141,97.8,2.2
E00062142,97.3,2.7
E00062143,97.1,2.9
E00062144,95.5,4.5
E00062145,97.2,2.8
E00062146,92.9,7.1
E00062147,96,4
