areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00155851,35.4,64.6
E00155852,35.6,64.4
E00155853,34.8,65.2
E00155854,37.5,62.5
E00155856,31.2,68.8
E00157365,30.7,69.3
E00157366,32.8,67.2
E00157368,41.7,58.3
E00157369,28.9,71.1
E00157370,36.4,63.6
E00157382,32,68
E00157388,25.9,74.1
E00157389,30.5,69.5
E00157390,33.3,66.7
E00157391,28,72
E00157392,31.1,68.9
E00157393,30.2,69.8
E00157394,37,63
E00157395,29.7,70.3
E00157396,32.1,67.9
E00157397,31.5,68.5
E00157398,34.1,65.9
E00157399,31.3,68.8
E00157400,29.2,70.8
E00157401,40.1,59.9
E00157402,30,70
E00157403,41,59
E00157404,29.1,70.9
E00157405,24.6,75.4
E00157406,38.7,61.3
E00157407,34.9,65.1
E00157408,33.3,66.7
E00157409,28.1,71.9
E00157410,28.7,71.3
E00157411,31.1,68.9
E00157412,31.6,68.4
E00157413,29.9,70.1
E00157414,39.2,60.8
E00157415,32.6,67.4
E00157416,32.9,67.1
E00157417,35.4,64.6
E00157418,41.1,58.9
E00157419,32.8,67.2
E00157420,28.6,71.4
E00157421,35.9,64.1
E00157422,30.4,69.6
E00157423,37.1,62.9
E00157424,34.6,65.4
E00157425,25.7,74.3
E00157426,31.6,68.4
E00157428,22.2,77.8
E00157429,30.2,69.8
E00157430,30.6,69.4
E00157431,30.1,69.9
E00157432,34.1,65.9
E00157433,28.8,71.2
E00157434,31.1,68.9
E00157435,35.7,64.3
E00157436,26.2,73.8
E00157437,36.5,63.5
E00157438,34.1,65.9
E00157449,42.4,57.6
E00157450,38.6,61.4
E00157451,28.9,71.1
E00157452,35.9,64.1
E00157453,42,58
E00157454,44.2,55.8
E00157455,32.9,67.1
E00157456,29.8,70.2
E00157457,30.1,69.9
E00157612,35.4,64.6
E00157614,27.9,72.1
E00157615,37.1,62.9
E00157649,33.8,66.3
E00157650,34.4,65.6
E00157651,30.8,69.2
E00157652,42.9,57.1
E00157653,34.9,65.1
E00157655,26.8,73.2
E00157656,31,69
E00157657,34.3,65.7
E00157682,32.3,67.7
E00157696,31.9,68.1
E00157697,24.4,75.6
E00157698,31.4,68.6
E00157717,26.9,73.1
E00157718,37.6,62.4
E00157719,37.1,62.9
E00157720,26.8,73.2
E00157721,31.5,68.5
E00157722,35.8,64.2
E00157723,27,73
E00157724,28.7,71.3
E00157725,35.2,64.8
E00157726,28.4,71.6
E00157727,30.7,69.3
E00157728,30.8,69.2
E00157729,37.3,62.7
E00157730,39.9,60.1
E00157731,34.5,65.5
E00157732,37.7,62.3
E00157736,24.6,75.4
E00157738,32.7,67.3
E00157739,31.4,68.6
E00157740,27.3,72.7
E00157741,35.1,64.9
E00157743,26.7,73.3
E00157744,30.4,69.6
E00157745,34.8,65.2
E00157746,38.4,61.6
E00157747,29.3,70.7
E00157748,35.3,64.7
E00157749,25,75
E00160635,26.5,73.5
E00160636,42.9,57.1
E00160723,40,60
E00160724,35.5,64.5
E00160725,36.3,63.7
E00160726,40.7,59.3
E00160727,39.8,60.2
E00160729,49.4,50.6
E00160730,43.8,56.2
E00160731,31.2,68.8
E00160732,35.2,64.8
E00160733,38.8,61.2
E00160734,28.9,71.1
E00160735,28.6,71.4
E00160736,31.5,68.5
E00160737,39.2,60.8
E00160738,34.6,65.4
E00160739,35.5,64.5
E00160740,32.7,67.3
E00160741,31.8,68.2
E00160743,34.4,65.6
E00160744,41.6,58.4
E00160745,31.8,68.2
E00160746,35.7,64.3
E00160747,31.5,68.5
E00160748,36,64
E00160749,30.6,69.4
E00160750,36.1,63.9
E00160751,34.9,65.1
E00160752,37.5,62.5
E00160753,33.3,66.7
E00160754,33.7,66.3
E00160755,37.2,62.8
E00160873,33.5,66.5
E00160874,38,62
