geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00032987,60.8,15.6,3.8,11.3,8.6
E00032988,89.3,5.8,1.4,1.9,1.6
E00032989,81.8,10.4,5.7,1.8,0.3
E00032990,73.9,13.7,6.5,4.1,1.7
E00032991,83.5,10,3.8,0,2.7
E00032992,77.7,14,3.3,2.3,2.8
E00032993,68.3,12,9.8,6.2,3.7
E00032994,80.9,9.6,0.9,0.9,7.8
E00032995,80.2,5.9,5.6,8.3,0
E00032996,90.4,5.9,0.5,2.1,1.1
E00032997,67.8,7,13.7,5.7,5.7
E00032998,82.4,8.1,3.2,4.2,2.2
E00032999,80.4,6.2,5.2,3.3,4.9
E00033000,60.3,34.5,3.4,1.7,0
E00033002,79.5,11.7,5,1.7,2.1
E00033004,83.8,9.1,3,1.2,2.7
E00033005,87.6,7,3.4,1,1
E00033006,77.7,10.8,7.2,4.3,0
E00033007,81.6,8,5.7,3.4,1.1
E00033008,80.6,7.2,9.5,1,1.8
E00033015,50.8,9,9.6,12.4,18.1
E00033016,66.3,10.5,4.7,6.2,12.2
E00033020,85.5,7,0.5,4.7,2.3
E00033021,70.2,20.7,4.2,2.1,2.8
E00033023,85.8,4.2,0.5,2.4,7.2
E00033032,86.2,4.7,4.1,2.2,2.8
E00033066,81.9,7.2,3.9,2.6,4.3
E00033067,85.2,7,4.8,2.6,0.4
E00033069,80.7,6.1,7.4,4.5,1.2
E00033070,82.2,8.9,4,2,3
E00033132,78.6,5.5,1.4,13.5,1.2
E00033133,85.6,8.4,3.1,2.4,0.5
E00033134,77.4,6.8,4.7,6.3,4.7
E00033135,83.9,3.9,3.4,2.8,6
E00033136,79.3,7.8,6.9,3.9,2.2
E00033137,69.8,9,6.4,3.2,11.6
E00033138,61.7,9.3,9.3,10.6,9.3
E00033139,86.6,5,6.1,1.1,1.1
E00033140,97,2.5,0.5,0,0
E00033141,75.5,4.7,1.4,7.5,10.8
E00033142,88.2,2,0.8,6.1,2.8
E00033143,62,7.5,9.1,11,10.4
E00033144,84.5,3.2,3.2,5.8,3.2
E00033145,81.6,0.8,5.3,2.4,9.8
E00033146,84.7,6.6,3.6,1.5,3.6
E00033147,87.9,7.1,0.7,2.1,2.1
E00033148,81.4,7.7,2,5.3,3.6
E00033149,83.8,4.1,1.2,6.6,4.1
E00033150,70.9,5.4,7.8,7.4,8.4
E00033151,63.9,7.8,12.5,9.3,6.5
E00033152,64.9,6.4,8.4,10.4,10
E00033153,83.3,4.8,2.5,4.8,4.6
E00033154,48.7,5.2,19,11.2,15.9
E00033155,74.3,5.7,5.3,3.4,11.3
