geography_code,sex-001,sex-002
E00032987,50,50
E00032988,44.5,55.5
E00032989,40.7,59.3
E00032990,42.7,57.3
E00032991,48.8,51.2
E00032992,47,53
E00032993,43.9,56.1
E00032994,46.1,53.9
E00032995,49.8,50.2
E00032996,51.6,48.4
E00032997,55.9,44.1
E00032998,53.1,46.9
E00032999,52.8,47.2
E00033000,50.9,49.1
E00033002,49.6,50.4
E00033004,52.7,47.3
E00033005,52,48
E00033006,52,48
E00033007,49.4,50.6
E00033008,60.2,39.8
E00033015,47.2,52.8
E00033016,49.8,50.2
E00033020,49.1,50.9
E00033021,50.3,49.7
E00033023,56.5,43.5
E00033032,46.1,53.9
E00033066,48.7,51.3
E00033067,47.2,52.8
E00033069,46.3,53.7
E00033070,38.3,61.7
E00033132,56.5,43.5
E00033133,60.2,39.8
E00033134,48.9,51.1
E00033135,54.3,45.7
E00033136,53.2,46.8
E00033137,47.8,52.2
E00033138,52.7,47.3
E00033139,44.8,55.2
E00033140,53.3,46.7
E00033141,50.2,49.8
E00033142,50.2,49.8
E00033143,46.1,53.9
E00033144,54.2,45.8
E00033145,50.6,49.4
E00033146,52,48
E00033147,52.5,47.5
E00033148,53.7,46.3
E00033149,51.7,48.3
E00033150,47.6,52.4
E00033151,48.9,51.1
E00033152,49.5,50.5
E00033153,53.8,46.2
E00033154,38.8,61.2
E00033155,48.3,51.7
E00033156,49.4,50.6
E00033157,51.9,48.1
E00033158,52.9,47.1
E00033159,53.7,46.3
E00033160,45.7,54.3
E00033161,52.4,47.6
E00033162,44.4,55.6
E00033163,42.3,57.7
E00033164,55.5,44.5
E00033171,51,49
E00033172,40.2,59.8
E00033173,51.2,48.8
E00033174,54.3,45.7
E00033175,57.7,42.3
E00033176,49.6,50.4
E00033177,48.2,51.8
E00033178,45.8,54.2
E00033179,53.7,46.3
E00033181,54.5,45.5
E00033182,45.8,54.2
E00033183,61.6,38.4
E00033185,52.7,47.3
E00033186,49.5,50.5
E00033187,48.4,51.6
E00033188,58.4,41.6
E00033189,46.2,53.8
E00033190,48.4,51.6
E00033191,56.7,43.3
E00033192,52.7,47.3
E00033193,52.3,47.7
E00033194,54.8,45.2
E00033195,51.9,48.1
E00033196,49.3,50.7
E00033197,53.7,46.3
E00033198,53.7,46.3
E00033199,54.3,45.7
E00033200,59.5,40.5
E00033201,54.2,45.8
E00033202,50.5,49.5
E00033203,52,48
E00033204,56.3,43.7
E00033206,55.6,44.4
E00033207,49.3,50.7
E00033208,45.5,54.5
E00033209,50,50
E00033210,56.1,43.9
E00033211,49.4,50.6
E00033212,51.4,48.6
E00033213,50.3,49.7
E00033214,49.8,50.2
E00033215,40.2,59.8
E00033216,52.7,47.3
E00033217,48.2,51.8
E00033218,45.8,54.2
E00033219,46.5,53.5
E00033220,52.6,47.4
E00033221,36.8,63.2
E00033222,51.8,48.2
E00033223,47.4,52.6
E00033224,57.8,42.2
E00033225,47.1,52.9
E00033226,56.4,43.6
E00033227,51.8,48.2
E00033228,42.6,57.4
E00033229,52.6,47.4
E00033230,52.3,47.7
E00033235,52.8,47.2
E00033237,49.8,50.2
E00033238,53.4,46.6
E00033242,52.7,47.3
E00033245,50.8,49.2
E00033246,46.3,53.7
E00033247,47,53
E00033248,38.9,61.1
E00033249,49.1,50.9
E00033250,51.1,48.9
E00033251,50.2,49.8
E00033252,47.2,52.8
E00033253,46.9,53.1
E00033254,49.5,50.5
E00033255,50.7,49.3
E00033256,54.1,45.9
E00033257,45.8,54.2
E00033258,50.4,49.6
E00033259,42.9,57.1
E00033260,50.8,49.2
E00033261,54.9,45.1
E00033264,51.9,48.1
E00033267,47.7,52.3
E00033268,50.6,49.4
E00033269,51.3,48.8
E00033270,48.5,51.5
E00033276,53.3,46.7
E00033278,56.9,43.1
E00033279,53.9,46.1
E00033281,48.1,51.9
E00033282,54.6,45.4
E00033283,52.5,47.5
E00033284,41.3,58.8
E00033285,54.8,45.2
E00033286,56.1,43.9
E00033287,54.8,45.2
E00033288,53.4,46.6
E00033298,57.4,42.6
E00033299,54.1,45.9
E00033300,48.7,51.3
E00033306,54.4,45.6
E00033312,51.3,48.7
E00033315,51.3,48.7
E00033318,52.2,47.8
E00033319,48.6,51.4
E00033328,48.5,51.5
E00033329,50.8,49.2
E00033330,52.2,47.8
E00033338,48.1,51.9
E00033351,49,51
E00033354,40,60
E00033356,49.9,50.1
E00033357,54.1,45.9
E00033358,51.8,48.2
E00033359,51.6,48.4
E00033360,51.6,48.4
E00033367,50.2,49.8
E00033368,50.9,49.1
E00033369,54.3,45.7
E00033370,55.4,44.6
E00033372,45.7,54.3
E00033373,49.2,50.8
E00033374,54.3,45.7
E00033378,54.5,45.5
E00033379,53.3,46.7
E00033380,55.5,44.5
E00033382,48.6,51.4
E00033386,51.8,48.2
E00033387,51,49
E00033388,54.7,45.3
E00033389,52.1,47.9
E00033391,53.6,46.4
E00033392,44.9,55.1
E00033394,47.4,52.6
E00033395,51.1,48.9
E00033396,53,47
E00033397,48.4,51.6
E00033399,51.3,48.7
E00033400,49.8,50.2
E00033401,47.6,52.4
E00033402,49.3,50.7
E00033403,49.6,50.4
E00033404,55.2,44.8
E00033405,53.3,46.7
E00033406,53.6,46.4
E00033407,50,50
E00033408,60,40
E00033409,60.5,39.5
E00033410,46.8,53.2
E00033411,53.1,46.9
E00033412,44.4,55.6
E00033413,50.5,49.5
E00033414,54,46
E00033415,48.5,51.5
E00033416,50.3,49.7
E00033417,54.2,45.8
E00033419,53.5,46.5
E00033420,50.3,49.7
E00033421,55.3,44.7
E00033423,50.4,49.6
E00033424,53,47
E00033425,53.3,46.7
E00033426,49.5,50.5
E00033427,52.3,47.7
E00033438,56.8,43.2
E00033439,51.5,48.5
E00033448,49.2,50.8
E00033449,49.7,50.3
E00033450,55.8,44.2
E00033451,47.1,52.9
E00033452,53.7,46.3
E00033453,46.4,53.6
E00033454,50.4,49.6
E00033455,57.8,42.2
E00033456,52.2,47.8
E00033525,51.3,48.7
E00033526,50,50
E00033527,54.9,45.1
E00033534,61.5,38.5
E00033535,52,48
E00033536,53.8,46.2
E00033538,52.7,47.3
E00033539,54.3,45.7
E00033540,52.7,47.3
E00033541,51,49
E00033542,50,50
