areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00031574,23.6,43.3,24.4,8.7
E00031575,11.3,47.6,30.6,10.5
E00031576,4.8,32.8,44.8,17.6
E00031577,14.4,38.6,34.1,12.9
E00031578,3.2,24,50.4,22.4
E00031579,0.9,21.8,47.3,30
E00031580,10.1,36.5,41.9,11.5
E00031581,6.6,33.1,45.5,14.9
E00031582,11.7,31.1,40.8,16.5
E00031583,6.7,41,43.8,8.6
E00031584,4.7,21.1,55.5,18.8
E00031602,3.5,27.1,51.2,18.2
E00031603,14.6,46.1,29.8,9.6
E00031604,0.7,31.5,53.1,14.7
E00031605,29.5,47.3,19.4,3.9
E00031607,29.7,42.3,20.7,7.2
E00031608,14.3,57.9,20.6,7.1
E00031609,19.7,44.3,31.1,4.9
E00031610,28.8,45.9,21.9,3.4
E00031611,3.7,46.3,35.8,14.2
E00031612,28,45.8,21.2,5.1
E00031613,40,44.2,13.3,2.5
E00031614,10.4,54.8,25.2,9.6
E00031615,14.5,49.1,25.5,10.9
E00031616,8.5,41.8,35.5,14.2
E00031617,14.8,42.6,32.2,10.4
E00031696,30.6,42.7,21.8,4.8
E00031697,16.5,52.6,30.1,0.8
E00031698,3,23.1,53,20.9
E00031699,36.3,37.2,20.4,6.2
E00031700,30.9,48.5,18.4,2.2
E00031701,31.9,37,25.4,5.8
E00031702,33.3,48.5,12.1,6.1
E00031703,9.4,46,33.1,11.5
E00031704,20.2,41.9,30.6,7.3
E00031705,15.7,44.2,33.7,6.4
E00031706,19,42.2,30.2,8.6
E00031707,44.7,40.8,9.7,4.9
E00031708,30.7,42.1,21.4,5.7
E00031709,14.4,54.1,18.9,12.6
E00031710,25,37.1,27.3,10.6
E00031711,34.3,50.7,11.2,3.7
E00031712,15.1,56.3,19,9.5
E00031713,15.2,54.5,22.8,7.6
E00031714,23.3,36.4,28.7,11.6
E00031715,40.3,42.3,12.8,4.7
E00031716,16.4,51.5,24.6,7.5
E00031717,13.1,50,31.5,5.4
E00031718,16.9,45.4,25.4,12.3
E00031719,9.9,54.6,28.3,7.2
E00031720,18.3,43.3,27.5,10.8
E00031721,11,44.9,34.6,9.6
E00031722,13.6,40.7,32.1,13.6
E00031723,21.6,36,27.3,15.1
E00031725,18.1,41.3,30.4,10.1
E00031726,19.7,49.3,23.2,7.7
E00031727,21.1,48.3,19.7,10.9
E00031728,35.2,46.1,13.3,5.5
E00031729,24.4,52.9,18.5,4.2
E00031730,41.3,40.6,13.5,4.5
E00031731,23.4,54.7,17.2,4.7
E00031732,39.1,41.4,14.1,5.5
E00031990,0,43.5,44.4,12.1
E00031991,8.1,32.5,47.2,12.2
E00031993,7.7,42.1,41.3,8.9
E00031994,10.4,47.8,29.9,11.9
E00031995,6.9,38.5,39.2,15.4
E00031996,12.2,41.5,38.8,7.4
E00031997,8.4,34.3,45.5,11.8
E00031998,5.1,33.5,49.4,12
E00031999,14.5,41.9,28.2,15.4
E00032000,12.7,44.4,31,12
E00032001,6.7,30.9,50.6,11.8
E00032002,40.8,40.8,13.6,4.8
E00032003,11.9,45.5,32.8,9.7
E00032004,2.7,20.1,55.7,21.5
E00032005,10.3,50,28.4,11.2
E00032006,6.9,41,39.6,12.4
E00032007,8.9,40.7,39.8,10.6
E00032008,8.4,40.3,40.3,10.9
E00032009,9.2,31.2,43.1,16.5
E00032010,7.4,40.7,38,13.9
E00032011,15.1,32.8,40.3,11.8
E00032012,8.6,47.7,34.4,9.4
E00032013,15.8,32.2,39,13
E00032014,0.8,33.3,47.5,18.3
E00032015,6.1,34.8,50.4,8.7
E00032016,15.6,43.4,31.1,9.8
E00032017,14.6,38.5,37.5,9.4
E00032018,10.4,49.1,36.8,3.8
E00032019,13.5,42.3,26.9,17.3
E00032020,3.3,38.2,40.7,17.9
E00032021,4.2,42.9,44.5,8.4
E00032022,16.5,40.2,34.6,8.7
E00032023,17.1,48.8,26.8,7.3
E00032024,26.2,36.9,31.5,5.4
E00032025,8.7,44.1,36.2,11
E00032026,16.5,45.2,28.7,9.6
E00032027,31.3,41.2,25.2,2.3
E00032029,32.4,40.3,22.3,5
E00032030,19,39.3,34.5,7.1
E00032031,2.9,30.2,49.6,17.3
E00032032,5.1,34.7,45.8,14.4
E00032033,3.2,43.2,41.1,12.6
E00032034,14.7,51.9,25.6,7.8
E00032035,10.3,43.1,39.7,6.9
E00032036,9.3,34.6,39.3,16.8
E00032037,11,36.4,40.7,11.9
E00032038,10.1,35.8,35.8,18.3
E00032197,38,43.3,13.5,5.3
E00032198,29.8,40.4,21.9,7.9
E00032200,33.3,40,24.4,2.2
E00032201,43,45.2,9.6,2.2
E00032202,26.2,46.7,25.3,1.7
E00032203,46.9,43.4,7.6,2.1
E00032204,50,39.5,8.1,2.4
E00032205,40.4,38.8,18.5,2.2
E00032212,31.6,44.4,17.3,6.8
E00032213,48.7,31.9,18.6,0.9
E00032214,45.5,38,16.5,0
E00032215,49.5,35.1,12.6,2.7
E00032216,46.1,45.2,5.2,3.5
E00032217,40.8,36.7,16.3,6.1
E00032218,18.2,40.9,31.8,9.1
E00032219,40.7,39.3,16.3,3.7
E00032220,24.4,38.2,28.5,8.9
E00032222,51.4,33,10.1,5.5
E00032223,41.1,40.2,17.9,0.9
E00032224,48,33.7,15.3,3.1
E00032225,37.1,48.3,12.1,2.6
E00032226,45.7,38.3,8.6,7.4
E00032239,8.2,38.8,46.9,6.1
E00032240,47.7,33.6,15.9,2.8
E00032241,36.2,41.9,18.1,3.8
E00032242,50,34.9,11.6,3.5
E00032243,46.1,42.2,10.9,0.8
E00032244,38.1,42.9,15.5,3.6
E00032245,38.7,47.7,12.6,0.9
E00032246,40.4,42.3,17.3,0
E00032278,7.5,50,32.1,10.4
E00032279,13.1,43.4,37.2,6.2
E00032280,16.1,37.9,31.5,14.5
E00032281,12.1,46.8,29.8,11.3
E00032282,10.7,47.1,33.9,8.3
E00032283,23.7,50,20.2,6.1
E00032285,32.7,46.5,15.8,5
E00032288,22.6,56.8,17.1,3.4
E00032294,10.1,52.7,31.8,5.4
E00032295,11.5,49.2,32,7.4
E00032298,17.7,42.7,34.7,4.8
E00032299,13.6,57.3,26.4,2.7
E00032303,22.7,50.8,21.9,4.7
E00032308,25.2,47.5,21.6,5.8
E00032309,28.7,51.2,19.4,0.8
E00032311,31.1,52.3,13.9,2.6
E00032312,30.2,47.5,18,4.3
E00032313,63.7,30.1,4.1,2.1
E00032315,10.2,40,35.1,14.6
E00032318,3.2,33.6,46.4,16.8
E00032319,5.1,32.2,46.6,16.1
E00032322,10.9,43.8,34.4,10.9
E00032426,9.8,37.9,42.4,9.8
E00032427,6.2,47.3,37,9.6
E00032428,7.1,49,34.8,9
E00032429,8.3,39.9,39.3,12.5
E00032430,45,42.6,9.3,3.1
E00032431,20.5,49.1,22.3,8
E00032432,23.4,53.2,16,7.4
E00032433,38.3,45.2,13,3.5
E00032434,22,44.1,24.6,9.3
E00032435,31.1,41.2,21,6.7
