areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00064578,48.7,51.3
E00064579,58.2,41.8
E00064580,47.7,52.3
E00064605,42.2,57.8
E00064608,26.6,73.4
E00064609,30.6,69.4
E00064610,43.1,56.9
E00064611,47.6,52.4
E00064612,25.5,74.5
E00064613,34,66
E00064614,20,80
E00064615,42.1,57.9
E00064815,24.8,75.2
E00064816,17.3,82.7
E00064818,22.1,77.9
E00064820,37.3,62.7
E00064822,26.3,73.7
E00064823,28.6,71.4
E00064824,11.5,88.5
E00064826,28.8,71.2
E00064853,11.4,88.6
E00064858,23.4,76.6
E00064859,16.2,83.8
E00064860,32.1,67.9
E00065733,50.4,49.6
E00065734,47.2,52.8
E00065735,60.3,39.7
E00065736,66.1,33.9
E00065737,49.6,50.4
E00065738,52.5,47.5
E00065994,57,43
E00065998,62.9,37.1
E00065999,53.3,46.7
E00066000,54.5,45.5
E00066001,51.4,48.6
E00066002,54,46
E00066003,60.7,39.3
E00066004,44.7,55.3
E00066005,45.3,54.7
E00066006,56.3,43.7
E00066007,63.1,36.9
E00066008,52.2,47.8
E00066009,49.5,50.5
E00066010,38.1,61.9
E00066011,41.3,58.7
E00066012,53.6,46.4
E00066013,55.8,44.2
E00066014,59.9,40.1
E00066020,62.4,37.6
E00066073,40.5,59.5
E00066074,34.7,65.3
E00066075,62,38
E00066076,47.6,52.4
E00066077,57.7,42.3
E00066078,58.5,41.5
E00066080,58.8,41.2
E00066081,53,47
E00066082,51.8,48.2
E00066083,69.3,30.7
E00066084,45.4,54.6
E00066085,41.7,58.3
E00066086,34.3,65.7
E00066087,52.1,47.9
E00066088,44.3,55.7
E00066089,36.7,63.3
E00066090,40.6,59.4
E00066091,54.3,45.7
E00066092,48.1,51.9
E00066093,49.6,50.4
E00066094,44.2,55.8
E00066095,41,59
E00066096,57.3,42.7
E00066098,54,46
E00066099,54.7,45.3
E00066100,52.4,47.6
E00066107,52.4,47.6
E00066108,66.3,33.7
E00066109,47.5,52.5
E00066110,59.1,40.9
E00066111,45.6,54.4
E00066112,52.2,47.8
E00066113,57.2,42.8
E00066114,56.3,43.8
E00066115,50,50
E00066116,63,37
E00066247,35,65
E00066248,19.6,80.4
E00066249,27.9,72.1
E00066250,27.5,72.5
E00066251,29.8,70.2
E00066252,43,57
E00066253,38.8,61.2
E00066254,32.4,67.6
E00066255,34.7,65.3
E00066256,28.5,71.5
E00066257,35.9,64.1
E00066258,24,76
E00066259,42.1,57.9
E00066260,37.5,62.5
E00066261,30.9,69.1
E00066262,15.8,84.2
E00066263,32.8,67.2
E00066264,24.1,75.9
E00066265,22.2,77.8
E00066266,38.2,61.8
E00066267,40.2,59.8
E00066268,37.2,62.8
E00066269,40.3,59.7
E00066270,48.1,51.9
E00066271,42.7,57.3
E00066272,43.2,56.8
E00066273,41.8,58.2
E00066274,50,50
E00066275,49.8,50.2
E00066276,22.8,77.2
E00066277,46.5,53.5
E00066278,24.5,75.5
E00066279,34.8,65.2
E00066280,46,54
E00066281,34.1,65.9
E00066282,48.8,51.2
E00066283,29.4,70.6
E00066284,27.7,72.3
E00066285,40.8,59.2
E00066286,37.7,62.3
E00066287,31.7,68.3
E00066288,27.1,72.9
E00066289,21.9,78.1
