geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00003377,51.3,28,18.7,2,0
E00003727,53.8,36.5,9.6,0,0
E00003733,60.9,28.6,8.3,2.3,0
E00003758,46.3,32.9,17.4,2.7,0.7
E00003760,59.8,23.4,14,2.8,0
E00003761,54,36.3,8.8,0.9,0
E00003762,66.7,25.8,6.7,0.8,0
E00003763,41.3,35.8,16.5,5.5,0.9
E00003764,64,28,8,0,0
E00003772,33.3,45.3,18.8,2.6,0
E00003781,62.4,32.8,2.4,2.4,0
E00003782,48.8,38.4,10.4,2.4,0
E00003783,71.5,22.8,5.7,0,0
E00003784,46.8,24.7,25.3,3.2,0
E00003785,65.8,21.4,8.5,4.3,0
E00003786,59.1,31.5,7.1,2.4,0
E00003787,44.5,40,12.9,2.6,0
E00003788,46.8,32.4,18,2.7,0
E00003789,48.1,26.9,16.7,7.4,0.9
E00003790,63.3,30.8,5.8,0,0
E00003791,65.2,28,6.8,0,0
E00003792,59.6,34.2,5.5,0.7,0
E00003793,60,27.3,10.9,1.8,0
E00003795,55.6,32.5,10.3,1.6,0
E00003796,57.1,37.4,4.8,0.7,0
E00003797,66.1,24.2,9.7,0,0
E00003798,45.5,26,19.5,8.1,0.8
E00003799,66.1,28.8,5.1,0,0
E00003800,60.6,28.8,9.1,1.5,0
E00003801,40.9,27.8,21.7,8.7,0.9
E00003802,57.9,29.4,11.9,0.8,0
E00003803,52.9,34.8,9.4,2.9,0
E00003804,60.3,31.7,7.1,0.8,0
E00004047,71.9,21.1,6.1,0.9,0
E00004048,65.4,27.9,4.8,1,1
E00004051,65.9,25.6,7,1.6,0
E00004054,66.4,31.1,2.5,0,0
E00004055,69.5,21.9,8.6,0,0
E00004057,67.9,26.4,2.8,2.8,0
E00004061,73.3,23.3,2.5,0.8,0
E00004063,69.6,25.5,4.9,0,0
E00004066,71.9,25.4,1.8,0.9,0
E00004068,66.1,26.8,7.1,0,0
E00004069,67.6,27.6,4.8,0,0
E00004075,59.5,29.4,10.3,0.8,0
E00004076,47.8,40.3,11.9,0,0
E00004078,66,23.8,8.8,1.4,0
E00004079,59.9,24.1,13.9,2.2,0
E00004080,56.4,34.3,9.3,0,0
E00004081,53,36.4,10.6,0,0
E00004082,56.8,29.7,11.9,1.7,0
E00004083,60.5,32,6.8,0.7,0
E00004084,33.1,44.9,18.4,3.7,0
E00004085,65.3,28.1,5,0.8,0.8
E00004086,53.4,33.6,10.3,2.6,0
E00004087,48.5,39.7,9.6,2.2,0
E00004088,54.7,35.3,8.2,1.8,0
E00004090,54.9,31.2,13.9,0,0
E00004091,61.4,33.3,5.3,0,0
E00004092,55.3,31.1,13.6,0,0
E00004093,62.7,28,9.3,0,0
E00004094,43.1,38.8,14.7,2.6,0.9
E00004095,63.6,27.3,6.6,1.7,0.8
E00004096,64.1,27.5,7.6,0.8,0
E00004097,17.8,40.7,34.7,5.9,0.8
E00004098,54.1,34.4,11.5,0,0
E00004099,59.8,34.4,5.7,0,0
E00004100,52.2,39.1,8.7,0,0
E00004101,54.4,35,8.1,2.5,0
E00004102,56.8,34.7,6.8,1.7,0
E00004103,64,29.8,6.1,0,0
E00004104,76.9,18.8,4.3,0,0
E00004105,68.2,28,3.8,0,0
E00004106,75.2,21.1,2.8,0,0.9
E00004107,60.9,33,5.2,0.9,0
E00004109,33.3,32.5,26,7.3,0.8
E00004110,59.6,29.8,9.6,1,0
E00004112,70.1,24.8,5.1,0,0
E00004113,61.3,35.1,3.6,0,0
E00004115,50,30.6,15.3,4,0
E00004116,68,28.8,2.4,0.8,0
E00004117,66.9,27.1,5.3,0.8,0
E00004118,64.8,28,6.4,0,0.8
E00004119,54.3,37.2,7,1.6,0
E00004854,56.2,32.3,7.7,3.8,0
E00004855,47.2,30.7,19.7,1.6,0.8
E00004856,61.1,25,13.9,0,0
E00004857,29.6,44.4,20.4,4.9,0.7
E00004858,22.9,45,19.8,12.2,0
E00004859,48.7,28.5,15,7.8,0
E00004860,36.4,46.6,10.2,6.8,0
E00004861,32.7,43.5,19,4.8,0
E00004862,51.4,38.1,9.5,1,0
E00004863,60.6,27.9,8.7,2.9,0
E00004864,42.7,32.3,20.2,4,0.8
E00004865,57.6,26.4,12.8,3.2,0
E00004866,46,35.3,15.1,2.9,0.7
E00004867,60,33.3,2.9,1.9,1.9
E00004868,62.7,30.4,6.9,0,0
E00004869,55.8,31.6,8.4,4.2,0
E00004870,54.9,34.1,6.6,4.4,0
E00004871,39.2,42.3,15.4,3.1,0
E00004872,53.8,26.1,16,4.2,0
E00004873,44.6,38.8,14.9,1.7,0
E00004874,39.1,39.9,18.1,2.9,0
E00004875,57,29,12.9,1.1,0
E00004876,47.6,38.7,11.3,2.4,0
E00004877,55.7,33.9,10.4,0,0
E00004878,58.9,31,8.5,1.6,0
E00004879,52.3,32.7,13.1,1.9,0
E00004880,33.9,44.6,17,4.5,0
E00004882,54.7,34.2,8.5,2.6,0
E00004883,51.6,34.4,13.1,0.8,0
E00004884,62.1,27.8,9.3,0.8,0
E00004886,34,35.8,25.2,5,0
E00004887,37.5,33.6,15.6,11.7,1.6
E00004889,46.3,31.3,18.4,4.1,0
E00004890,34.5,39.8,18.6,6.2,0.9
E00004891,35,32.5,25,6.7,0.8
E00004893,17.9,47.2,22,9.8,3.3
E00004895,42.5,37.5,13.3,6.7,0
E00004896,58.5,27.1,12.7,1.7,0
E00004897,43.8,35.3,17.6,2,1.3
E00004898,57,29.8,11.6,1.7,0
E00004899,49.3,33.1,14.8,2.8,0
E00004900,55.3,32.6,9.8,1.5,0.8
E00004901,35.9,38,18.3,7,0.7
E00004902,52.5,34.5,11.5,1.4,0
E00004904,45.1,35.2,18.9,0,0.8
E00004906,57.1,30.8,9,3,0
E00004907,51.3,33.3,14,1.3,0
E00004908,59.8,28.2,12,0,0
E00004909,59.8,27,8.6,3.4,1.1
E00004911,52.8,31.5,13.9,1.9,0
E00004912,52.1,32.6,11.8,3.5,0
E00004913,35.8,35.8,18.5,7.4,2.5
E00004914,55.8,33.3,10.9,0,0
E00004916,21.6,39.6,30.2,8.6,0
E00004917,31.9,37,23.9,7.2,0
E00004918,27,36.5,30.2,5.6,0.8
E00004920,28.8,31.5,19.8,18,1.8
E00004921,42.3,27.7,23.1,6.9,0
E00004922,38.3,43.8,14.8,1.6,1.6
E00004923,63.2,29.1,7.7,0,0
E00004924,37,37,24,2,0
E00004925,52.8,31.9,14.6,0.7,0
E00004926,58.6,34.5,6.9,0,0
E00004927,51.6,36.5,11.1,0.8,0
E00004928,56.8,28.4,12.8,2,0
E00004929,46.3,38.9,11.6,3.2,0
E00004930,57.9,32.3,6.8,3,0
E00004931,56.8,31.2,8,4,0
E00004932,51.8,35.8,10.2,2.2,0
E00004933,46.2,32.6,16.7,4.5,0
E00004934,52.3,33.8,13.1,0.8,0
E00004935,55.2,33.6,11.2,0,0
E00004936,44.2,35.9,15.5,2.8,1.7
E00004937,45,37.9,14.3,2.1,0.7
E00004938,47.2,31.3,17.2,3.7,0.6
E00004939,59.1,30.9,7.3,2.7,0
E00004940,60.3,34.5,5.2,0,0
E00004941,54.3,35.3,9.5,0.9,0
E00004942,57.8,28.4,10.3,3.4,0
E00004943,60.8,34.2,4.2,0.8,0
E00004944,33.5,32.3,20.6,13.5,0
E00004945,42.7,35.5,18.2,3.6,0
E00004946,32.1,35.7,25,7.1,0
E00004947,54,36.3,8.9,0.8,0
E00004948,56,39.2,2.4,2.4,0
E00004949,67,24.5,8.5,0,0
E00004950,25.8,37.9,32.6,3.8,0
E00004951,68,25.8,4.7,1.6,0
E00004952,50,30.6,13.9,4.9,0.7
E00004953,36.4,36.4,16.2,11,0
E00004954,60.3,29.8,7.8,2.1,0
E00004955,49,36.8,11.6,2.6,0
E00005139,62.1,31,6.9,0,0
E00005141,56.4,31.6,11.1,0.9,0
E00005142,54,32,11.3,0.7,2
E00005143,60,28.2,10,1.8,0
E00005145,60.3,29.4,7.9,2.4,0
E00005147,48.3,34.7,9.5,4.8,2.7
E00005154,63,30.9,5.6,0.6,0
E00005156,62.1,26.7,11.2,0,0
E00005161,62.4,29.7,5.9,2,0
E00005176,60.3,33.1,6.6,0,0
E00005183,61.1,28.4,10.5,0,0
E00005185,64.5,23.7,10.8,1.1,0
E00005186,67.3,29.6,3.1,0,0
E00005187,47.2,38.2,12.4,2.2,0
E00005188,51,38.2,7.8,2.9,0
E00005190,54.4,33.6,8.8,3.2,0
E00005192,65.5,23.9,8,1.8,0.9
E00005198,64.8,30.8,4.4,0,0
E00005200,55.2,32.8,11.2,0.9,0
E00005203,58.3,33.9,7,0.9,0
E00005205,56.4,32.1,10,1.4,0
E00005212,64.7,27.6,6,1.7,0
E00005218,62.5,20,11.7,5.8,0
E00005219,66.3,21.7,8.7,3.3,0
E00005229,68,21,10,1,0
E00005230,64.6,27.8,7.6,0,0
E00005231,54.3,29.9,14.2,0.8,0.8
E00005232,60.4,32.3,6.3,0,1
E00005234,56.7,35.8,5.8,1.7,0
E00005235,26.8,45.1,23.2,4.9,0
E00005236,64.5,25.6,6.6,3.3,0
E00005237,62.3,28.9,7.9,0.9,0
E00005238,63.4,27.5,8.4,0.8,0
E00005239,19.4,53.8,26.9,0,0
E00005241,57.6,32,8.8,1.6,0
E00005242,58.6,28.9,12.5,0,0
E00005245,27.8,40.2,21.6,10.3,0
E00005246,32.7,39.5,17.7,10.2,0
E00005247,33.6,36.4,23.6,6.4,0
E00005248,32.1,35.1,26.1,6,0.7
E00005249,34.5,34.5,21,10.1,0
E00005250,27,35.2,26.2,10.7,0.8
E00005251,38.3,36.4,18.7,6.5,0
E00005252,33.6,37.1,24.1,5.2,0
