geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00037241,35.6,2.5,62
E00037242,46.2,7.6,46.2
E00037243,67.3,3.3,29.5
E00037244,37,5.6,57.4
E00037245,43.4,1.5,55.1
E00037246,43.1,3.4,53.4
E00037247,61.4,3.5,35.1
E00037248,46.3,2.8,50.9
E00037249,61.2,1.9,36.8
E00037250,59.7,3,37.3
E00037251,52.4,4.1,43.5
E00037252,53.8,3.1,43
E00037253,54.7,5.1,40.3
E00037254,53.9,6.2,39.9
E00037255,59.1,2.9,38
E00037256,52.3,0.4,47.3
E00037257,57.3,3,39.7
E00037260,37.8,2.3,59.9
E00037261,46.2,3,50.8
E00037262,50.2,2.5,47.3
E00037263,54.7,1.1,44.2
E00037264,50,2.4,47.6
E00037322,54.7,2.6,42.7
E00037323,48.3,1.3,50.4
E00037324,43.5,6.5,50
E00037327,46.7,3.7,49.6
E00037328,60.2,4,35.8
E00037329,55.7,4.3,40
E00037330,42.7,5.2,52.1
E00037331,47.2,3.3,49.5
E00037332,42.5,3.9,53.5
E00037333,46.8,3.7,49.5
E00037334,47.2,3.6,49.2
E00037336,59.3,3.7,37
E00037337,46.4,4,49.6
E00037338,50.2,3.9,45.9
E00037339,53.6,1.9,44.5
E00037340,57.4,3.2,39.4
E00037341,58.9,3.3,37.9
E00037342,32.4,3.6,64
E00037343,54.3,2.4,43.3
E00037344,48.6,5.1,46.3
E00037345,62.2,2.8,35
E00037346,58.5,2.7,38.8
E00037348,57.9,2.9,39.3
E00037349,63.7,1.4,34.9
E00037351,46.6,3.7,49.8
E00037352,59.5,5.9,34.5
E00037353,50.7,6.2,43.1
E00037354,42.6,0.5,56.9
E00037355,54.1,2.9,43
E00037356,58.2,3.4,38.5
E00037357,45.4,4.2,50.5
E00037358,70.7,2.8,26.5
E00037359,39.9,7,53.2
E00037363,24.6,6.4,69
E00037374,54,3.6,42.3
E00037375,36,3.4,60.7
E00037376,43.4,7.1,49.5
E00037740,58.5,9.1,32.5
E00037742,57.1,6.1,36.9
E00037750,62.4,2.7,34.9
E00037753,64.1,3.2,32.7
E00037754,58.8,5.4,35.8
E00037755,43.1,2.4,54.4
E00037756,54.4,1.1,44.5
E00037757,51.4,1.2,47.4
E00037761,59.8,3.7,36.5
E00037762,50.4,0.4,49.2
E00037766,62,4.4,33.6
E00037768,57.1,6.6,36.3
E00037770,52.8,5.5,41.7
E00037771,49.4,4.7,46
E00037772,63.5,2.8,33.7
E00037773,58.3,3.4,38.3
E00037774,60.3,0.4,39.3
E00037777,59.8,0.9,39.3
E00037778,48.2,2.6,49.2
E00037781,59.3,1.5,39.2
E00037786,66.8,3.1,30.1
E00037791,62,2.6,35.4
E00037793,49.6,3.5,46.9
E00037794,57.5,8.1,34.4
E00038187,50.3,3,46.7
E00038188,25.2,1.5,73.3
E00038191,48.4,5.3,46.3
E00038192,65.2,2.7,32.1
E00038193,54.3,3.6,42.1
E00038194,50.2,3.5,46.3
E00038196,45.1,6.3,48.5
E00038197,42.6,5.1,52.3
E00038199,45.2,4.1,50.7
E00038200,39.6,4.1,56.2
E00038202,61.4,7.3,31.3
E00038203,32.3,3.6,64.1
E00038204,36.3,3.1,60.7
E00038205,51.3,3.8,44.9
E00038206,33.2,3.3,63.6
E00038207,57.6,1.2,41.2
E00038208,53.6,5.4,41
E00038210,37,2,61
E00038211,51.7,5.3,43
E00038212,57.3,2.5,40.2
E00038214,56.1,0.4,43.6
E00038215,55.7,4.3,40
E00038216,51.1,4.2,44.7
E00038219,58.2,2.9,38.8
E00038221,59.2,1.2,39.6
E00038222,49,7.1,43.9
E00038223,54.8,3.2,42.1
E00038224,55,2.2,42.8
E00038225,41.2,2.4,56.4
E00038226,57.9,5,37.2
E00038227,56.9,2.8,40.3
E00038228,61.2,3.7,35
E00038229,20.8,2.5,76.7
E00038230,43.9,4.6,51.5
E00038231,44.9,5.1,50
E00038232,47.7,1.8,50.5
E00038233,52.9,1.8,45.4
E00038358,54,5.7,40.3
E00038359,49.4,0,50.6
E00038360,58.7,3.8,37.5
E00038361,50.7,2.9,46.3
E00038362,48,3.3,48.7
E00038363,54.5,5.1,40.4
E00038364,59.1,3.5,37.4
E00038365,43.2,3.4,53.4
E00038366,52.8,3.6,43.5
E00038367,55.1,2.9,42
E00038368,60.5,3.2,36.3
E00038369,58.8,3.4,37.8
E00038370,33.9,0,66.1
E00038371,46.9,6.6,46.4
E00038372,32.5,2.4,65.1
E00038373,55.6,6.6,37.9
E00038374,51.8,1.8,46.5
E00038375,30.9,0,69.1
E00038376,42.2,6.5,51.3
E00038377,45.1,1.3,53.6
E00038378,29.3,4.9,65.9
E00038379,54.3,6.1,39.6
E00038380,48.4,6.4,45.2
E00038381,58.9,1.2,39.8
E00038382,30.4,1.8,67.7
E00038383,62.8,1.8,35.3
E00038384,49.5,2.2,48.4
E00038385,46,3.4,50.6
E00038386,48.7,7.1,44.2
E00038387,47.5,10,42.5
E00038388,57.6,4.6,37.8
E00038389,39.8,7.1,53
E00038390,51.7,9,39.3
E00038392,41.4,8.3,50.3
E00038393,52.7,3.5,43.8
E00038394,48.3,5.7,45.9
E00038395,53.7,8.5,37.8
E00038396,55.8,5.6,38.5
E00038397,34.4,5.4,60.2
E00038399,56.7,4.3,39.1
E00038400,57.2,1.4,41.4
E00038401,59.6,4.9,35.5
E00038402,55.9,2.8,41.3
E00038403,55.7,5.7,38.6
E00038404,44,8.9,47
E00038405,59.2,3.6,37.2
E00038406,57.7,7.7,34.7
E00038407,48.8,4.5,46.7
E00038410,52,2,46
E00038411,57.6,0.6,41.8
E00038412,51.6,1.2,47.2
E00038413,45.2,0.8,54
E00038414,59.6,1.3,39.1
E00038415,45.7,1.2,53
E00038429,50.7,2.3,47.1
E00038936,57.7,1.6,40.7
E00038937,62.8,2.1,35.1
E00038938,41.9,0.3,57.8
E00038939,69.9,2.4,27.7
E00038940,58.1,2.9,39
E00038941,52.9,0.9,46.2
E00038942,54.6,1.7,43.7
E00038967,56.9,3.2,39.9
E00038970,44.5,2.2,53.3
E00038971,57.2,3,39.8
E00038972,50,1.7,48.3
E00038973,70.2,3.4,26.5
E00038974,61,2.6,36.4
E00038975,75.2,3.3,21.5
E00038976,45.7,1.2,53.1
E00038977,54.8,3.1,42.1
E00038978,45.1,4.7,50.2
E00038979,48.7,3,48.3
E00038980,41,5,54
E00038981,62.9,2,35.1
E00038982,57.7,3.3,39
E00038983,41.8,1.8,56.4
E00038984,59.3,3.3,37.4
E00038985,57.4,4.3,38.4
E00038986,60.3,2.4,37.3
E00038987,56.4,3.6,40
E00038988,59.3,1.8,38.9
E00038989,56.4,2,41.6
E00038991,61.2,0.8,38
E00038992,55.9,0,44.1
E00038997,43.1,8.6,48.3
E00039081,50,4.7,45.3
E00039082,59.7,2.5,37.7
E00039083,33.3,5.3,61.3
E00039084,64.3,1.6,34.1
E00039101,57.3,4.4,38.3
E00039104,27,4.6,68.4
E00039105,39.8,1.4,58.8
E00039106,51.8,4.7,43.5
E00039107,60.7,3,36.3
E00039108,51.4,4.1,44.5
E00039109,46.9,3.8,49.3
E00039110,49.4,3.5,47.1
E00039111,50.9,5.8,43.4
E00039130,66.2,0.7,33.1
E00039131,27,1.4,71.6
E00039132,56.3,3.2,40.5
E00039133,72.5,4.3,23.2
E00039134,45,6.1,48.9
E00039135,60,4,36
E00039137,35.8,5.7,58.5
E00039138,46.6,0,53.4
E00039139,54.8,1.4,43.8
E00039140,58.7,3.1,38.2
E00039141,43.1,3.1,53.8
E00039142,41.4,6.8,51.8
E00039143,56.7,1.7,41.6
E00039144,43.7,5.2,51.1
E00039145,48.3,3.2,48.5
E00039146,54.3,2.6,43.1
E00039147,46.1,5.2,48.7
E00039148,48.7,8.6,42.8
E00039149,41.9,4.1,54.1
E00039150,51.4,2,46.7
E00039151,50.6,1.7,47.7
E00039152,34.6,5.4,60
E00039153,54,2.8,43.3
E00039154,44.5,4.7,50.8
E00039155,46,6.9,47
E00039156,40,6.9,53.1
E00039157,32,4.4,63.5
E00039158,55.7,2.2,42.1
E00039159,42.5,10,47.5
E00039160,64.1,1.8,34.1
E00039161,53,4.5,42.5
E00039162,46.5,4.3,49.2
E00039163,52.6,2.8,44.7
E00039164,39.4,8.8,51.8
E00039165,51.6,4.2,44.3
E00039166,54.3,0,45.7
E00039167,43,5.4,51.7
E00039168,56.4,2.2,41.4
E00039169,49.5,2.9,47.6
E00039170,34.9,2.1,63
E00039171,56.5,2.1,41.4
E00039172,44.4,4.9,50.7
E00039173,42.2,3.9,53.9
E00039174,54.3,2.3,43.4
E00039175,46.7,7.2,46.1
E00039176,43.8,4.7,51.5
E00039183,45.5,7.3,47.2
E00039184,41.4,14.5,44.1
E00039185,46.6,4.4,49
E00039186,45.4,7.9,46.7
E00039187,44.7,8.2,47.1
E00039188,11.2,1,87.8
E00039189,37.4,5.8,56.8
E00039190,47.6,7.9,44.4
E00039191,45.9,0,54.1
E00039193,49.4,5.3,45.3
E00039194,51.3,9.9,38.8
E00039195,51.5,7.3,41.2
E00039205,49.4,3.8,46.8
E00039206,57.6,1.3,41.1
E00039207,52.6,1.3,46.1
E00039208,57.8,3,39.1
E00039213,57.3,3.7,39
E00039214,61.9,2.2,35.8
E00039215,49.3,3.2,47.5
E00039216,54.4,5.6,40
E00039217,57,3,40.1
E00039218,59,2.4,38.5
E00039219,57.7,2.4,39.9
E00039233,41.8,3.2,55
E00039234,39.8,6.8,53.4
E00039235,56.3,3.2,40.5
E00039236,58.1,5.2,36.7
E00039237,51.4,2.7,45.9
E00039238,65.5,2,32.5
E00039239,56.6,5.2,38.2
E00039337,39.4,6.7,53.9
E00039351,35.3,8.3,56.3
E00039352,34.7,7,58.3
E00039353,35.1,9.5,55.5
E00039354,32.9,7.7,59.4
E00039355,47.1,6.5,46.4
E00039358,42.9,6.1,50.9
E00039360,52.9,4.9,42.2
E00039364,40.6,10.5,49
E00039366,58.1,3.5,38.4
E00039367,41.5,9.2,49.3
E00039368,59.3,3.4,37.3
E00039369,48.5,5.2,46.3
E00039370,50.6,4.6,44.8
E00039371,55.8,2.9,41.3
E00039372,61,2.8,36.2
E00039373,41.4,3.7,54.9
E00039375,46,6.3,47.7
E00039376,49.5,5,45.5
E00039377,55.7,5.3,38.9
E00039378,64.9,0,35.1
E00039379,45,8.3,46.8
E00039380,51.4,1.6,47
E00039381,54.4,1.4,44.1
E00039382,64,4.2,31.8
E00039383,45.1,3.6,51.3
E00039384,58.1,4.7,37.2
E00039385,57.2,1.9,40.9
E00039386,57.9,0,42.1
E00039387,62.6,5.5,31.9
E00039388,59.4,5,35.6
E00039389,65.4,3.7,30.9
E00039390,58.4,4.3,37.3
E00039391,59.1,4,36.9
E00039392,66.7,2.4,30.9
E00039393,47.5,4.3,48.2
E00039394,61.2,1.2,37.7
E00039395,49.8,7.3,42.9
E00039396,50.4,3.5,46.1
E00039397,66.5,1.6,31.9
E00039398,48.5,2.2,49.3
E00039400,47.8,8.6,43.5
E00039401,42.1,2,55.9
E00039402,39.6,2.8,57.5
E00039403,41,4.1,55
E00039404,51.8,10.1,38.2
E00039405,36.2,4.6,59.2
E00039406,47.6,12.4,40
E00039407,36.9,4.4,58.6
E00039408,66.7,1.6,31.7
E00039409,68.7,3.9,27.4
E00039411,73.3,0.9,25.9
E00039412,51.4,0,48.6
E00039413,49.5,7.5,43
E00039414,53.5,1.2,45.3
E00039415,56.8,2.1,41
E00039416,41.4,1,57.6
E00039417,50,6,44
E00039418,47,1.7,51.3
E00039419,60.6,4,35.3
E00039420,21.3,5.7,73
E00039421,53.1,3.6,43.3
E00039422,54.8,4,41.2
E00039423,45.2,7.1,47.7
E00039425,55.5,4.8,39.7
E00039426,60.2,2.5,37.3
E00039427,45,3.3,51.7
E00039428,62.9,5.4,31.7
E00039429,56.4,7.1,36.4
E00039430,55.4,2.3,42.3
E00039431,52.8,2.6,44.5
E00039432,60.4,0.5,39
E00039433,49.1,2.5,48.4
E00039472,59.2,1.4,39.4
E00039473,42.6,3,54.4
E00039474,44.7,1.1,54.1
E00039475,52.3,3.6,44.1
E00039476,41.2,3.3,55.5
