areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00104463,43.5,26.9,20.4,9.3
E00104464,51,21.6,15.7,11.8
E00104465,49.5,20.2,15.2,15.2
E00104467,48.9,22.3,15.1,13.7
E00104468,44.9,26.8,7.9,20.5
E00104484,35.9,23.4,21.9,18.8
E00104486,33.6,26.4,16.4,23.6
E00104489,29.3,28.4,31,11.2
E00104490,33,30.3,26.6,10.1
E00104495,39.4,13.1,29.2,18.2
E00104498,41.7,25,14.4,18.9
E00104500,34.3,29.6,15.7,20.4
E00104503,43,32,17,8
E00104504,20.4,23.9,35.4,20.4
E00104507,24.4,28.6,33.3,13.7
E00104509,36,23.4,21.6,18.9
E00104510,40.6,23.8,18.8,16.8
E00104511,38.4,21.4,22.3,17.9
E00104512,36.2,17.1,30.5,16.2
E00104513,45.6,13.6,22.3,18.4
E00104514,51.3,24.3,9.6,14.8
E00104515,42.7,22.9,24,10.4
E00104516,47.6,22.6,12.1,17.7
E00104517,49.3,21.3,22.7,6.7
E00104518,49.2,25.4,13.6,11.9
E00104519,33.7,25.4,31.7,9.3
E00104520,47.2,23.2,15.2,14.4
E00104522,42.9,28.6,19,9.5
E00104523,31.4,19.1,38.1,11.3
E00104524,26,32.7,27.9,13.5
E00104525,44.3,26.1,9.1,20.5
E00104526,26.7,30.5,25.2,17.6
E00104527,26.4,21.4,37.8,14.4
E00104528,28,22.4,40.4,9.3
E00104529,32,22,31,15
E00104530,26.6,25.9,37.8,9.8
E00104531,27.4,26.2,32.9,13.4
E00104532,16.9,29.6,45.1,8.5
E00104533,24.5,28.3,38.6,8.7
E00104534,20,27.9,41.1,11.1
E00104535,28.7,27.1,35.7,8.5
E00104536,31.5,25.5,33.3,9.7
E00104537,41.3,28,21.3,9.3
E00104538,25.5,27.7,34.3,12.4
E00104539,21.4,21.4,41.3,15.9
E00104540,35.2,29.5,23.8,11.4
E00104541,38.7,26.1,19.8,15.3
