areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00104885,58.8,2.3,38.8
E00104886,42.6,8.7,48.7
E00104887,37.2,12,50.8
E00104888,61.3,3.2,35.5
E00104889,39,5.7,55.3
E00104890,57.1,4.5,38.4
E00104891,35,10.6,54.4
E00104892,34.5,2.4,63
E00104893,39.2,8.3,52.5
E00104894,55.4,5.8,38.8
E00104895,37.9,2.9,59.2
E00104896,56.7,3.9,39.4
E00104897,57.9,2.5,39.6
E00104898,56.3,3.7,39.9
E00104899,27.1,5.1,67.8
E00104900,15.1,3.6,81.3
E00104901,33.1,5.3,61.6
E00104902,49.6,3.9,46.5
E00104903,43.8,4.3,51.9
E00104904,26.6,1.2,72.2
E00104905,58.5,1.9,39.6
E00104906,44.7,3,52.3
E00104907,49.3,7.9,42.7
E00104908,51.1,2.6,46.3
E00104909,54.6,3.2,42.1
E00104910,49.5,4.5,46
E00104911,37.2,0.3,62.4
E00104912,58.9,3.8,37.3
E00104913,58.6,3.7,37.7
E00104924,45.6,7.7,46.7
E00104925,51.9,3.9,44.2
E00104929,58.4,3.6,38.1
E00104930,50.5,1.6,47.9
E00104932,57.1,1.2,41.7
E00104933,44.7,4,51.3
E00104934,49.7,4.5,45.8
E00104935,53.3,2.7,44
E00104936,61.7,3.6,34.7
E00104937,60.9,1.8,37.3
E00104938,51.8,3.5,44.7
E00104940,52,3.2,44.8
E00104941,55.8,5.4,38.8
E00104942,53,2.1,44.9
E00104943,55.2,2.4,42.3
E00104944,58.1,0.8,41.1
E00104945,51.1,0.4,48.6
E00105049,46.1,2.8,51.1
E00105050,13.9,4.7,81.4
E00105051,19.8,3.3,77
E00105058,49.8,3.4,46.8
E00105059,54.5,1.6,44
E00105061,23.6,2.7,73.6
E00105081,53.1,2.8,44.1
E00105083,53.8,3.1,43
E00105084,70.6,3.5,25.9
E00105085,49.6,4.5,45.8
E00105087,39.6,2.6,57.8
E00105088,60.2,2.7,37.1
