areacd,heating_type_3a-001,heating_type_3a-002
E00065212,2.8,97.2
E00065213,0,100
E00065214,3,97
E00065215,0,100
E00065216,1,99
E00065217,0.8,99.2
E00065218,0.7,99.3
E00065219,1.5,98.5
E00065220,0,100
E00065221,0.8,99.2
E00065222,0,100
E00065224,5.8,94.2
E00065225,0,100
E00065226,1.6,98.4
E00065227,0.7,99.3
E00065228,1.4,98.6
E00065229,4.6,95.4
E00065230,1.5,98.5
E00065231,1.6,98.4
E00065232,0,100
E00065233,1.6,98.4
E00065234,2.2,97.8
E00065235,0.5,99.5
E00065236,1.4,98.6
E00065237,0,100
E00065238,0,100
E00065239,1,99
E00065240,0,100
E00065241,0,100
E00065242,1.4,98.6
E00065243,0,100
E00065244,3,97
E00065245,0.9,99.1
E00065246,5.8,94.2
E00065247,1.7,98.3
E00065248,0.8,99.2
E00065249,3.5,96.5
E00065250,1.7,98.3
E00065251,1.6,98.4
E00065252,0,100
E00065253,0,100
E00065254,0.8,99.2
E00065255,0.6,99.4
E00065256,3.1,96.9
E00065257,0,100
E00065259,0.9,99.1
E00065260,0,100
E00065262,0,100
E00065263,0.8,99.2
E00065264,7.2,92.8
E00065265,0.9,99.1
E00065266,0.8,99.2
E00065267,0.8,99.2
E00065268,0.9,99.1
E00065269,0,100
E00065271,0,100
E00065272,0,100
E00065273,2,98
E00065274,0,100
E00065275,0,100
E00065276,0,100
E00065277,3.1,96.9
E00065278,0.9,99.1
E00065279,0,100
E00065280,4,96
E00065281,0.8,99.2
E00065282,0.5,99.5
E00065283,1.8,98.2
E00065284,0,100
E00065285,0.9,99.1
E00065286,1.5,98.5
E00065287,2.5,97.5
E00065288,0,100
E00065289,0.8,99.2
E00065290,2.6,97.4
E00065291,0,100
E00065292,0,100
E00065293,1,99
E00065294,0.8,99.2
E00065295,0,100
E00065296,1.4,98.6
E00065297,2.6,97.4
E00065298,0,100
E00065299,3.6,96.4
E00065300,0.6,99.4
E00065301,0.8,99.2
E00065302,3,97
E00065303,2,98
E00065304,0.7,99.3
E00065305,3.8,96.2
E00065306,3.2,96.8
E00065307,0.8,99.2
E00065308,0.8,99.2
E00065309,1,99
E00065310,0.8,99.2
E00065311,0.9,99.1
E00065312,5.2,94.8
E00065313,2.5,97.5
E00065314,4.1,95.9
E00065315,2.7,97.3
E00065316,2.5,97.5
E00065317,0,100
E00065318,0,100
E00065319,0,100
E00065320,0.8,99.2
E00065321,0,100
E00065322,1.1,98.9
E00065323,9.6,90.4
E00065324,0,100
E00065325,2.1,97.9
E00065326,0,100
E00065327,0,100
E00065328,0.8,99.2
E00065329,5.4,94.6
E00065330,2.4,97.6
E00065331,0.7,99.3
E00065332,2.7,97.3
E00065333,3.9,96.1
E00065334,0,100
E00065335,5.1,94.9
E00065336,0,100
E00065337,4.3,95.7
E00065338,6.5,93.5
E00065339,1.6,98.4
E00065340,3.5,96.5
E00065341,0,100
E00065342,5.7,94.3
E00065343,0.8,99.2
E00065344,0.7,99.3
E00065345,2.6,97.4
E00065500,2.3,97.7
E00065501,0,100
E00065502,0.7,99.3
E00065503,0,100
E00065509,3,97
E00065510,0.9,99.1
E00065511,2.6,97.4
E00065512,2.5,97.5
E00065513,1.6,98.4
E00065514,3.7,96.3
E00065522,1.7,98.3
E00065536,1.7,98.3
E00065537,0.6,99.4
E00065538,2,98
E00065540,0.6,99.4
E00065541,0.7,99.3
E00065543,2.7,97.3
E00141804,1.8,98.2
E00174850,0,100
E00175335,0.9,99.1
E00175336,0,100
E00175337,0,100
E00175340,2.3,97.7
E00175341,0.7,99.3
E00175363,0.9,99.1
E00175365,0,100
E00175367,0,100
E00175369,0,100
E00185507,0,100
E00185519,4.3,95.7
E00185538,2.9,97.1
