areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00065212,16.4,46.4,26.4,10.9
E00065213,9.9,45.7,32.7,11.7
E00065214,10.1,60.9,24.6,4.3
E00065215,11.9,44.1,33.6,10.5
E00065216,2.8,35.8,47.2,14.2
E00065217,18.3,45.8,26.7,9.2
E00065218,28.7,50,16.9,4.4
E00065219,42.7,36.6,18.3,2.3
E00065220,22.1,49.2,23,5.7
E00065221,42.5,44.2,12.5,0.8
E00065222,60.3,31.5,6.2,2.1
E00065224,45.5,44.2,7.8,2.6
E00065225,18.9,53.1,21.7,6.3
E00065226,47.7,39.2,10,3.1
E00065227,25.7,48.5,22.1,3.7
E00065228,20.7,46.2,26.2,6.9
E00065229,34.9,46.7,15.8,2.6
E00065230,48.9,40.5,9.9,0.8
E00065231,15.3,54.8,22.6,7.3
E00065232,55,34.3,9.3,1.4
E00065233,33.1,40.8,20,6.2
E00065234,24.7,52.2,17,6
E00065235,13.3,48.7,26.2,11.8
E00065236,14.9,61,18.4,5.7
E00065237,34.5,44,18.1,3.4
E00065238,32.3,45.7,15,7.1
E00065239,19.2,57.6,19.2,4
E00065240,16.8,44,28.8,10.4
E00065241,32.6,47.1,18.1,2.2
E00065242,24.5,52.5,18.7,4.3
E00065243,20.9,51.9,21.7,5.4
E00065244,25.4,44,21.6,9
E00065245,57.8,34.5,5.2,2.6
E00065246,38,41.6,16.8,3.6
E00065247,45.8,43.2,10.2,0.8
E00065248,48.8,37.4,10.6,3.3
E00065249,12.6,60.5,18.5,8.4
E00065250,20.3,46.6,21.2,11.9
E00065251,21.1,54.5,13.8,10.6
E00065252,12.7,54.2,28,5.1
E00065253,10.8,57.6,22.3,9.4
E00065254,14.3,48.9,24.8,12
E00065255,5.2,56.9,28.2,9.8
E00065256,18.8,53.1,20.3,7.8
E00065257,7.6,52.1,29.9,10.4
E00065259,13.7,55.1,24.8,6.4
E00065260,16.7,50.7,28.3,4.3
E00065262,8.7,47.1,31.2,13
E00065263,18.9,43.4,27.9,9.8
E00065264,40.4,48.8,9.6,1.2
E00065265,14.2,58.4,21.2,6.2
E00065266,20.3,51.9,22.6,5.3
E00065267,20,57.6,12.8,9.6
E00065268,61.2,31,6,1.7
E00065269,9.4,57.6,30.2,2.9
E00065271,14.3,49.6,26.1,10.1
E00065272,19.1,50,21.3,9.6
E00065273,16,54,16,14
E00065274,23.1,54.6,16.7,5.6
E00065275,26.8,55.4,17,0.9
E00065276,21,59.4,15.9,3.6
E00065277,16.5,54.6,18.6,10.3
E00065278,17.5,51.8,17.5,13.2
E00065279,21.8,54,21.8,2.3
E00065280,21.4,50,21.4,7.1
E00065281,22.7,47.9,25.2,4.2
E00065282,19.6,50.8,22.1,7.5
E00065283,21.4,61.6,17,0
E00065284,16,42.5,29.2,12.3
E00065285,32.5,48.2,13.2,6.1
E00065286,22.8,47.8,22.8,6.6
E00065287,33.1,46.6,15.3,5.1
E00065288,19.5,54.9,20.4,5.3
E00065289,21.1,57.9,15.8,5.3
E00065290,23.4,53.2,22.1,1.3
E00065291,20.5,62.4,12.8,4.3
