geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00097579,39.4,60.6
E00097588,56.1,43.9
E00097591,47.8,52.2
E00097592,52.6,47.4
E00097593,64,36
E00097594,62.8,37.2
E00097595,62.2,37.8
E00097596,61.2,38.8
E00097598,59.8,40.2
E00097599,60.5,39.5
E00097626,64.7,35.3
E00097627,53,47
E00097628,40.7,59.3
E00097629,40.6,59.4
E00097630,50.9,49.1
E00097631,45.1,54.9
E00097632,37.6,62.4
E00097633,64.2,35.8
E00097634,66.7,33.3
E00097635,60.6,39.4
E00097636,56.9,43.1
E00097666,51.8,48.2
E00097667,64.9,35.1
E00097668,54,46
E00097669,45.6,54.4
E00097723,58.9,41.1
E00097724,67.3,32.7
E00097725,61.3,38.7
E00097726,65.7,34.3
E00097727,46.7,53.3
E00097728,42.6,57.4
E00097729,41.3,58.7
E00097730,57.5,42.5
E00097731,47.9,52.1
E00097742,65.5,34.5
E00097744,65.8,34.2
E00097745,69,31
E00097746,47.4,52.6
E00097756,66.4,33.6
E00097757,59.6,40.4
E00097758,58.2,41.8
E00097759,64.8,35.2
E00097760,59.6,40.4
E00097761,48.4,51.6
E00097770,48.8,51.2
E00097771,39.1,60.9
E00097772,55.3,44.7
E00097773,59.3,40.7
E00097774,69.9,30.1
E00097775,36.4,63.6
E00097776,55,45
E00097778,58.4,41.6
E00097779,47.6,52.4
E00097780,62.5,37.5
E00097781,57.5,42.5
E00097782,57.7,42.3
E00097783,66.7,33.3
E00097784,57.2,42.8
E00097785,53.5,46.5
E00097787,58.6,41.4
E00097810,64.8,35.2
E00097811,62.1,37.9
E00097812,78.6,21.4
E00097813,58,42
E00097814,62.9,37.1
E00097815,47.1,52.9
E00097816,52,48
E00097817,65.1,34.9
E00097846,49.5,50.5
E00097847,56.8,43.2
E00097848,54.6,45.4
E00097849,58.2,41.8
E00097850,34.5,65.5
E00097851,61.2,38.8
E00097853,37.8,62.2
E00097854,35.9,64.1
E00097855,35.3,64.7
E00097856,37.8,62.2
E00097857,54.9,45.1
E00097858,48.6,51.4
E00097859,24.9,75.1
E00097860,48.1,51.9
E00097861,58.5,41.5
E00097862,51.5,48.5
E00097863,35.9,64.1
E00097865,60.2,39.8
E00097866,31.5,68.5
E00097867,60.2,39.8
E00097868,53.2,46.8
E00097869,55.9,44.1
E00097870,47.3,52.7
E00097871,69.8,30.2
E00097872,56.7,43.3
E00097873,57.3,42.7
E00097874,63.6,36.4
E00097875,56.6,43.4
E00097876,42.5,57.5
E00097877,59,41
E00097878,59.6,40.4
E00097879,61.1,38.9
E00097880,45.9,54.1
E00097881,35.6,64.4
E00097882,20.3,79.7
E00097883,30.5,69.5
E00097884,12.1,87.9
E00097885,29.3,70.7
E00097886,42.2,57.8
E00097887,36.8,63.2
E00097888,32.7,67.3
E00097889,42.6,57.4
E00097890,20.9,79.1
E00097891,43.7,56.3
E00097892,56.3,43.7
E00097893,41.5,58.5
E00097894,56.8,43.2
E00097895,43,57
E00097896,44.1,55.9
E00097897,51.4,48.6
E00097898,29,71
E00097899,61.1,38.9
E00097900,66.9,33.1
E00097901,51,49
E00097902,37.3,62.7
E00097903,37.6,62.4
E00097904,49.1,50.9
E00097906,50.7,49.3
E00097907,46.4,53.6
E00097909,28.9,71.1
E00097910,45.3,54.7
E00097911,43.3,56.7
E00097912,49.1,50.9
E00097913,60.9,39.1
E00097914,55.4,44.6
E00097915,47.2,52.8
E00097916,41.5,58.5
E00097917,61.4,38.6
E00097918,53.4,46.6
E00097919,52.9,47.1
E00097920,53.2,46.8
E00097921,59.2,40.8
E00097922,66.4,33.6
E00097923,47.4,52.6
E00097924,51.9,48.1
E00097925,58.1,41.9
E00097926,30,70
E00097927,32.5,67.5
E00097928,32.2,67.8
E00097930,49.3,50.7
E00097931,34.9,65.1
E00097932,51.2,48.8
E00097933,54.3,45.7
E00097934,58.1,41.9
E00097935,33.7,66.3
E00097936,40.6,59.4
E00097937,30.3,69.7
E00097938,39.6,60.4
