areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00078251,64.1,0,35.9
E00078479,54.7,0.7,44.6
E00078480,45.5,1.4,53.1
E00078481,52.5,3.2,44.3
E00078482,43.1,3.1,53.8
E00078483,58.8,1.7,39.5
E00078484,62.3,3.2,34.5
E00078485,39.9,6.7,53.4
E00078486,65.1,1.1,33.7
E00078487,51.8,2,46.2
E00078488,53.4,2.6,44
E00078489,54.6,1.9,43.5
E00078490,46.4,2.8,50.8
E00078491,58.5,1.8,39.7
E00078492,38.4,1.1,60.5
E00078493,36.1,0.6,63.2
E00078494,71.2,1.5,27.3
E00078495,51.2,2.3,46.5
E00078496,18.5,2.2,79.3
E00078497,68.7,3.2,28.1
E00078498,57.8,2.3,39.9
E00078499,58.9,2.9,38.2
E00078500,71.3,3.2,25.6
E00078501,64.3,4.3,31.3
E00078502,62.6,5.2,32.2
E00078503,59.2,2.3,38.5
E00078504,66.4,3.9,29.6
E00078505,71.2,3,25.8
E00078506,48.6,2.8,48.6
E00078507,57.6,1,41.4
E00112876,40.5,2.1,57.4
E00112877,51.4,0,48.6
E00112878,33,1.1,65.9
E00112879,54.6,2.4,43.1
E00112880,64.5,2.4,33.1
E00112881,51.4,1.9,46.7
E00112882,41.8,3.4,54.8
E00112883,52.6,2.4,45
E00112884,56.6,1.9,41.6
E00112885,70,2.3,27.6
E00112886,57.8,0.4,41.7
E00112913,60.5,1.3,38.2
E00112915,62.9,1.9,35.2
E00112918,58.5,0.9,40.6
E00146242,62.7,2.4,34.9
E00146255,65.1,5.5,29.5
E00146256,56.5,0.8,42.7
E00146258,55.5,3.9,40.6
E00146259,62.5,2.4,35.1
E00146261,57.5,1.2,41.3
E00146262,71.2,1.9,26.9
E00146263,58.1,3.9,38
E00146264,65.2,3.8,31
E00146265,66.4,1.8,31.8
E00146266,71.8,4.1,24.1
E00146267,61,2.4,36.7
E00146269,64.6,3,32.5
E00146270,48.4,2.8,48.8
E00146271,51.9,1.1,47
E00146272,54.3,3.2,42.6
E00146273,52.6,1.2,46.1
E00146274,42.1,0.8,57.1
E00146275,61.6,0,38.4
E00146276,71.2,2.8,26
E00146277,58,1.6,40.4
E00146278,75.5,0.9,23.6
E00146279,68.3,4,27.8
E00146318,56.6,0,43.4
E00146319,51.1,1.6,47.3
E00146361,55.5,2.6,41.9
E00146362,58.4,2.5,39
E00146363,64.1,2.3,33.6
E00146364,63.6,0.9,35.5
E00146366,68.3,2.5,29.2
E00146368,61.4,1.4,37.1
E00146369,63.2,1.4,35.4
E00146370,50.7,1.4,48
E00146371,49.3,3.4,47.3
E00146372,71.3,3.5,25.2
E00146373,66.7,1.4,31.9
E00146374,62.2,2.5,35.3
E00146375,64.5,4.4,31.1
E00146376,56.3,2,41.6
E00146425,68.3,1.4,30.3
E00146426,70.7,0.7,28.6
E00146427,54.7,2.8,42.6
E00146428,51,2,47
E00146429,59.6,3.9,36.6
E00146430,67.1,0,32.9
E00146431,68.8,1.8,29.5
E00146432,58.6,0.7,40.7
E00146490,61,1.8,37.2
E00146491,64.1,2,33.8
E00146492,59.5,1.7,38.8
E00146493,66.7,2.1,31.3
E00146494,57.7,1,41.2
E00146495,64.2,2.6,33.2
E00146503,64.7,2.7,32.5
E00146504,57,1.3,41.8
E00146506,48,3.5,48.5
E00146507,69,3.4,27.6
E00146508,65.5,3.1,31.4
E00146509,59,0.4,40.6
E00146510,73.6,1.8,24.7
E00146511,49.8,1.5,48.7
E00146512,56.1,0,43.9
E00146513,61.7,0.4,37.9
E00146514,55.3,2.7,42
E00146515,56.2,1.7,42.1
E00146516,58.2,2.4,39.4
E00146517,88.8,0,11.2
E00146519,74.7,3.5,21.8
E00146520,64.9,1,34
E00146521,59.1,1.9,39
E00146522,61.5,7.4,31.1
E00146523,54.6,0.5,44.9
E00146524,47.4,3.4,49.2
E00146525,30.6,2.2,67.2
E00146526,52.7,2.3,45
E00146527,57.3,4,38.7
E00146529,51.2,5.5,43.3
E00146530,51,0,49
E00146533,63.9,1.9,34.2
E00146535,72.3,0,27.7
E00146536,81.1,1.1,17.8
E00146537,59.9,4.6,35.5
E00146538,69,2.9,28.1
E00146540,80.3,1.5,18.2
E00146541,54.9,3.4,41.6
E00146543,80.2,2.7,17.1
E00146544,74.2,2.4,23.4
E00146545,63.8,3.7,32.5
E00146546,60.6,3.4,36
E00146547,83.1,3,14
E00146548,87.1,3.3,9.6
E00146549,55.9,2.1,41.9
E00146550,67.3,2.3,30.4
E00146551,62.8,2.2,35.1
E00146552,63.7,1.5,34.7
E00146553,69.2,2.8,28
E00146554,54.4,0,45.6
E00146555,64.3,1.4,34.3
E00146556,62,1.5,36.4
E00146558,68.5,2.5,29
E00146559,66.1,3,30.9
E00146560,59.5,1.6,38.9
E00146561,55.3,2.9,41.8
E00146562,70.3,2.2,27.5
E00146563,60.1,2.7,37.2
E00146564,65.2,3.6,31.2
E00146566,72.9,1.5,25.7
E00146610,63.9,2.9,33.2
E00146611,71,0.8,28.2
E00146612,65.4,3.5,31.1
E00146613,59.3,0,40.7
E00146614,65.6,0.8,33.6
E00146615,54.6,1.6,43.8
E00146616,54.9,2.3,42.8
E00146634,60.3,2.4,37.3
E00146637,62.6,0.9,36.5
E00146648,68.5,4.1,27.4
E00146649,57.9,1.2,40.9
E00146650,58.3,1.6,40.1
E00146651,56.3,1,42.8
E00146652,57.1,0.8,42.1
E00146653,74.9,1.3,23.7
E00146655,65.7,0,34.3
E00146656,62.8,0.3,36.9
E00146657,55,4.3,40.7
E00146658,61,0,39
E00146659,55.8,2,42.2
E00146660,56,0.4,43.6
E00146684,61.6,2.2,36.2
E00146685,64.9,2.5,32.6
E00146686,54.7,2,43.3
E00146687,61,1.4,37.5
E00146688,55.6,2.2,42.1
E00146689,53.7,5.7,40.6
E00146690,62.5,0.3,37.2
E00146691,64.1,3.2,32.8
E00146692,58.1,2.3,39.5
E00146693,54.2,2.1,43.8
E00146695,48.9,3.7,47.4
E00146696,57.9,2.5,39.6
E00146697,62.6,1.2,36.2
E00146698,59.7,1.3,38.9
E00146701,68.5,2.7,28.9
E00146723,46.2,3,50.8
E00146724,49,3.2,47.8
E00146726,56.7,3.9,39.4
E00146728,60.9,1.3,37.7
E00146729,66.4,0.7,32.9
E00146730,57.3,2,40.6
E00146731,42.5,1.9,55.7
E00146732,45.4,1,53.7
E00146733,53.9,3.4,42.7
E00146734,64.5,4,31.6
E00146736,62,2.2,35.8
E00146737,62.1,0.3,37.6
E00146738,60.2,4.5,35.3
E00146739,53.2,3.2,43.6
E00146740,46.9,2.8,50.2
E00146741,59,2,39
E00146742,61.5,3.1,35.4
E00146743,60.2,2.4,37.4
E00146744,65,3.7,31.3
E00146745,73.9,1.4,24.8
E00146746,84.7,0.5,14.9
E00146747,80,0,20
E00146749,46.1,0.8,53.1
E00146750,48.1,2.6,49.3
E00146751,66.5,0,33.5
E00146752,64,0,36
E00146753,68,1.7,30.3
E00146754,61.9,1.5,36.6
E00146755,61.4,1.3,37.3
E00146756,65.7,3.6,30.7
E00146757,53.2,1.1,45.7
E00146758,66,4.6,29.5
E00146759,59.5,3.3,37.2
E00146760,51.5,2.9,45.6
E00146761,57,0,43
E00146762,57.5,2.6,39.9
E00146763,57.4,1.8,40.8
E00146764,22,0.5,77.4
E00146765,47.2,6.5,46.3
E00146766,52.1,0,47.9
E00146767,69.7,2,28.3
E00146768,43.7,2,54.3
E00146769,71.1,2.1,26.8
E00146770,52.6,2,45.3
E00146771,58.7,2,39.3
E00146772,68.5,2.2,29.2
E00146773,67.6,2.4,30
E00146774,67.4,1.8,30.9
E00146775,59.1,2.3,38.6
E00146777,64.8,3.3,31.9
E00146778,61.2,0.8,38
E00146779,63.5,3.1,33.3
E00146780,63.9,1.6,34.4
E00146781,69.2,2.7,28.1
E00146782,74.8,2,23.2
E00146783,70,1.9,28.1
E00146784,79.6,2.4,18
E00146785,64.7,1.4,33.8
E00146786,63.3,2.7,33.9
E00146787,47.6,6.3,46
E00146788,77.6,1.5,21
E00146789,72,0.3,27.7
E00146790,71.3,2.2,26.4
E00146791,75.2,2.6,22.2
E00146792,67,0,33
E00146794,69.9,0.2,29.9
E00146795,75.8,1.9,22.3
E00169066,77.6,1.6,20.8
E00169067,77.8,1.4,20.8
E00169068,67.1,2,31
E00169071,71.7,3,25.3
E00169072,79.1,1.3,19.6
E00169073,83.2,1,15.8
E00169074,79.2,3.6,17.3
E00169075,78.9,0.4,20.6
E00169076,76.1,2.3,21.6
E00169077,72.7,0.8,26.4
E00169078,84.7,5.4,9.9
E00169079,84.3,2.8,12.9
E00169080,75,2.9,22.1
E00169081,77.1,4.8,18.1
E00169082,91.5,0.5,8.1
E00169083,81.2,0.4,18.3
E00169084,75.7,1.9,22.5
E00169085,84.5,3.6,11.9
E00169086,82.1,2,15.9
E00169087,80.2,1.2,18.6
E00169088,77.4,2.6,20.1
E00169089,72.6,0.8,26.6
E00169090,79.4,3.4,17.2
E00169091,58.6,2.1,39.2
E00169092,65.2,3.2,31.7
E00169093,61.9,1.2,36.9
E00169094,59,0.6,40.4
E00169095,83.7,0.5,15.9
E00169096,51.1,3.5,45.5
E00169097,67.1,1.8,31.1
E00169099,75,3.6,21.4
E00169100,63.7,3,33.3
E00169101,74.7,2.7,22.6
E00169102,62.1,0.7,37.2
E00169103,76.7,4.2,19.2
E00169104,85.9,2.8,11.3
E00169105,48.5,1.2,50.2
E00173198,69.3,2.3,28.5
E00185850,75.7,2.4,22
E00185851,55.4,1.6,43
E00185857,69.2,3.3,27.5
E00185859,43.8,2.2,53.9
E00185860,40.9,0.6,58.5
E00185870,69.4,1.9,28.7
E00185871,80.5,0,19.5
E00185882,69.3,3.3,27.5
E00185886,66.3,2.7,31
E00185888,71.3,2,26.7
E00185897,62.6,3.9,33.5
E00185940,68.4,10.1,21.5
E00185941,68.2,2.2,29.6
E00185942,75,6,19
E00185950,32.4,1.4,66.2
E00185951,88.1,1,10.9
E00185955,75.3,2.4,22.4
E00185968,84.4,0.9,14.7
E00185971,67.9,1.1,31
E00185982,57.2,4.1,38.6
E00185986,57.1,0,42.9
E00185987,79.6,2.6,17.8
E00185989,77.4,1.2,21.4
E00185990,75.7,0.9,23.4
E00186030,82.6,1.3,16.1
E00186035,85.5,3.6,10.9
E00186037,75,2.6,22.4
E00186041,75.1,2.8,22.1
E00186053,70.7,1.6,27.7
E00186058,83.5,1,15.5
E00186059,56.3,2.1,41.5
E00186065,64.5,4.7,30.8
E00186071,67.2,1.6,31.1
