areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00078251,95.1,2,2.9
E00078479,95.1,1.2,3.7
E00078480,94.6,2.1,3.3
E00078481,94.6,0.7,4.8
E00078482,95.9,0,4.1
E00078483,96.7,0.5,2.7
E00078484,96,1.1,2.9
E00078485,97.9,0.7,1.4
E00078486,93.2,1.6,5.2
E00078487,94.9,0.4,4.7
E00078488,98.9,0.7,0.4
E00078489,98,0.4,1.6
E00078490,97.6,0.7,1.7
E00078491,96.2,1.5,2.3
E00078492,98.4,0.5,1.1
E00078493,98.8,0.6,0.6
E00078494,98.4,0.6,1
E00078495,93.9,0.3,5.8
E00078496,97.1,1.4,1.4
E00078497,91.5,1.1,7.4
E00078498,95.5,0,4.5
E00078499,89.5,3.3,7.1
E00078500,96.1,2.1,1.8
E00078501,94.3,2.1,3.5
E00078502,96.2,0.4,3.4
E00078503,95.1,2.9,2
E00078504,94.9,0.9,4.3
E00078505,90.1,1.7,8.2
E00078506,95.8,0.4,3.8
E00078507,95.5,0.9,3.6
E00112876,94.4,1.9,3.7
E00112877,95.2,2.5,2.2
E00112878,98.5,0.4,1.1
E00112879,96.9,0.6,2.5
E00112880,93.8,2.7,3.4
E00112881,90.6,3.7,5.7
E00112882,98.7,0,1.3
E00112883,93.9,1.3,4.8
E00112884,93.3,1.4,5.3
E00112885,93.2,2.3,4.5
E00112886,98.1,1.1,0.8
E00112913,92.7,2.8,4.5
E00112915,96.1,1.3,2.6
E00112918,98.6,0,1.4
E00146242,93.1,2.4,4.5
E00146255,97.6,1.2,1.2
E00146256,96.5,0.7,2.8
E00146258,90.8,1.9,7.2
E00146259,89.5,4.3,6.2
E00146261,93.9,2.3,3.9
E00146262,96.7,0.9,2.4
E00146263,92.5,0.9,6.6
E00146264,93.4,0.9,5.6
E00146265,88.2,3.3,8.5
E00146266,89.9,1.6,8.5
E00146267,91.5,0,8.5
E00146269,91.7,1.8,6.5
E00146270,96.9,1.6,1.6
E00146271,95.6,0.9,3.5
E00146272,91.8,2.3,5.9
E00146273,88.8,2.9,8.3
E00146274,97.4,0.6,1.9
E00146275,94.3,0.9,4.7
E00146276,93.1,2.7,4.1
E00146277,92.9,2.4,4.6
E00146278,85.7,3,11.4
E00146279,95.3,0.7,4
E00146318,95.8,0.6,3.6
E00146319,94.6,0.8,4.6
E00146361,94.7,0.3,5
E00146362,93,1.1,5.9
E00146363,91.9,2.6,5.5
E00146364,93.8,1.5,4.8
E00146366,92.3,1.8,5.9
E00146368,94.7,0.8,4.5
E00146369,92.6,3,4.4
E00146370,96.2,1.8,2
E00146371,98.8,0.6,0.6
E00146372,90.6,2.9,6.5
E00146373,94.5,1.4,4
E00146374,96.3,1.7,2.1
E00146375,93.4,3.3,3.3
E00146376,94.6,0.8,4.6
E00146425,91.9,2.5,5.6
E00146426,89.5,2.3,8.1
E00146427,95.7,1.6,2.6
E00146428,98.6,0.7,0.7
E00146429,94.5,2.6,2.9
E00146430,97.8,0.6,1.6
E00146431,93.7,0.8,5.5
E00146432,97.1,0.8,2.1
E00146490,94.6,1.1,4.3
E00146491,91.2,0.9,7.8
E00146492,94.1,1.9,4
E00146493,93.4,3.1,3.5
E00146494,97.3,0,2.7
E00146495,96,0.5,3.5
E00146503,94.3,1.4,4.4
E00146504,93.2,3.4,3.4
E00146506,95,1.7,3.3
E00146507,96.2,0.5,3.2
E00146508,98.4,0.6,1
E00146509,94.9,2.4,2.7
E00146510,93.2,0.4,6.4
E00146511,92.8,2,5.2
E00146512,96,0.4,3.7
E00146513,96.3,0.7,3
E00146514,97.4,0.3,2.3
E00146515,95.2,1.4,3.4
E00146516,92.5,0.9,6.6
E00146517,97.7,1.6,0.7
E00146519,94.4,1.6,4
E00146520,90.8,2.6,6.6
E00146521,92.8,1.1,6.1
E00146522,90.8,2.3,6.9
E00146523,93.6,4.5,1.8
E00146524,84.9,4.3,10.8
E00146525,92.9,1,6.1
