areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00001687,27.2,72.8
E00001939,26.5,73.5
E00001941,25.5,74.5
E00001955,28.9,71.1
E00001969,27.6,72.4
E00001971,32.4,67.6
E00002019,26.6,73.4
E00002022,28.6,71.4
E00007839,20.5,79.5
E00007840,15.3,84.7
E00007841,19.4,80.6
E00007842,17.6,82.4
E00007843,20.6,79.4
E00007844,18.7,81.3
E00007845,23.5,76.5
E00007846,15.9,84.1
E00007847,21.4,78.6
E00007848,20.5,79.5
E00007849,26.7,73.3
E00007850,28.6,71.4
E00007851,20.9,79.1
E00007852,22,78
E00007853,30.3,69.7
E00007854,24.4,75.6
E00007855,35.4,64.6
E00007856,28.3,71.7
E00007857,28.7,71.3
E00007858,24.2,75.8
E00007859,26.1,73.9
E00007860,35.6,64.4
E00007861,20.5,79.5
E00007862,23,77
E00007863,18.8,81.2
E00007865,22.6,77.4
E00007866,24.3,75.7
E00007867,22.3,77.7
E00007869,35.8,64.2
E00007870,28.5,71.5
E00007871,23,77
E00007872,24.5,75.5
E00007873,20.5,79.5
E00007874,17.9,82.1
E00007875,24.6,75.4
E00007876,33.9,66.1
E00007877,22.3,77.7
E00007878,19.1,80.9
E00007879,21.3,78.7
E00007880,18.8,81.2
E00007881,26.3,73.7
E00007882,13.4,86.6
E00007883,18.1,81.9
E00007884,21.6,78.4
E00007885,21.9,78.1
E00007886,17,83
E00007887,22.8,77.2
E00007888,29.3,70.7
E00007889,26.3,73.7
E00007890,37.8,62.2
E00007891,27.6,72.4
E00007892,22.6,77.4
E00007893,26.4,73.6
E00007894,27.9,72.1
E00007895,29.4,70.6
E00007896,35.3,64.7
E00007897,25,75
E00007898,35.7,64.3
E00007899,21.3,78.7
E00007900,32.4,67.6
E00007901,18.1,81.9
E00007902,18.8,81.2
E00007903,36,64
E00007904,28.9,71.1
E00007905,28,72
E00007906,29.1,70.9
E00007907,26.2,73.8
E00007908,26.5,73.5
E00007909,29.8,70.2
E00007910,21.4,78.6
E00007912,19.9,80.1
E00007913,35,65
E00007914,24.4,75.6
E00007915,40.1,59.9
E00007916,37.2,62.8
E00007917,26.6,73.4
E00007918,37.2,62.8
E00007919,24.1,75.9
E00007920,21,79
E00007921,33.5,66.5
E00007922,22.8,77.2
E00007923,40,60
E00007924,20.8,79.2
E00007925,39.8,60.2
E00007926,29.4,70.6
E00007927,31.6,68.4
E00007928,29.3,70.7
E00007929,36.1,63.9
E00007930,30.1,69.9
E00007931,25.9,74.1
E00007975,29.3,70.7
E00007976,29.4,70.6
E00007977,24,76
E00007978,33.3,66.7
E00007979,29.2,70.8
E00007980,30.4,69.6
E00007981,27.3,72.7
E00007982,19.6,80.4
E00007983,32.7,67.3
E00007984,31,69
E00007985,28.4,71.6
E00007986,30.4,69.6
E00007993,25.9,74.1
E00007994,24.7,75.3
E00007995,24.2,75.8
E00007996,25.5,74.5
E00007997,36.5,63.5
E00007998,30.3,69.7
E00007999,25.6,74.4
E00008000,32.5,67.5
E00008001,24.5,75.5
E00008002,23.3,76.7
E00008003,27,73
E00008004,33.3,66.7
E00008005,25.8,74.2
E00008006,28.4,71.6
E00008007,23.7,76.3
E00008008,28.8,71.2
E00008009,28.5,71.5
E00008010,36.3,63.7
E00008011,30.3,69.7
E00008012,26.5,73.5
E00008013,25,75
E00008014,23.5,76.5
E00008015,25.8,74.2
E00008050,27,73
E00008052,28.2,71.8
E00008059,26.6,73.4
E00008064,29.9,70.1
E00008068,29,71
E00008071,28.5,71.5
E00008072,33.3,66.7
E00008074,32.8,67.2
E00008078,32.4,67.6
E00008079,37.1,62.9
E00008080,29.6,70.4
E00008082,29.4,70.6
E00008083,30.8,69.2
E00008084,37.4,62.6
E00008085,28.3,71.7
E00008086,33.5,66.5
E00008090,28.1,71.9
E00008093,24.1,75.9
E00008094,31.1,68.9
E00008095,29.8,70.2
E00008096,30.4,69.6
E00008097,28.5,71.5
E00008099,26,74
E00008100,25.7,74.3
E00008103,35.9,64.1
E00008104,31.1,68.9
E00008105,34.9,65.1
E00008107,26.3,73.7
E00008108,32.1,67.9
E00008109,24,76
E00008110,24.4,75.6
E00008111,32.5,67.5
E00008112,31.2,68.8
E00008113,33.3,66.7
E00008114,33.1,66.9
E00008115,39.1,60.9
E00008116,32.2,67.8
E00008117,29,71
E00008118,30.5,69.5
E00008119,32.4,67.6
E00008120,25.5,74.5
E00008121,26,74
E00008122,32.9,67.1
E00008124,25.4,74.6
E00008125,29.5,70.5
E00008126,24.4,75.6
E00008127,26.6,73.4
E00008129,29.3,70.7
E00008130,37.1,62.9
E00008132,21.7,78.3
E00008133,30.1,69.9
E00008134,24.4,75.6
E00008135,23,77
E00008138,41.4,58.6
E00008139,39.3,60.7
E00008140,29.1,70.9
E00008141,36.7,63.3
E00008142,33.7,66.3
E00008143,29.9,70.1
E00008144,49,51
E00008145,34.1,65.9
E00008146,29.3,70.7
E00008191,44.5,55.5
E00008192,31.9,68.1
