areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00090859,99.4,0.6,0
E00090860,98.8,1.2,0
E00090865,100,0,0
E00090885,99.2,0.8,0
E00090887,92.6,7.4,0
E00090889,90.5,9,0.5
E00090890,99.3,0.7,0
E00090891,96,4,0
E00090895,99.4,0.6,0
E00090896,100,0,0
E00090897,97.3,2.7,0
E00090898,89.3,10.7,0
E00090911,100,0,0
E00090912,96.9,3.1,0
E00090913,93.8,6.2,0
E00090914,98.5,0.7,0.7
E00090915,100,0,0
E00090916,100,0,0
E00090917,96.4,3.6,0
E00091901,97.3,2.7,0
E00091902,99.3,0.7,0
E00091903,97.1,2.2,0.7
E00091904,98.5,1.5,0
E00091905,99.2,0.8,0
E00091906,99.4,0.6,0
E00091907,98.8,1.2,0
E00108584,99,1,0
E00108741,97.3,2.7,0
E00108742,97.8,1.1,1.1
E00152265,100,0,0
E00152266,98.4,1,0.5
E00152283,86.3,13.7,0
E00152284,91.8,8.2,0
E00152285,96.3,3.7,0
E00152286,97.6,2.4,0
E00152287,95.2,4.8,0
E00152288,99.3,0.7,0
E00152289,95.2,4.8,0
E00152290,84.2,15,0.8
E00152291,95.5,4.5,0
E00152292,97.7,2.3,0
E00152293,96.2,3.8,0
E00152294,98.1,1.9,0
E00152496,42.3,57.7,0
E00152497,78.6,21.4,0
E00152498,66.7,33.3,0
E00152499,65.1,34.9,0
E00152500,74.1,25.9,0
E00152502,91.5,8.5,0
E00152503,84.4,15.6,0
E00152504,73.6,26.4,0
E00152506,80,20,0
E00152507,52.9,47.1,0
E00152508,98.2,1.8,0
E00152569,74.1,25.9,0
E00152570,98.6,1.4,0
E00152571,100,0,0
E00152572,100,0,0
E00152573,96.6,3.4,0
E00152574,84.4,15.6,0
E00152590,97.1,1.1,1.7
E00152591,97.5,2.5,0
E00152592,94.4,5.6,0
E00152636,48.1,51.1,0.7
E00152637,93.8,6.3,0
E00152638,91,9,0
E00152639,24.3,75.7,0
E00152640,78.3,21.7,0
E00152641,85.4,14.6,0
E00152642,72,28,0
E00152643,62.8,37.2,0
E00152644,74,26,0
E00152645,96.1,3.9,0
E00152646,89.6,10.4,0
E00152647,88,12,0
E00152648,91.4,8.6,0
E00152649,93.6,6.4,0
E00152650,69.3,30.7,0
E00152651,99.3,0.7,0
E00152652,42.2,57.8,0
E00152653,78.7,21.3,0
E00152654,1.2,98.8,0
E00152655,79,21,0
E00152656,99.5,0.5,0
E00152657,99.4,0.6,0
E00152658,96.7,3.3,0
E00152659,99,1,0
E00152660,97,3,0
E00152661,75,25,0
E00152662,80.2,19.8,0
E00152663,95.3,4.7,0
E00152664,100,0,0
E00152665,60.1,39.9,0
E00152666,89.8,10.2,0
E00152667,52.1,47.9,0
E00152668,42.3,57.7,0
E00152669,55.7,44.3,0
E00152670,92.6,7.4,0
E00152672,30.4,69.6,0
E00152673,46.4,53.1,0.6
E00152674,98.3,1.7,0
E00152675,98.5,0.7,0.7
E00152676,83.8,16.2,0
E00152677,94,5,1
E00152679,100,0,0
E00152680,99.1,0.9,0
E00152681,99.1,0.9,0
E00153385,77,23,0
E00153418,86.1,13.9,0
E00153419,99.4,0.6,0
E00153420,98.5,1.5,0
E00153421,96.3,3.7,0
E00153422,100,0,0
E00153423,97.1,1.5,1.5
E00153424,97.4,1.8,0.9
E00153425,98.8,1.3,0
E00153426,97.1,1.4,1.4
E00153427,91.7,8.3,0
E00153428,98.5,0,1.5
E00153429,98.5,1.5,0
E00153430,97.6,2.4,0
E00153431,100,0,0
E00153432,96.5,3.5,0
E00153433,98.9,0,1.1
E00153434,100,0,0
E00153435,98.6,1.4,0
E00153436,91.4,8.6,0
E00153437,98.4,1.6,0
E00153438,99.2,0.8,0
E00153439,100,0,0
E00153441,90.6,7.5,1.9
E00153442,99.5,0.5,0
E00153443,100,0,0
E00153444,84.1,15.9,0
E00153445,72.2,27.8,0
E00153446,100,0,0
E00153447,95,5,0
E00153448,97.5,2.5,0
E00153449,99.2,0.8,0
E00153473,68.6,31.4,0
E00153474,89.9,10.1,0
E00153475,98.5,1.5,0
E00153476,84.6,15.4,0
E00153477,99.2,0.8,0
E00153478,70.3,29.7,0
E00153479,61.5,38.5,0
E00153480,100,0,0
E00153481,100,0,0
E00153483,89.5,10.5,0
E00153484,100,0,0
E00153485,62.4,37.6,0
E00153487,99.2,0.8,0
E00153488,76.8,23.2,0
E00153489,97.8,2.2,0
E00153490,46,54,0
E00153491,89.2,10.8,0
E00153492,96.5,3.5,0
E00153493,100,0,0
E00153494,98.6,1.4,0
E00153496,93.7,6.3,0
E00153497,99.2,0.8,0
E00153498,97.9,2.1,0
E00153499,99.2,0.8,0
E00153500,98.4,1.6,0
E00153501,48.5,51,0.5
E00153502,99.3,0.7,0
E00153503,100,0,0
E00153504,80.5,19.5,0
E00153506,94.5,5.5,0
E00153507,78,22,0
E00153508,96.9,3.1,0
E00153509,100,0,0
E00153510,29,71,0
E00153511,82.2,17.8,0
E00153512,84.7,15.3,0
E00153513,99.1,0.9,0
E00153514,100,0,0
E00153516,78.1,21.9,0
E00153517,81.3,18.7,0
E00153518,95.3,4.7,0
E00153519,90.4,9.6,0
E00153520,88.6,11.4,0
E00153521,93.9,6.1,0
E00153522,95.3,4.7,0
E00153523,96.4,3.6,0
E00153524,99.2,0.8,0
E00153525,50.6,49.4,0
E00153526,100,0,0
E00153527,91.4,8.6,0
E00153528,71,28.4,0.6
E00153529,97,3,0
E00153530,92.9,7.1,0
E00153531,99.3,0.7,0
E00153532,100,0,0
E00153533,100,0,0
E00153534,99.2,0.8,0
E00153535,99,1,0
E00153536,100,0,0
E00153537,99.2,0.8,0
E00153538,95.2,4.8,0
E00153539,95.8,4.2,0
E00153540,88,12,0
E00153542,88.7,11.3,0
E00153543,99.2,0.8,0
E00153544,99.2,0.8,0
E00153548,89.7,10.3,0
E00153549,98.7,1.3,0
E00153550,96.3,3.7,0
E00153553,97.1,2.9,0
E00153554,100,0,0
E00153556,99.2,0.8,0
E00153557,98.3,1.7,0
E00153558,97.3,2.7,0
E00153559,95.3,3.1,1.6
E00153560,98.3,1.7,0
E00153568,96.4,3.6,0
E00153569,98.2,1.8,0
E00153570,93.1,6.9,0
E00153571,100,0,0
E00153572,99.2,0.8,0
E00153573,99.2,0.8,0
E00153574,100,0,0
E00153575,91.1,8.9,0
E00153576,99.1,0.9,0
E00153577,100,0,0
E00153578,97.6,2.4,0
E00153579,69.5,30.5,0
E00153580,81.7,18.3,0
E00153581,73.9,26.1,0
E00153582,99.1,0.9,0
E00153583,94.3,5.7,0
E00153584,99.2,0.8,0
E00153585,71.1,28.9,0
E00153586,98.3,1.7,0
E00153587,99.2,0.8,0
E00153588,100,0,0
E00153589,99.3,0.7,0
E00153590,100,0,0
E00153610,70.7,29.3,0
E00153613,75.4,24.6,0
E00153614,34.1,65.9,0
E00153630,97.2,2.3,0.6
E00153631,97.5,2.5,0
E00153633,95.9,3.4,0.7
E00153637,59.2,40.8,0
E00153638,63.2,36.8,0
E00153639,71.2,28.8,0
E00153656,86.9,13.1,0
E00153657,74.8,25.2,0
E00153658,60.7,39.3,0
E00153659,99.2,0.8,0
E00153660,98.4,1.6,0
E00153661,100,0,0
E00153662,91.4,8.6,0
E00153663,82.1,17.9,0
E00153664,95.8,4.2,0
E00153665,100,0,0
E00153666,74.2,25.8,0
E00153667,97.7,2.3,0
E00153668,41,59,0
E00153669,98.3,1.7,0
E00153670,67.8,32.2,0
E00153694,100,0,0
E00153696,100,0,0
E00153697,100,0,0
E00153698,100,0,0
E00153699,88.6,11.4,0
E00153700,99.2,0.8,0
E00153701,85.7,14.3,0
E00153702,85.5,14.5,0
E00153704,100,0,0
E00153705,100,0,0
E00153706,100,0,0
E00153707,98.3,1.7,0
E00153708,100,0,0
E00153709,100,0,0
E00153710,99.3,0.7,0
E00153711,99,1,0
E00153712,99.3,0.7,0
E00153713,99.2,0.8,0
E00153714,100,0,0
E00153715,97.9,2.1,0
E00153716,98.4,0.8,0.8
E00153717,98.9,0.6,0.6
E00153718,100,0,0
E00153719,100,0,0
E00153720,99,1,0
E00153721,92.5,6.9,0.6
E00165838,93.9,6.1,0
E00165839,83.5,16.5,0
E00169930,92.6,7.4,0
E00169931,98.4,1.6,0
E00169932,82.9,17.1,0
E00169933,67.5,32.5,0
E00169934,98,2,0
E00169935,93.5,6.5,0
E00169936,92.3,7.7,0
E00169947,95.5,3,1.5
E00169948,97.8,2.2,0
E00169949,67.1,32.9,0
E00169950,94.3,5.7,0
E00169951,84.4,15.6,0
E00169952,81.5,18.5,0
E00169953,98,2,0
E00169954,89,11,0
E00173718,96.7,3.3,0
E00173719,96.9,3.1,0
E00173922,51,49,0
E00173923,83.2,16.8,0
E00173924,56.7,43.3,0
E00183331,97.3,1.8,0.9
E00183334,62.7,37.3,0
E00183335,82.6,17.4,0
E00183337,48,52,0
E00183349,13.9,86.1,0
E00183373,84.8,15.2,0
E00183386,98.2,1.8,0
E00183396,96.2,3.8,0
E00183402,99.3,0,0.7
E00183407,97.7,2.3,0
E00183419,72.8,27.2,0
