geography_code,disability_3a-001,disability_3a-002
E00006185,15,85
E00006186,14.9,85.1
E00006187,9.1,90.9
E00006188,8,92
E00006219,10.4,89.6
E00006224,6.7,93.3
E00006225,15.5,84.5
E00006820,7.4,92.6
E00006822,13.5,86.5
E00006823,8.9,91.1
E00006824,9,91
E00006827,9.6,90.4
E00006828,8.2,91.8
E00006829,3.5,96.5
E00006830,16.1,83.9
E00006831,7.5,92.5
E00006833,9.2,90.8
E00006834,11.2,88.8
E00006835,6.1,93.9
E00006836,8.2,91.8
E00006838,8.2,91.8
E00006839,7.5,92.5
E00006840,9.2,90.8
E00006841,7.4,92.6
E00006842,11.6,88.4
E00006843,6.8,93.2
E00006846,9.6,90.4
E00006851,12.5,87.5
E00006852,9.4,90.6
E00006853,7.3,92.7
E00006861,9.5,90.5
E00006862,8.1,91.9
E00006863,7.4,92.6
E00006864,10.4,89.6
E00006866,7.5,92.5
E00009227,19.8,80.2
E00009230,7.4,92.6
E00009233,5.5,94.5
E00009235,11.6,88.4
E00009236,9.9,90.1
E00009238,13.2,86.8
E00009240,8.7,91.3
E00009242,15.1,84.9
E00009247,10.9,89.1
E00009248,11.5,88.5
E00009253,11.1,88.9
E00009254,14.6,85.4
E00009255,18.5,81.5
E00009257,13.3,86.7
E00009262,25.8,74.2
E00009264,20,80
E00009265,8.8,91.2
E00009266,7.1,92.9
E00009267,7.5,92.5
E00009269,12.2,87.8
E00009271,18.1,81.9
E00009272,7.8,92.2
E00009273,13.6,86.4
E00009274,15.8,84.2
E00009275,10.5,89.5
E00009276,10.4,89.6
E00009277,14.9,85.1
E00009278,15.3,84.7
E00009279,21.6,78.4
E00009280,9.2,90.8
E00009281,14.5,85.5
E00009282,12.6,87.4
E00009283,7.5,92.5
E00009284,22.9,77.1
E00009285,9.8,90.2
E00009286,13.6,86.4
E00009287,17.3,82.7
E00009288,21.6,78.4
E00009289,15,85
E00009291,8.1,91.9
E00009292,5.6,94.4
E00009293,18.3,81.7
E00009294,13.8,86.2
E00009295,12.9,87.1
E00009296,16,84
E00009297,14.1,85.9
E00009298,28.4,71.6
E00009299,9.7,90.3
E00009300,10,90
E00009301,10.8,89.2
E00009302,4.3,95.7
E00009303,11.2,88.8
E00009304,14.6,85.4
E00009305,7,93
E00009306,11.6,88.4
E00009307,14.6,85.4
E00009308,17.3,82.7
E00009309,13.4,86.6
E00009310,12.6,87.4
E00009311,8,92
E00009312,17.7,82.3
E00009313,15.6,84.4
E00009314,15.3,84.7
E00009334,8.5,91.5
E00009341,13.6,86.4
E00009424,14.6,85.4
E00009429,10.3,89.7
E00009430,8.3,91.7
E00009432,11,89
E00009439,7.7,92.3
E00009445,11.9,88.1
E00009449,8.1,91.9
E00009452,8.5,91.5
E00009455,9.3,90.7
E00009457,11.3,88.7
E00009459,14.9,85.1
E00009460,11.8,88.2
E00009462,14.8,85.2
E00009463,9.4,90.6
E00009464,18.6,81.4
E00009465,15,85
E00009466,14.2,85.8
E00009467,7.9,92.1
E00009468,8.7,91.3
E00009469,30.6,69.4
E00009470,12.5,87.5
E00009471,9.5,90.5
E00009472,12.2,87.8
E00009473,19.5,80.5
E00009474,5.1,94.9
E00009475,13.8,86.2
E00009476,8.8,91.2
E00009477,13.4,86.6
E00009478,15.1,84.9
E00009479,11.3,88.7
E00009480,11.1,88.9
E00009481,11.8,88.2
E00009482,12.8,87.2
E00009483,9,91
E00009484,12,88
E00009485,10.2,89.8
E00009486,14.8,85.2
E00009487,12.8,87.2
E00009488,14.6,85.4
E00009490,12.2,87.8
E00009491,20.5,79.5
E00009492,23,77
E00009493,22,78
E00009494,18.6,81.4
E00009495,24.9,75.1
E00009496,15.6,84.4
E00009497,17.7,82.3
E00009498,26.3,73.7
E00009499,30,70
E00009500,15.3,84.7
E00009501,13.9,86.1
E00009586,6.7,93.3
E00009644,9.5,90.5
E00009645,8,92
E00009646,13.3,86.7
E00009647,8.6,91.4
E00009648,10.8,89.2
E00009649,7.5,92.5
E00009651,17.6,82.4
E00009652,7.1,92.9
E00009653,10.8,89.2
E00009654,22.1,77.9
E00009655,14.5,85.5
E00009656,10.2,89.8
E00009657,9.8,90.2
E00009659,16.3,83.7
E00009660,6.5,93.5
E00009661,14.7,85.3
E00009662,11.1,88.9
E00009663,7.5,92.5
E00009664,58.7,41.3
E00009665,5.5,94.5
E00009666,11.3,88.7
E00009667,12.1,87.9
E00009668,12.7,87.3
E00009669,12.6,87.4
E00009670,15.9,84.1
E00009671,8.8,91.2
E00009672,11.1,88.9
E00009673,13.4,86.6
E00009674,14.2,85.8
E00009675,12.1,87.9
E00009676,10.7,89.3
E00009677,9.8,90.2
E00009678,10,90
E00009679,9.4,90.6
E00009680,11.2,88.8
E00009681,37.3,62.7
E00009718,8.2,91.8
E00009720,13,87
E00009721,17.1,82.9
E00009722,11.2,88.8
E00009723,12.5,87.5
E00009724,11.8,88.2
E00009725,14.5,85.5
E00009726,21.3,78.7
E00009727,12.5,87.5
E00009728,16.9,83.1
E00009732,20.6,79.4
E00009733,12.2,87.8
E00009735,13.1,86.9
E00009736,15.7,84.3
E00009737,12.9,87.1
E00009741,10.7,89.3
E00009742,10.7,89.3
E00009743,9.7,90.3
E00009744,15.8,84.2
E00009745,15,85
E00009747,12.8,87.2
E00009748,6.7,93.3
E00009749,12.7,87.3
E00009750,8.4,91.6
E00009751,18.1,81.9
E00009752,10.5,89.5
E00009753,15.3,84.7
E00009754,19.2,80.8
E00009755,12.2,87.8
E00009756,10.9,89.1
E00009795,20.1,79.9
E00009814,9.3,90.7
E00009818,12.1,87.9
E00009820,7.8,92.2
E00009821,15.7,84.3
E00009822,18.2,81.8
E00009823,9.7,90.3
E00009824,13.3,86.7
E00009825,12.1,87.9
E00012783,5.3,94.7
E00012784,8.5,91.5
E00012785,12.9,87.1
E00012786,13.4,86.6
E00012787,11.7,88.3
E00012788,16.8,83.2
E00012789,9.8,90.2
E00012790,7.8,92.2
E00012791,12.2,87.8
E00012792,15.4,84.6
E00012797,8.4,91.6
E00012798,10.7,89.3
E00012799,13.3,86.7
E00012800,6.1,93.9
E00012801,10.3,89.7
E00012802,10.1,89.9
E00012803,6.5,93.5
E00012804,7.5,92.5
E00012805,10.2,89.8
E00012806,7.8,92.2
E00012807,9.9,90.1
E00012808,13.4,86.6
E00012809,8.9,91.1
E00012810,10.8,89.2
E00012811,12.6,87.4
E00012812,6.5,93.5
E00012813,13.7,86.3
E00012814,7.1,92.9
E00012815,8.7,91.3
E00012816,8.2,91.8
E00012817,11.4,88.6
E00012818,14.4,85.6
E00012823,8.6,91.4
E00013348,25,75
E00013349,12.4,87.6
E00013352,9.7,90.3
E00013353,7.9,92.1
E00013354,12.6,87.4
E00013359,19.5,80.5
E00013366,11.8,88.2
E00013367,19,81
E00013368,6,94
E00013369,17,83
E00013370,8,92
E00013372,9.8,90.2
E00013373,22.1,77.9
E00013380,10.7,89.3
E00013381,27.5,72.5
E00019077,13.6,86.4
E00019078,8.1,91.9
E00019079,10,90
E00019080,23.1,76.9
E00019081,12,88
E00019082,17.7,82.3
E00019083,9.9,90.1
E00019084,8.3,91.7
E00019085,19.6,80.4
E00019086,15.2,84.8
E00019087,6.8,93.2
E00019088,18.8,81.3
E00019089,10.9,89.1
E00019090,17.9,82.1
E00019091,8.5,91.5
E00019108,8.9,91.1
E00019109,8.1,91.9
E00165798,14.6,85.4
E00166852,9.4,90.6
E00166853,21.7,78.3
E00166855,8.4,91.6
E00166866,6.2,93.8
E00167281,11.1,88.9
E00167282,12,88
E00167285,6.4,93.6
E00167286,9.1,90.9
E00167287,8.4,91.6
E00167288,9.1,90.9
E00167289,10.8,89.2
E00167290,11.8,88.2
E00167296,25.2,74.8
E00179085,12.5,87.5
E00179153,8.7,91.3
E00179223,5.2,94.8
E00179230,7.2,92.8
E00179238,13.6,86.4
E00179257,9,91
E00183094,10,90
E00183113,4.2,95.8
E00183125,18.2,81.8
E00183126,10.8,89.2
E00183135,15.8,84.2
E00183139,2.1,97.9
E00183143,2.6,97.4
E00183148,12.9,87.1
E00183158,18.4,81.6
E00183180,11.5,88.5
E00183220,2.6,97.4
E00183221,13.4,86.6
