areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00006949,71.8,23.6,3,1.1,0.5
E00006950,78.9,17.2,1.5,2.1,0.3
E00006951,72.4,20.3,3.4,1.4,2.4
E00006952,73.3,22.3,2.7,0.7,1
E00006953,76.4,18.8,2.3,1.1,1.4
E00006954,84,12.7,1.2,1.5,0.6
E00006955,76.2,21.1,2.5,0.3,0
E00006956,77.5,15.7,3.6,2.4,0.9
E00006957,74.4,20.7,2.7,2.1,0
E00006958,70.8,25.6,2,0,1.7
E00006959,82.5,17.5,0,0,0
E00006960,73.9,22.4,1.4,1,1.4
E00006961,66.7,26,4.1,1.9,1.4
E00006962,78.2,18.5,1.3,0,2
E00006963,54,19.6,10.1,14.6,1.7
E00006965,72.7,23.9,2.1,0.9,0.3
E00006966,65.7,30.1,1.6,0.6,1.9
E00006967,66.3,25.8,1.7,5.6,0.6
E00006969,63.4,30.8,4.3,1.4,0
E00006970,71.6,23.1,3,1.8,0.6
E00006971,56.2,31,7.5,2.6,2.6
E00006972,62.5,29.6,3.8,2.5,1.6
E00006973,58.9,28.9,5.9,4.1,2.2
E00006974,61.4,28.5,6,2.1,2.1
E00006975,69.6,27.8,0.6,1.2,0.9
E00006976,61.4,32.6,3.4,0.8,1.8
E00006977,56.8,35.9,3.8,3,0.5
E00006978,64.2,22.6,5.4,5.7,2
E00006979,76.2,16.5,1.2,2.7,3.5
E00006980,70.6,19.4,5.2,4.5,0.3
E00006981,79.1,13.5,3.1,2.8,1.5
E00006982,70.8,17.4,2.8,2.8,6
E00006983,80.8,12.2,1.8,3.4,1.8
E00006984,69.1,22.5,3.7,4,0.6
E00006985,68.7,16.9,1.5,6.4,6.4
E00006986,58.5,24.9,6.3,7.4,2.9
E00006987,64.1,23.4,4.3,4.9,3.3
E00006988,73.6,21.6,2.9,1.1,0.8
E00006989,60.1,30.4,4.6,2.6,2.3
E00006990,62.3,23.3,7.2,3.1,4
E00006991,86.3,10.5,2.3,0,0.9
E00006992,88.2,9.4,2.1,0.3,0
E00006993,79.6,14.8,3,2,0.7
E00006994,90.4,5.4,0.3,1.8,2.1
E00006995,88.7,9,1.9,0,0.3
E00006996,86,10.2,1.9,0.4,1.5
E00006997,66.9,29.5,2.5,0.6,0.6
E00006998,88.8,8.1,3.1,0,0
E00006999,68.2,27,3.1,1.1,0.6
E00007000,83.3,11,3.9,1.8,0
E00007001,65.2,29.5,3.2,1.5,0.6
E00007002,57.7,31.9,5.4,0.9,4.1
E00007004,81.6,13.1,0.6,2.8,1.9
E00007005,86.5,11.1,0.3,0,2.1
E00007007,82.9,11.8,1.2,3.4,0.6
E00007009,67.6,21.8,5.5,3.6,1.5
E00007010,72.6,22.8,1.3,3.3,0
E00007011,66.7,25,4.9,2.9,0.5
E00007012,70.8,26.1,2,0.6,0.6
E00007015,88.8,8.6,1.9,0.4,0.4
E00007016,65.7,24.3,4.8,3.3,1.9
E00007019,80.5,13.8,3.9,0.9,0.9
E00007020,85.7,11.6,2.1,0.6,0
E00007021,68.4,24.4,5.3,0.9,0.9
E00007022,86.1,10.8,0.3,2,0.9
E00007023,82.1,11.1,3.4,1.9,1.4
E00007024,81.3,15.1,1.5,1.1,1.1
E00007025,68.1,18.5,7.7,1.2,4.4
E00007027,71.6,21.7,4.2,1.6,1
E00007028,59,29,3.4,4.8,3.8
E00007075,54.9,33.5,6.3,2.6,2.6
E00007076,49.4,35.2,6.2,5.3,3.9
E00007092,50.2,43.8,2.6,2.6,0.9
E00007093,41.6,41.6,13.3,3,0.6
E00007094,52.2,33.9,4.3,4.6,5.1
E00007096,61,33.5,3.2,1.6,0.8
E00007098,27.6,64,1.9,3.1,3.4
E00007099,53.1,32.1,10.1,2.8,1.9
E00007100,48.2,39.4,8.1,3,1.3
E00007101,52.1,34,6.9,3.3,3.6
E00007102,54.7,30,5.1,4.5,5.7
E00007103,61.5,29.2,3.8,4.2,1.4
E00007105,37.2,32.3,14.9,8.2,7.3
E00007106,47.3,37.6,7.4,4.3,3.4
E00007107,52.9,34.7,5.7,3.7,3
E00007108,58.4,31.8,4.4,1.4,4
E00007109,45.4,35.8,8.1,5.9,4.8
E00007110,61.2,29.1,4,3,2.7
E00007111,52.2,30.7,5.5,2.3,9.3
E00007112,51.1,34.8,9.4,2.6,2.1
E00007113,47.1,29,7.5,7.8,8.6
E00007114,49.2,33.3,8.4,4.8,4.3
E00007115,44.7,34.3,6.8,8.2,6
E00007116,49.6,41.3,3.9,2.2,3
E00007117,55.9,32.6,6.3,3.2,2
E00007119,55.1,37.8,3.2,2.1,1.8
E00007120,51.6,33.3,6.4,5.2,3.5
E00007122,50.5,32.1,9.4,5.8,2.2
E00007124,60.4,30.3,5,2.9,1.4
E00007125,57.7,32.3,5,3.3,1.7
E00007126,57.3,33.5,3.7,3.9,1.6
E00007127,53.8,33.8,4.9,5.9,1.7
E00007128,60.5,28.3,6.3,4.4,0.5
E00007129,60.3,33.9,4.5,0.7,0.7
E00007130,57.5,38.1,2.5,0.7,1.2
E00007131,66.9,23,5.8,1.7,2.6
E00007132,55.4,26.9,10.8,3.6,3.3
E00007133,61.2,27.7,4.6,4.6,2
E00007134,58.8,29.8,7.4,1.8,2.3
E00007135,47.4,32.4,10.5,6.9,2.8
E00007136,53.3,30.8,5.9,5.3,4.7
E00007137,54.9,32.1,5.4,6,1.6
E00007138,62.1,31.6,1.1,2,3.2
E00007139,51.4,25.8,11.4,4.8,6.6
E00007140,51.3,37.5,6.8,2.3,2.3
E00007141,58.5,33.2,5.1,2.8,0.3
E00007142,62.1,29.5,2.7,3,2.7
E00007143,59.6,32.1,4.9,2.1,1.3
E00007144,54.9,28.2,10.4,3.6,2.8
E00007146,60.8,30,6.1,2.7,0.4
E00007147,57.5,36.3,2.5,2,1.7
E00007148,58.5,34.8,3,1.2,2.4
E00007149,62.8,30.3,3.4,2.1,1.3
E00007150,55,33.5,5.8,2.1,3.7
E00007151,62.1,25.4,7,5.1,0.4
E00007152,57.6,26.1,3.9,5.9,6.4
E00007153,59,31.5,6.6,1.7,1.2
E00007154,62.8,26.6,7.5,0.9,2.2
E00007155,66,23.4,4.9,4.9,0.7
E00007156,67.9,23.6,3.2,2.9,2.4
E00007157,57.5,29.2,8.7,2.4,2.2
E00007158,62.4,34.3,1.5,1,0.8
E00007159,53.3,32.4,5.4,4.8,4.1
E00007160,63,30.1,3.9,0.8,2.2
E00007161,64.5,25.7,5.5,2.8,1.5
E00007162,64.2,30.1,2.8,1.4,1.4
E00007163,60.9,30.6,4.9,1,2.7
E00007164,61.4,29.5,3.8,3.8,1.6
E00007165,61.5,26.5,5,3.1,4
E00007166,56.2,27.1,8.8,2.5,5.4
E00007167,63.9,28.5,4.5,2.4,0.6
E00007168,60.1,22.8,7.1,6.8,3.3
E00007170,56.4,30.9,7,3.6,2.2
E00007171,52.9,37.1,5.7,3.2,1.1
E00007172,56.2,28.5,11.2,2.3,1.8
E00007173,57.4,31.4,5.2,2.8,3.2
E00007174,63.4,29.8,4.7,1.3,0.8
E00007175,58.3,34.7,3.8,1.7,1.4
E00007176,55,29.5,8.6,3.1,3.8
E00007177,68.7,23,4.9,2.8,0.6
E00007179,61.2,25.1,7.8,3.4,2.4
E00007180,63.6,29.6,3.1,1.9,1.9
E00007181,64.2,27.6,4.2,1.4,2.6
E00007182,59,28.3,5.9,4.9,2
E00007183,58.6,27.6,8.6,4.6,0.5
E00007184,64.1,26.8,5.2,1.8,2.1
E00007185,71.4,20.4,2.5,4.1,1.6
E00007186,62.5,30.6,2.2,3.3,1.4
E00007187,59.6,27.6,5.5,5.9,1.4
E00007188,64,20.2,7.9,4.8,3.1
E00007189,52.4,25.6,12.1,8.2,1.7
E00007191,61.4,27.4,8.1,0.8,2.2
E00007204,64.2,31.8,3.1,0.9,0
E00007207,58.7,33,3.7,3.5,1.2
E00007209,71.2,23.6,0.6,4.6,0
E00007218,62.3,24.2,5.8,6.2,1.5
E00007220,60.9,25.7,8,3.7,1.8
E00007221,76.9,16.1,4.1,1.6,1.4
E00007222,73.3,21.2,2.8,2.8,0
E00007223,57.7,27,2.9,5.1,7.3
E00007226,67.8,16.4,8.4,5.5,1.9
E00007227,69.4,22.3,3.5,1.9,2.9
E00007232,69.2,21.1,2.5,5.1,2.1
E00007233,72.2,19.9,4,1.8,2.2
E00007235,77.3,20.1,2,0.6,0
E00007239,66.7,19.1,8,4.9,1.3
E00007245,61.8,30.1,2.4,4.8,0.8
E00007246,68.5,23.4,5.4,2,0.7
E00007247,75.8,22.6,1,0.3,0.3
