areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00025621,56.2,3.5,40.3
E00025627,44.4,8.7,46.8
E00025762,50.2,5.7,44.1
E00025763,53.2,9.6,37.2
E00025764,46.5,6.2,47.3
E00025766,50.4,5.5,44.1
E00025767,60.3,5.9,33.9
E00025768,49.7,5.5,44.9
E00025769,29.7,2.3,68
E00025771,44.7,8.4,47
E00025773,51.5,6.9,41.6
E00025774,52.1,9.7,38.2
E00025775,49.3,5.3,45.5
E00025776,52.7,3.9,43.4
E00025777,45.6,8.5,46
E00025778,52.2,4,43.8
E00025779,48.9,7.2,43.9
E00025780,36.4,5.9,57.6
E00025781,54.5,4,41.5
E00025782,45.4,4.6,50
E00025786,53.1,5.9,41
E00025832,55.6,6,38.4
E00025834,61.3,8.7,30
E00025835,46.9,6.1,46.9
E00025836,51.7,6.8,41.5
E00025838,53.4,5,41.6
E00025840,36.5,7.9,55.6
E00025841,52.2,5.8,42
E00025843,45,7.4,47.6
E00025844,38.7,7.7,53.5
E00025845,43.3,4.1,52.6
E00025846,50.4,9.1,40.4
E00025850,62.2,3.1,34.7
E00025851,43.6,6.4,50
E00025852,53.5,5.2,41.3
E00025853,60.4,4.5,35.1
E00025855,50.4,6,43.5
E00025856,58.8,6.9,34.4
E00025858,43.9,4.5,51.6
E00025859,37.2,5.3,57.4
E00026257,53.5,3,43.5
E00026258,29.6,6.9,63.5
E00026259,46,12.2,41.8
E00026260,58.5,3.1,38.5
E00026261,50.4,8.2,41.4
E00026262,47.1,5.8,47.1
E00026263,61.1,1,37.9
E00026264,33.3,8,58.7
E00026265,47.8,6.7,45.5
E00026266,49.4,7.2,43.5
E00026267,59.5,1.5,39
E00026268,52.6,10.3,37.2
E00026269,56.1,9.7,34.2
E00026270,44.9,5.6,49.5
E00026272,53.3,0,46.7
E00026273,62.3,0.8,36.9
E00026274,45.4,5.5,49.1
E00026275,57.2,3.8,39.1
E00026277,56.5,2.7,40.8
E00026278,41.8,4.7,53.4
E00026279,50.6,7.6,41.8
E00026280,57.1,5,37.8
E00026281,53.2,4.5,42.3
E00026282,50.6,6.6,42.8
E00026283,35.6,3.4,60.9
E00026284,51.4,9.9,38.7
E00026285,45.7,8.2,46.1
E00026286,37.4,6.4,56.2
E00026287,44.2,5.2,50.6
E00026288,53.7,5.7,40.7
E00026289,45.8,6.3,47.9
E00026290,52.7,7.6,39.8
E00026291,45,10,45
E00026292,58.8,3.2,38
E00026293,57.7,9.5,32.7
E00026294,47.1,7.9,45
E00026295,59.1,3.7,37.2
E00026296,40.1,6.1,53.8
E00026297,60.7,4.7,34.6
E00026298,64.7,5.1,30.2
E00026299,58.6,4.6,36.7
E00026300,56.3,4.7,39.1
E00026301,52.2,8.1,39.7
E00026302,45,6.9,48.1
E00026304,39.4,4.4,56.2
E00026305,48.5,3.9,47.5
E00026306,46,6.6,47.4
E00026307,56.4,11.5,32.1
E00026308,54.2,14.5,31.3
E00026309,49.6,7.6,42.9
E00026310,53.6,4.3,42.2
E00026312,49.9,4.1,46
E00026313,52.1,4.3,43.6
E00026314,61.8,5.3,32.9
E00026315,51.7,6.1,42.2
E00026316,51.6,4.8,43.6
E00026317,46,6.7,47.2
E00026318,38.6,4.8,56.6
E00026319,61.4,3.9,34.8
E00026320,67.3,6.8,25.9
E00026321,43.7,11.6,44.7
E00026322,42.8,13.1,44.1
E00026323,50.8,8.1,41.1
E00026324,51.9,4.6,43.5
E00026325,46.7,5.4,47.9
E00026326,53.1,10.7,36.2
E00026327,45.1,11.4,43.5
E00026328,45.3,8,46.7
E00026329,53.8,5.1,41
E00026330,45.5,4.3,50.2
E00026331,43.4,6.4,50.2
E00026332,43.4,6.7,49.8
E00026333,51.9,3.7,44.4
E00026335,66.9,5,28.1
E00026336,36.2,7.6,56.3
E00026337,47.5,8.5,44
E00026338,48.3,6.8,44.9
E00026410,62.8,7.1,30
E00026411,59.8,3.4,36.8
E00026413,62.6,4.8,32.6
E00026415,54.1,6.4,39.6
E00026416,64.3,4.2,31.5
E00026418,50.4,2.9,46.7
E00026419,55.8,5.5,38.7
E00026420,44.6,4.1,51.4
E00026423,66.3,5.9,27.8
E00026424,63.6,6.2,30.2
E00026425,64,6.8,29.2
E00026428,69.7,6,24.3
E00026429,62.6,3.6,33.8
E00026430,60.1,4.7,35.3
E00026431,60.1,5.5,34.5
E00026433,44.1,10.4,45.6
E00026434,52.4,4.8,42.9
