geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00069551,2,12,86
E00069552,3.5,19.3,77.2
E00069553,5.5,22.8,71.7
E00069554,4.8,24.8,70.3
E00069556,0,10.3,89.7
E00069557,3.2,41.6,55.2
E00069558,3.7,22.1,74.3
E00069559,2.9,38.1,59
E00069565,3.7,17.1,79.3
E00069566,9.4,20,70.6
E00069567,5.1,20.9,74
E00069633,4.3,21.2,74.5
E00131493,2,24.2,73.9
E00133530,6.7,30.3,63
E00133532,7.7,13.5,78.8
E00133533,1.2,22.6,76.2
E00133536,8,18.4,73.6
E00133537,6.5,16.6,76.9
E00133553,3.6,30.4,66.1
E00133554,5.3,26.5,68.1
E00133558,5.6,18.8,75.7
E00133559,5.4,31,63.6
E00133560,2.7,15.9,81.4
E00133561,5.5,12.8,81.7
E00133562,2.8,14.8,82.4
E00133563,0.9,31.2,67.9
E00133564,3.3,24.2,72.5
E00133565,1.2,47.8,50.9
E00133566,8.5,27.1,64.4
E00133567,5,30.2,64.7
E00133568,4.3,36.7,59
E00133569,5.9,31.4,62.7
E00133570,2.5,46.2,51.3
E00133571,4.8,49.3,45.8
E00133572,4.8,44.3,50.9
E00133573,4.9,54.9,40.1
E00133575,0,53.9,46.1
E00133576,6.2,35.8,58
E00133578,1.5,27.5,71
E00133580,4.2,27.5,68.3
E00133581,5,23.3,71.7
E00133582,0,26.2,73.8
E00133583,3.5,22.8,73.7
E00133584,4.4,20.8,74.8
E00133585,3.1,33.5,63.4
E00133586,0.8,32.3,66.9
E00133587,4.8,27.4,67.7
E00133589,2.7,24.3,73
E00133590,3.2,67.4,29.5
E00133591,2.2,35.3,62.6
E00133592,3.2,25.4,71.4
E00133593,4.9,23,72.1
E00133594,5.3,28.9,65.8
E00133595,7.1,35.3,57.7
E00133596,7.6,14.4,78
E00133597,3.6,30.2,66.3
E00133621,3.1,12.4,84.5
E00133624,4.7,18.8,76.6
E00133626,8.3,13.8,78
E00133627,4.6,34.3,61.1
E00133628,7.9,22.1,70
E00133629,7.7,15.4,76.9
E00133630,4.9,37.7,57.4
E00133631,7.5,15.9,76.6
E00133632,6.3,7.1,86.6
E00133633,7.5,25,67.5
E00133634,4.9,22.3,72.8
E00133635,4,20.4,75.6
E00133652,4.1,28.1,67.8
E00133653,0,17.1,82.9
E00133654,1.7,24.3,73.9
E00133655,3.3,24.2,72.5
E00133656,5.2,25,69.8
