areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00056849,5.9,41.5,52.6
E00056892,6.2,26.5,67.3
E00056897,8.5,35,56.4
E00056993,7,26.4,66.7
E00056994,10.4,26.4,63.2
E00056995,4.6,27.5,67.9
E00056997,5.6,37.1,57.3
E00056998,12.4,43.3,44.3
E00056999,7.4,30.6,62
E00057001,6.1,26.5,67.3
E00057002,8.6,28.6,62.9
E00057003,6.5,28.2,65.3
E00057004,7.7,33,59.3
E00057005,8.5,59.8,31.6
E00057006,4.5,32.4,63.1
E00057007,4.1,30.1,65.9
E00057008,7,20,73
E00057009,10.5,32.7,56.9
E00057010,10.2,26.5,63.3
E00057011,3.8,30.6,65.6
E00057012,5.7,23.3,71
E00057013,7.9,38.6,53.5
E00057014,24.8,31.2,44
E00057015,7.1,46.2,46.7
E00057016,9.1,33.6,57.3
E00057017,17.7,37.1,45.2
E00057018,7,36,57
E00057019,10,37.9,52.1
E00057020,7.4,39.9,52.7
E00057021,10.7,31.1,58.2
E00057022,5.6,32.5,61.9
E00057023,16.8,28.6,54.6
E00057024,4.8,33.1,62.1
E00057025,13.1,32,54.9
E00057026,4.3,20,75.7
E00057027,14.3,36,49.7
E00057028,10.2,31.4,58.4
E00057029,16.1,22.4,61.5
E00057031,6.5,29,64.5
E00057032,7.7,24.6,67.6
E00057034,9.2,48.2,42.7
E00057035,14.4,24,61.6
E00057036,11.7,34.3,54
E00057037,9.1,30.1,60.8
E00057038,1.5,25,73.5
E00057039,2.9,54.3,42.8
E00057040,4.4,23.9,71.7
E00057041,13.3,14.2,72.6
E00057043,3.9,33.3,62.8
E00057044,8.5,32.2,59.3
E00057046,4.2,36.7,59.2
E00057047,16.5,41.7,41.7
E00057124,4.8,35.4,59.9
E00057138,3.4,39.4,57.1
E00057140,6.8,29.1,64.2
E00057141,5,32.9,62.1
E00057169,3,61.6,35.4
E00057177,6.5,49.7,43.8
E00057178,6.7,33.3,60
E00057254,7.2,38.6,54.2
E00057255,11.4,29.1,59.4
E00057256,8,39.8,52.2
E00057257,7.7,34.6,57.7
E00057258,5.4,40.2,54.5
E00057259,11.1,15.3,73.6
E00057261,10.2,44.4,45.4
E00057262,3.1,36.5,60.4
E00057264,22.3,29.8,47.9
E00057265,5.6,31.1,63.4
E00057266,20,22.2,57.8
