areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00134325,8.3,25.8,47.5,18.3
E00134326,11.2,35.2,37.6,16
E00134327,6.7,29.4,46.2,17.6
E00134328,9.1,30.3,35.8,24.8
E00134658,20.4,49.1,24.1,6.5
E00134659,22.2,47.2,20.4,10.2
E00134661,2.9,46.4,40.6,10.1
E00134662,13.7,36.6,35.9,13.7
E00134663,14.7,38,31.8,15.5
E00134664,13.8,48.6,27.5,10.1
E00134665,8.9,41.1,36.3,13.7
E00134666,18.8,43,28.1,10.2
E00134668,12.7,45.5,24.6,17.2
E00134669,45.3,41.9,10.3,2.6
E00134670,23.7,47.4,21.5,7.4
E00134671,17.9,42.3,29.3,10.6
E00134672,8.3,50.4,26.3,15
E00134673,36.8,38.1,20,5.2
E00134674,29.5,39.5,23.7,7.4
E00134675,18.7,47.2,25.2,8.9
E00134676,11,48.6,33.5,6.9
E00134677,18.8,48.5,26.7,6.1
E00134678,5.7,43.4,32.1,18.9
E00134679,2.8,31.3,45.1,20.8
E00134680,6.2,40,33.8,20
E00134681,7.5,31.3,38.1,23.1
E00134682,15.2,52.7,21.4,10.7
E00134683,3.9,36.8,34.2,25
E00134730,6.3,36.3,37.5,20
E00134731,6.9,32.8,45,15.3
E00134732,9.7,41.7,28.5,20.1
E00134733,3,23.9,45.5,27.6
E00134734,9.7,25.8,41.3,23.2
E00134735,9.9,48.2,31.2,10.6
E00134736,6,28,49,17
E00134737,3.3,35.6,38.3,22.8
E00134738,4.5,28.8,37.9,28.8
E00134739,6.8,38.8,36.9,17.5
E00134740,9.8,43.8,26.8,19.6
E00134741,4,45.5,36.6,13.9
E00134742,2.7,33.3,42.7,21.3
E00134743,11.2,44.8,26.4,17.6
E00134744,6.5,35,45.5,13
E00134745,17.4,53.2,21.1,8.3
E00134746,5.8,34,39.7,20.5
E00134747,9.8,40.8,34.5,14.9
E00134767,7.1,38.6,40.2,14.1
E00134768,8.2,41.8,35.3,14.7
E00134769,10.2,47.4,30.7,11.7
E00134770,6,26,35,33
E00134771,1,27.3,44.4,27.3
E00134776,4.2,34.4,41.7,19.8
E00134777,7.7,28.6,42.9,20.9
E00134778,0,32.3,40.6,27.1
E00134779,2.2,25.6,42.2,30
E00134780,9.6,40.7,34.8,14.8
E00134781,10.3,35,41.9,12.8
E00134782,4,48,30.9,17.1
E00134785,5.7,33,34.1,27.3
E00134786,5.1,29.4,40.4,25
E00134826,8,29.7,40,22.3
E00134827,1.3,42.1,39.5,17.1
E00134828,1.9,25.3,46.3,26.5
E00134829,4,20.2,43.4,32.3
E00134830,7.6,31.1,42.4,18.9
E00134831,6.2,33.1,41.4,19.3
E00134832,3.7,34.3,41,20.9
E00134833,4.1,26.2,37.9,31.7
E00134834,20.6,63.4,13.7,2.3
E00134835,9.4,37.7,31.1,21.7
E00134836,3.6,32.1,32.1,32.1
E00134837,5.7,29.3,46.5,18.5
E00134838,3.5,28.9,45.1,22.5
E00134839,6.3,37.6,42.9,13.2
E00134840,2.6,44.8,33.6,19
E00134841,3.5,41.2,43.4,11.8
E00134842,4.8,43.7,33.3,18.3
E00134844,5.8,31.2,46.4,16.7
E00134845,8.7,47.1,35.6,8.7
E00134846,7.1,46,33.6,13.3
E00134847,6.7,27.5,45.8,20
E00134848,6.6,37.7,34.9,20.8
E00134893,11.7,55.5,26.3,6.6
E00134894,13.6,39.2,35.2,12
E00134895,18.9,40.9,22.8,17.3
E00134896,3.1,38,44.3,14.6
E00134897,3,20.7,38.5,37.8
E00134898,16.1,56.2,16.1,11.7
E00134899,6.4,35.5,38.2,20
E00134900,6.9,47.7,28.5,16.9
E00134901,19.1,39.1,28.7,13
E00135058,16.4,37.3,31.3,14.9
E00135059,19.2,43.4,26.3,11.1
E00135061,7.2,32.4,45,15.3
E00135062,11.6,41.3,32.2,14.9
E00135063,12.7,36.5,37.3,13.5
E00135064,16.6,39.2,29.8,14.4
E00135871,16.6,45.5,24.8,13.1
E00135872,4.9,46.9,35,13.3
E00135873,6,37.5,33.9,22.6
E00135876,8.2,39.8,34.5,17.5
E00135877,23.3,44.2,23.3,9.3
E00135882,4.2,35.4,32.8,27.6
E00135883,8.3,33.3,36.7,21.7
E00135884,5.8,31.4,37.2,25.6
E00135887,8.7,44.6,39.1,7.6
E00135889,9.2,43.1,38.5,9.2
E00135890,9.2,41.7,29.2,20
E00135891,1.2,34.5,39.3,25
E00135892,5.7,39.2,37.3,17.7
E00135893,9.6,41.1,31.5,17.8
