areacd,heating_type_3a-001,heating_type_3a-002
W00002268,0.6,99.4
W00002269,0,100
W00002270,1.3,98.7
W00002271,0,100
W00002272,3.8,96.2
W00002327,0.8,99.2
W00002328,0,100
W00002329,0,100
W00002330,0,100
W00002331,7.6,92.4
W00002332,0.9,99.1
W00002333,4.1,95.9
W00002649,0.7,99.3
W00002650,0,100
W00002651,0.8,99.2
W00002652,0.8,99.2
W00002653,0,100
W00002654,3.9,96.1
W00002655,0,100
W00002684,0,100
W00002685,0,100
W00002686,0,100
W00002687,0,100
W00002688,0,100
W00002689,0.7,99.3
W00002690,0,100
W00002691,0.9,99.1
W00002695,1.4,98.6
W00002696,0.8,99.2
W00002697,0.7,99.3
W00002698,2.4,97.6
W00002699,0,100
W00002700,2.1,97.9
W00002701,0,100
W00002702,0,100
W00002703,0,100
W00003856,0,100
W00003857,1.5,98.5
W00003859,1.5,98.5
W00003862,1.7,98.3
W00003864,0,100
W00003865,0,100
W00004724,0,100
W00004725,0,100
W00004726,0,100
W00004728,0,100
W00004729,0,100
W00004730,0.7,99.3
W00004731,0.8,99.2
W00004732,0,100
W00004733,0.8,99.2
W00004735,1.4,98.6
W00004736,0,100
W00004737,2.1,97.9
W00004738,1.5,98.5
W00004739,0,100
W00004740,0,100
W00004741,0,100
W00004742,0,100
W00004743,1.6,98.4
W00004744,0,100
W00004745,0,100
W00004746,0,100
W00004747,0.8,99.2
W00004749,0,100
W00004750,0.8,99.2
W00004759,0,100
W00004760,0.9,99.1
W00004761,0,100
W00004762,0,100
W00004763,0,100
W00004764,2.4,97.6
W00004765,1.7,98.3
W00004766,0,100
W00004767,1.7,98.3
W00004768,0.7,99.3
W00004769,0,100
W00004770,0,100
W00004771,3.4,96.6
W00004772,0,100
W00004773,0.7,99.3
W00004774,1.5,98.5
W00004775,0.8,99.2
W00004776,0,100
W00004777,1.4,98.6
W00004778,0,100
W00004779,1.6,98.4
W00004780,2.4,97.6
W00004781,0,100
W00004782,0.8,99.2
W00004783,0,100
W00004784,0.9,99.1
