areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00057139,90.9,9.1
E00057476,97.2,2.8
E00057477,98.9,1.1
E00057478,97.8,2.2
E00057479,97.4,2.6
E00057480,95.5,4.5
E00057481,97.4,2.6
E00057482,92.5,7.5
E00057483,96.2,3.8
E00057484,95.8,4.2
E00057485,94.1,5.9
E00057486,96.8,3.2
E00057487,98.9,1.1
E00057496,95.1,4.9
E00057497,93.6,6.4
E00057498,91.3,8.7
E00057499,95.1,4.9
E00057500,96.2,3.8
E00057501,92,8
E00057502,96,4
E00057527,93.2,6.8
E00057528,95.7,4.3
E00057529,94.1,5.9
E00057530,95.4,4.6
E00057531,91.9,8.1
E00057532,91.2,8.8
E00057533,97.7,2.3
E00057534,93.1,6.9
E00057535,97.9,2.1
E00057536,97.6,2.4
E00057537,96.3,3.7
E00057538,91.9,8.1
E00057539,95.1,4.9
E00057540,96.3,3.7
E00057541,95,5
E00057542,97.7,2.3
E00057543,91.8,8.2
E00057544,94.6,5.4
E00057545,94.2,5.8
E00057546,91.2,8.8
E00057547,96.5,3.5
E00057548,93,7
E00057549,94.5,5.5
E00057550,92.3,7.7
E00057551,95,5
E00057552,95.2,4.8
E00057553,96.4,3.6
E00057554,94.1,5.9
E00057555,97.7,2.3
E00057556,97.5,2.5
E00057557,95.2,4.8
E00057558,91,9
E00057559,97.3,2.7
E00057560,98,2
E00058539,95.1,4.9
E00058541,80.8,19.2
E00058544,76.6,23.4
E00058545,80.7,19.3
E00058548,75.7,24.3
E00058550,81.5,18.5
E00058551,90.9,9.1
E00058561,76.8,23.2
E00058562,93.1,6.9
E00058571,73.9,26.1
E00058572,73.7,26.3
E00058573,81.3,18.7
E00058575,82.2,17.8
E00058580,80.8,19.2
E00058590,82.9,17.1
E00058591,69.2,30.8
E00058592,76.9,23.1
E00058593,76.2,23.8
E00058597,74.3,25.7
E00058601,93.6,6.4
E00058602,96.6,3.4
E00058603,96.3,3.7
E00058604,95.9,4.1
E00058607,95.5,4.5
E00058608,93,7
E00058609,97.8,2.2
E00058610,94.9,5.1
E00058611,92.7,7.3
E00058612,94.1,5.9
E00058613,95.6,4.4
E00058614,96.1,3.9
E00058616,97.8,2.2
E00058618,99.3,0.7
E00058619,96.1,3.9
E00058620,97.4,2.6
E00058621,96.7,3.3
E00058622,91.2,8.8
E00058624,97.1,2.9
E00058625,97.6,2.4
E00058626,94.8,5.2
E00058635,96,4
E00058643,91.5,8.5
E00058644,97.2,2.8
E00058647,95.8,4.2
E00058648,96.2,3.8
E00058649,95.8,4.2
E00058650,96.9,3.1
E00058651,98.5,1.5
E00058652,95.4,4.6
E00058653,96.6,3.4
E00058654,94.9,5.1
E00058655,93.7,6.3
E00058656,96.6,3.4
E00058657,98.4,1.6
E00058658,95.7,4.3
E00058659,96.1,3.9
E00058660,94.1,5.9
E00058661,96.7,3.3
E00058662,94.7,5.3
E00058663,93.4,6.6
E00058664,95.8,4.2
E00058665,95.2,4.8
E00058666,95.4,4.6
E00058667,95.4,4.6
E00058668,94.6,5.4
E00058669,91.4,8.6
E00058670,91.4,8.6
E00165675,94.3,5.7
E00165676,96.5,3.5
E00165677,94.8,5.2
E00165678,87.3,12.7
E00187036,96.7,3.3
