areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00068660,51.7,29.5,4.4,10.4,4
E00068662,63.2,21.8,10.3,1.3,3.4
E00068663,52.5,27.5,9.1,6.3,4.7
E00068665,70.7,18,6.7,4.3,0.3
E00068666,63.6,21.1,4.7,5.5,5
E00068667,68.2,18.3,4,4.6,4.9
E00068668,75.4,16.8,2.6,4.6,0.6
E00068672,66.8,18.6,4.7,5.9,4
E00068675,68.8,18,5.2,7,1.1
E00068678,69.6,18,4.7,5.9,1.8
E00068680,69.4,19.5,4.7,4.4,2
E00068682,70.2,18.8,4.9,3.6,2.4
E00068684,61.6,25.1,5.9,3.9,3.6
E00068688,66.8,23,5.7,3.7,0.9
E00068689,56.9,26.7,7.9,4.4,4.1
E00068691,66.3,27.7,3.9,1.8,0.4
E00068693,53.4,35.1,6,1.4,4
E00068694,64.4,19.4,9.2,4.9,2.1
E00068695,73.9,15.3,6.6,2.1,2.1
E00068696,72.8,15.1,6.6,3.2,2.4
E00068697,77.9,11.9,5.1,3.2,1.9
E00068699,77.7,11.4,7.3,2.1,1.5
E00068700,70.1,18.4,5.9,3.6,2
E00068739,67.7,25.5,2.4,1.3,3.1
E00068740,63.2,29.2,2.1,3.4,2.1
E00068741,60.4,18.8,11.5,4.5,4.9
E00068743,77,16.4,3.6,1.8,1.1
E00068744,67.9,21,4.2,4,3
E00068745,73.5,18.1,5.3,2.2,0.9
E00068747,67.4,22,3.3,4.7,2.5
E00068748,81.1,18,0,0.9,0
E00068749,76.3,10.4,5.7,5.4,2.3
E00068750,79.6,14.2,4.2,0.4,1.7
E00068751,69.6,21.5,4.7,2.4,1.8
E00068752,77.2,16.5,3.4,1.1,1.9
E00068753,85.4,11.1,2,1.2,0.4
E00068754,73.9,19.3,3.9,1.8,1.1
E00068755,73.1,16,8.5,1.8,0.6
E00068756,84.5,12.3,3.2,0,0
E00068757,79.8,8.9,5.4,2.3,3.5
E00068758,74.5,20.1,2.7,1.7,1
E00068759,78.6,14.7,2.5,2.9,1.3
E00068760,75.7,17.7,3.3,1.1,2.2
E00068761,75.2,19.3,4.2,0.8,0.4
E00068762,68.1,22.6,4.4,1.6,3.3
E00068763,73.6,20.4,3.5,2.2,0.3
E00068764,68,21,5.9,2.7,2.3
E00068765,70.4,23.7,3.3,2.2,0.4
E00068766,63.9,26.6,4.2,4.5,0.7
E00068767,68.3,22.8,5.5,0.3,3.1
E00068768,66.4,27.1,4.4,2.1,0
E00068769,64.3,26.6,5.5,0.3,3.2
E00068770,68.7,22.6,3.1,2.1,3.6
E00068771,64,26.1,5.7,3,1.2
E00068772,60.1,32,3.1,3.7,1.1
E00068773,67.8,22.1,4.5,2.9,2.7
E00068775,66.9,16.6,6.6,7.2,2.8
E00068776,72.4,23.4,2.7,0.8,0.8
E00068777,71.9,23.9,2.2,1.2,0.7
E00068778,74.4,14.1,5.8,4.3,1.4
E00068779,60.1,20.5,13,5.5,0.8
E00068780,57.1,26.3,4.9,8.3,3.4
E00068781,67.8,24.9,4.3,2,0.9
E00068782,69.3,22.5,3.8,2.2,2.2
E00069053,70,19.7,7.8,1.6,0.8
E00069063,74.8,17.3,5,2.2,0.7
E00069064,73.7,14.5,5.9,3.2,2.7
E00069065,70.5,25.1,2.3,1.5,0.6
E00069066,77.3,16.7,3.7,1.5,0.7
E00069067,77.1,13.9,2.2,3.1,3.6
E00069068,74.9,18.9,3.1,2.4,0.7
E00069069,66.6,23.7,5.6,1.9,2.3
E00069071,75.4,15.2,3.7,5.3,0.4
E00069072,53.2,24,11.8,7,3.9
E00069073,63.5,17.6,8.5,5.9,4.5
E00069074,72.2,16.8,2.6,6.8,1.7
E00069075,71.4,15.7,6.8,4.3,1.8
E00069076,53.1,15.3,13.8,8,9.8
E00069077,74.6,12.9,7.1,5.1,0.3
E00069246,73.9,16.7,4.8,3.4,1.2
E00069247,65.3,26,1.2,3.1,4.3
E00069248,75.4,16.4,3.4,4.8,0
E00069249,79.9,14.2,4.5,0,1.5
E00069251,73.5,18.9,3.9,1.7,2
E00069253,69.6,16.5,7,5.2,1.7
E00069277,84.2,11.9,3,0.8,0
E00069278,84.4,9.1,1.8,2.4,2.4
E00069279,76.8,13.1,3.6,2,4.5
E00069280,77.3,14.5,5.7,2.3,0.3
E00069281,77.9,12.8,5.5,2.3,1.5
E00069282,63.2,28.3,2.8,1.2,4.5
E00069283,69,15.6,6.3,5.8,3.3
E00069284,78.7,16.3,3,1,1
E00069285,76.8,16.2,3.1,2.1,1.8
E00069286,82.7,7.4,4.8,1.5,3.7
E00069287,79.6,9.2,9.5,0.8,0.8
E00069288,75.4,16.5,5.1,3,0
E00069289,71.8,14.1,6.7,7.2,0.2
E00069290,70.5,18.8,4.3,3.5,2.9
E00069291,74.6,11,9.1,4.8,0.5
E00069295,77.6,12.8,6.7,1.9,1
E00069296,74.8,11.4,10,3,0.8
E00130025,90.8,8.1,1.2,0,0
E00130026,90.5,7.3,0.3,1.6,0.3
E00130027,92.3,5.9,0,1.4,0.5
E00130029,78,15.9,2,2.5,1.5
E00130030,86,12.5,0,0.9,0.6
E00130032,92.5,6.1,0.9,0.2,0.2
E00130033,93.8,4.9,0.7,0.7,0
E00130034,89.3,8.1,2.2,0.4,0
E00130035,90.2,8.3,0,0.8,0.8
E00130036,90.5,5.7,1.9,1.9,0
E00130037,90.3,9.7,0,0,0
E00130038,89,9.6,0.7,0,0.7
E00130039,95.8,4.2,0,0,0
E00130040,93.7,2.8,1.1,0.4,2.1
E00130056,90.1,7.7,1.1,0.5,0.5
E00130057,85.7,13.3,0.7,0,0.3
E00130059,83.1,13.4,1.2,1.4,0.8
E00130060,92.2,7.2,0.6,0,0
E00130062,88.3,7.4,2,2,0.4
E00130065,86.3,11.4,1.8,0.3,0.3
E00130066,86.8,9.9,0.3,0.9,2
E00130067,91.5,6.3,1.6,0.6,0
E00130068,90.8,4.1,0.7,2,2.4
E00130069,89.4,9.1,0.3,0.3,0.9
E00130070,88.1,9.2,2.7,0,0
E00130256,94.7,3.1,0.8,0.4,1.1
E00130257,96.3,2.8,0,0.6,0.3
E00130258,95.4,2.7,0.8,1.1,0
E00130259,96.4,3.4,0,0,0.2
E00130260,94.6,3.1,0.4,1.9,0
E00130261,93.7,3.4,2.1,0.8,0
E00130262,95.3,1.9,0.9,0.5,1.4
E00130263,95.5,2,1.8,0.2,0.5
E00130264,95,1.6,2.2,0.9,0.3
E00130268,96.6,3.1,0.3,0,0
E00130269,93.4,4.7,0.3,1.6,0
E00130270,92.4,5.1,1.4,0.4,0.7
E00130272,97.5,1.2,0.6,0.6,0
E00130273,96,3.1,0,0.6,0.3
E00130274,92.5,3.2,2.3,1,1
E00130341,95.5,4.5,0,0,0
E00130589,95.2,4.4,0.4,0,0
E00130590,97.4,2.6,0,0,0
E00130592,95.1,4.5,0.4,0,0
E00130593,91.4,6.5,1.8,0.3,0
E00130594,96.5,3.1,0,0.4,0
E00131145,93.8,5,0,1.2,0
E00131147,93.9,6.1,0,0,0
E00131148,94.5,4.3,0.3,0.6,0.3
E00131150,90.9,7.4,0.3,1.5,0
E00131156,95,4.6,0.4,0,0
E00131157,96.5,3.5,0,0,0
E00131158,95.3,4.7,0,0,0
E00131159,90,8.3,1,0.7,0
E00131161,92.2,6.8,0,0.9,0
E00131162,88.3,11,0,0,0.6
E00131163,84.9,11.2,3,0.7,0.3
E00131164,92.2,5.4,2,0,0.3
E00131165,89.8,7,1.5,0.3,1.5
E00165830,81.4,12.9,3.6,0.8,1.4
E00165831,79.5,14,2.4,2,2
E00169469,61.9,22.1,9.7,3.8,2.4
E00169474,46.8,31.6,9.3,8,4.3
E00169537,58.4,32.4,2.9,2.4,3.8
E00169539,56.3,17.9,6.3,6.5,13.1
E00169541,56.3,36.9,3.2,1.5,2.2
E00169542,43.1,17.3,13.4,13.4,12.8
E00169544,55.9,33.7,5.2,3.2,2
E00169548,67.9,17.9,8.6,4.9,0.6
E00169569,55,40.6,0.8,3,0.6
E00170681,93.6,4.3,2.1,0,0
E00170682,95.3,3.8,0.9,0,0
E00173345,89.6,2.7,1.5,3.9,2.3
E00173347,95.3,4,0.7,0,0
E00178479,76.4,18.2,3.7,1.2,0.4
E00178508,51.8,29.6,13.9,2.9,1.8
E00178524,51.9,21.1,14.5,7.7,4.8
E00178539,92.6,6.8,0.7,0,0
E00178544,93.9,4.7,1,0.3,0
E00178550,94,4,0,2,0
E00178577,91.9,4.5,1.3,2.3,0
E00178588,70.1,25.9,2.3,1.7,0
E00178589,67.4,23.7,6.9,1.7,0.3
E00178617,90.6,7.2,0.5,1.2,0.5
E00178629,92.9,5.4,0,0,1.8
E00187372,88.6,9.9,1,0.2,0.2
E00187376,93.4,4.8,1.3,0.4,0
E00187412,83.3,11.1,3,2.2,0.4
E00187440,86.4,10.3,2.8,0,0.6
