areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02000002,54.1,5.9,40
E02000003,59.2,4.9,35.9
E02000004,58.6,4.9,36.6
E02000005,60.9,4.9,34.2
E02000007,57.2,5.2,37.6
E02000008,57.9,5.7,36.4
E02000009,58.1,5.4,36.5
E02000010,59.8,5.5,34.8
E02000011,57.2,5,37.8
E02000012,56.8,4.7,38.5
E02000013,57.5,5,37.5
E02000014,59,5.9,35.2
E02000015,58.3,6.6,35.1
E02000016,60,7.5,32.4
E02000017,58.1,5.3,36.6
E02000018,57,6.3,36.7
E02000019,59.1,5.8,35.1
E02000020,61,5.8,33.3
E02000021,58.2,5.4,36.4
E02000022,61.9,6.8,31.2
E02000023,57.5,6.4,36.2
E02000065,60.2,7,32.9
E02000066,57.1,5.9,37
E02000067,62.8,5,32.3
E02000068,59.8,5.5,34.7
E02000069,61,3.7,35.3
E02000070,59,3.1,37.8
E02000071,60.2,4.4,35.4
E02000072,61.5,5.5,33
E02000073,61.4,3.3,35.3
E02000074,59.1,5,35.9
E02000075,56.9,2.7,40.4
E02000077,59.8,3.8,36.4
E02000078,61.6,2.9,35.4
E02000079,60.6,3.3,36.1
E02000080,61.2,3.4,35.4
E02000081,58.1,2.9,38.9
E02000082,65.1,2.9,32
E02000083,63.4,3.9,32.7
E02000084,61.6,2.9,35.5
E02000085,63.1,2.8,34.1
E02000086,61.8,2.2,36
E02000087,59.3,2.8,37.9
E02000088,62,2.2,35.8
E02000089,59,2.9,38.1
E02000090,58.2,3.5,38.3
E02000091,56.5,3.2,40.3
E02000092,55.1,4.3,40.5
E02000127,59,4.8,36.2
E02000128,61.3,3.3,35.4
E02000133,59.9,2.2,37.9
E02000134,65.1,4.1,30.8
E02000136,53.7,3.6,42.7
E02000140,57.9,4.7,37.4
E02000142,63,3.1,34
E02000144,67.9,3.5,28.6
E02000145,59,4.1,37
E02000146,66.7,3.3,30
E02000148,57.9,2.7,39.4
E02000149,61.3,3.8,35
E02000151,58.4,2.1,39.5
E02000152,61.1,3.9,35
E02000153,61.8,2.8,35.4
E02000154,60.6,3.1,36.3
E02000155,55,2.8,42.2
E02000157,58.1,2.8,39.1
E02000158,55,3.8,41.2
E02000159,56.8,2.8,40.5
E02000160,58.2,3.2,38.5
E02000161,59.9,2.7,37.4
E02000162,54.4,3.3,42.3
E02000163,58.6,2.3,39.1
E02000165,64.4,2.7,32.9
E02000313,57.7,7.2,35.1
E02000314,56.8,7.5,35.7
E02000315,57.3,5.5,37.2
E02000317,56.5,6.7,36.8
E02000318,57,5.6,37.3
E02000319,61.5,6.2,32.3
E02000320,59.9,6,34.1
E02000321,57.9,7.4,34.7
E02000323,61.5,6.7,31.7
E02000324,57.1,5.7,37.1
E02000326,69.2,4.3,26.5
E02000327,59.3,7.5,33.2
E02000328,65.1,3.6,31.3
E02000329,59,4.5,36.5
E02000331,59.6,5.4,35.1
E02000332,62.4,4.2,33.5
E02000333,64.7,3.6,31.7
E02000334,59.8,4.8,35.4
E02000335,62.4,3.7,33.8
E02000337,58,5,37
E02000339,58.5,3.6,37.9
E02000340,59.7,3.8,36.5
E02000341,56.7,4.9,38.4
E02000342,56.7,5.6,37.7
E02000343,57.3,4.8,37.9
E02000344,59.9,3.8,36.3
E02000464,58.2,4.3,37.5
E02000465,62,5,33.1
E02000466,56.6,4.6,38.8
E02000467,57.1,4.6,38.3
E02000468,58.1,3.8,38.2
E02000469,57.9,4,38.1
E02000470,62.2,3.1,34.6
E02000471,56.8,2.5,40.7
E02000472,60,3.6,36.4
E02000473,62.7,3.4,34
E02000474,60.3,4,35.8
E02000475,59.4,3,37.6
E02000476,62.9,4.6,32.6
E02000477,60.9,3.2,35.8
E02000478,53.8,2.4,43.8
E02000479,64.1,3.7,32.3
E02000480,62.6,5,32.4
E02000481,57.6,2.7,39.7
E02000482,55.8,2.4,41.7
E02000483,58.2,3.6,38.3
E02000484,61.3,3.2,35.5
E02000485,62,2.9,35.1
E02000486,58.1,3.4,38.4
E02000487,55,1.7,43.3
E02000488,59.2,2.6,38.2
E02000489,60.1,3.8,36.2
E02000490,59,4.2,36.8
E02000491,59.3,4.9,35.8
E02000492,56.9,3.1,39.9
E02000493,60,4.7,35.3
E02000661,66,5.8,28.2
E02000665,65.7,4.8,29.5
E02000668,64.4,5,30.6
E02000675,62.7,4.7,32.5
E02000678,58.8,5.6,35.5
E02000683,59.5,5.9,34.6
E02000714,61.2,6.1,32.7
E02000715,50.8,5.9,43.3
E02000716,54.4,5.5,40.1
E02000717,52.4,5.6,42.1
E02000718,51.3,6.8,41.8
E02000719,62,6.4,31.6
E02000720,56.6,6.4,37.1
E02000721,52,6.5,41.5
E02000722,62.3,7.1,30.6
E02000723,54.1,5.8,40.1
E02000724,51.4,5.6,43
E02000725,63.9,6.3,29.9
E02000727,51.5,6,42.5
E02000728,56.8,5.7,37.5
E02000729,57.4,5.8,36.8
E02000730,53,8.5,38.5
E02000731,52.2,6.1,41.7
E02000732,51.9,6.6,41.4
E02000733,58.9,6.6,34.5
E02000734,58.9,6.5,34.7
E02000735,55.8,6,38.2
E02000736,53.6,6.3,40.1
E02000737,55.4,6.9,37.7
E02000738,60.8,5.4,33.8
E02000739,58.6,5.8,35.6
E02000740,59.1,7.9,33
E02000741,58,6.1,36
E02000742,57.3,5.8,36.9
E02000743,58.5,7.6,34
E02000744,60.6,6.3,33.1
E02000745,61.2,5.8,32.9
E02000746,60.4,6.8,32.9
E02000747,67.4,5.7,26.9
E02000748,62.2,6.1,31.7
E02000749,57.5,6.7,35.8
E02000751,56.7,3.4,39.9
E02000752,62.5,4.1,33.4
E02000753,60.3,4.7,34.9
E02000754,64,4.1,31.9
E02000755,63.9,3.7,32.4
E02000756,61.5,3.9,34.6
E02000757,66.3,4,29.8
E02000758,56.3,4.2,39.5
E02000759,63.9,3.7,32.4
E02000760,56.9,3.7,39.4
E02000762,57.5,3.6,38.9
E02000763,60.6,4.7,34.6
E02000764,62.6,3.6,33.9
E02000765,59.1,4,36.9
E02000767,59.8,4.2,36
E02000768,62,3.5,34.5
E02000770,57.1,4.7,38.2
E02000772,55.3,5.3,39.5
E02000773,55.5,4.7,39.8
E02000774,55.6,5.4,38.9
E02000776,57.6,4.4,38
E02000777,59.6,3.7,36.7
E02000779,54.8,5.4,39.8
E02000781,56.1,4.9,39
E02000782,54.1,5.5,40.4
E02000783,52.1,7.5,40.4
E02000896,60.8,3.7,35.5
E02000897,58,4.7,37.3
E02000901,63.7,4.2,32.2
E02000915,66.8,4.9,28.4
E02000918,65.5,5.5,29
E02000921,62.9,6,31.1
E02000922,65.2,5.2,29.7
E02003279,54.5,2.4,43.1
E02003280,56.2,2.9,40.9
E02003281,51.2,2.5,46.3
E02003282,56.6,3,40.4
E02003283,56.2,3.3,40.6
E02003284,61,4,35
E02003285,64.1,4.6,31.3
E02003286,59.7,2.5,37.9
E02003287,48.9,3.9,47.2
E02003288,59.1,4.6,36.3
E02003289,65.4,3,31.6
E02003290,57.3,3.1,39.7
E02003291,56.5,3.7,39.8
E02003292,56.9,5.8,37.3
E02003293,56.8,5.6,37.6
E02003294,51.1,2.7,46.3
E02003295,53.6,3.8,42.6
E02003296,57.7,2.7,39.7
E02003297,55,3,42.1
E02003298,57.1,2.7,40.2
E02003299,60.2,2.8,37
E02003300,64.3,3,32.7
E02003301,64,4.2,31.8
E02003302,61.2,4.5,34.4
E02003303,63.9,3.8,32.3
E02003304,57.2,3.2,39.6
E02003305,59.3,2.9,37.7
E02003307,55.5,4,40.5
E02003308,66,3.6,30.4
E02003309,61.8,2.7,35.5
E02003311,65,3.9,31.1
E02003312,68.9,5.5,25.6
E02003313,59.7,5.3,35
E02003314,54.1,2.8,43.1
E02003315,60.7,2.8,36.5
E02003316,63.4,3.1,33.5
E02003317,61.1,2.5,36.4
E02003318,60,2.4,37.6
E02003319,62,4.3,33.7
E02003320,64,3.9,32.1
E02003321,53.6,4.4,41.9
E02003322,57.1,6.3,36.5
E02003323,59.9,4.2,35.9
E02003324,65.1,3.5,31.5
E02003325,57.8,5.3,36.9
E02003326,59.7,4.5,35.8
E02003327,61,4.5,34.5
E02003328,56.1,5.9,38
E02003329,64.5,4.3,31.2
E02003330,63.6,3.3,33.1
E02003331,56,3.4,40.6
E02003332,57.1,3.4,39.5
E02003333,56.2,5.3,38.5
E02003334,60.3,4.7,35
E02003335,58.2,5.8,36
E02003336,57.1,2.5,40.4
E02003337,54.3,4,41.7
E02003338,58.8,3.3,37.8
E02003339,58.2,2.6,39.2
E02003340,56,3.3,40.7
E02003341,63,2.4,34.6
E02003342,56.1,2.8,41.1
E02003343,55,2.1,43
E02003344,59.2,3.4,37.4
E02003345,65,2.5,32.5
E02003346,59,2.3,38.7
E02003347,70.7,3.1,26.2
E02003348,56.8,1.7,41.5
E02003349,58,2.2,39.8
