areacd,sex-001,sex-002
E02000002,52.7,47.3
E02000003,50.5,49.5
E02000004,51.1,48.9
E02000005,51.3,48.7
E02000007,52.7,47.3
E02000008,51.7,48.3
E02000009,51,49
E02000010,52.4,47.6
E02000011,51.3,48.7
E02000012,50.1,49.9
E02000013,51.8,48.2
E02000014,51.9,48.1
E02000015,51.9,48.1
E02000016,50.6,49.4
E02000017,48.4,51.6
E02000018,51.3,48.7
E02000019,51.9,48.1
E02000020,50.6,49.4
E02000021,51.3,48.7
E02000022,51.2,48.8
E02000023,52.1,47.9
E02000065,51.4,48.6
E02000066,51.7,48.3
E02000067,51.1,48.9
E02000068,52.9,47.1
E02000069,52,48
E02000070,52.2,47.8
E02000071,51.5,48.5
E02000072,52.8,47.2
E02000073,51.4,48.6
E02000074,52.7,47.3
E02000075,51.8,48.2
E02000077,52.5,47.5
E02000078,51.6,48.4
E02000079,52.8,47.2
E02000080,51.1,48.9
E02000081,52.2,47.8
E02000082,50.4,49.6
E02000083,51.6,48.4
E02000084,51.4,48.6
E02000085,52.4,47.6
E02000086,51.8,48.2
E02000087,51.1,48.9
E02000088,51.3,48.7
E02000089,50.8,49.2
E02000090,53.3,46.7
E02000091,52.9,47.1
E02000092,53.4,46.6
E02000127,53.2,46.8
E02000128,51.3,48.7
E02000133,52,48
E02000134,52,48
E02000136,52.4,47.6
E02000140,52.6,47.4
E02000142,52.6,47.4
E02000144,51.1,48.9
E02000145,54,46
E02000146,52.6,47.4
E02000148,51.8,48.2
E02000149,52,48
E02000151,51.6,48.4
E02000152,52.1,47.9
E02000153,51.4,48.6
E02000154,51.1,48.9
E02000155,51.7,48.3
E02000157,51.7,48.3
E02000158,52.7,47.3
E02000159,51.5,48.5
E02000160,51.3,48.7
E02000161,51.3,48.7
E02000162,53.4,46.6
E02000163,51.5,48.5
E02000165,51.1,48.9
E02000313,51.4,48.6
E02000314,47.5,52.5
E02000315,51.4,48.6
E02000317,51.9,48.1
E02000318,50.8,49.2
E02000319,50.2,49.8
E02000320,50.5,49.5
E02000321,52.9,47.1
E02000323,52.2,47.8
E02000324,52,48
E02000326,50.8,49.2
E02000327,51.8,48.2
E02000328,52.3,47.7
E02000329,52,48
E02000331,52,48
E02000332,50.8,49.2
E02000333,52,48
E02000334,51.1,48.9
E02000335,51.6,48.4
E02000337,51.7,48.3
E02000339,52,48
E02000340,51.4,48.6
E02000341,52.9,47.1
E02000342,54.2,45.8
E02000343,51.3,48.7
E02000344,50.7,49.3
E02000464,52.5,47.5
E02000465,51.1,48.9
E02000466,52.2,47.8
E02000467,52.1,47.9
E02000468,52.9,47.1
E02000469,51.8,48.2
E02000470,51.2,48.8
E02000471,51,49
E02000472,51.4,48.6
E02000473,51.5,48.5
E02000474,52.5,47.5
E02000475,52,48
E02000476,51.3,48.7
E02000477,51.4,48.6
E02000478,50.8,49.2
E02000479,52.6,47.4
E02000480,52.2,47.8
E02000481,52.6,47.4
E02000482,51.4,48.6
E02000483,52,48
E02000484,51.2,48.8
E02000485,51.8,48.2
E02000486,51,49
E02000487,52.2,47.8
E02000488,51.2,48.8
E02000489,52,48
E02000490,51.4,48.6
E02000491,51.4,48.6
E02000492,51.5,48.5
E02000493,52.2,47.8
E02000661,53,47
E02000665,52.1,47.9
E02000668,52.2,47.8
E02000675,51.8,48.2
E02000678,53.2,46.8
E02000683,52.4,47.6
E02000714,51,49
E02000715,51.1,48.9
E02000716,49,51
E02000717,49.8,50.2
E02000718,51.6,48.4
E02000719,50.5,49.5
E02000720,49.4,50.6
E02000721,49.1,50.9
E02000722,50.4,49.6
E02000723,47.5,52.5
E02000724,49.4,50.6
E02000725,49.7,50.3
E02000727,49.2,50.8
E02000728,48.9,51.1
E02000729,49.2,50.8
E02000730,46.1,53.9
E02000731,49.6,50.4
E02000732,50.1,49.9
E02000733,50.7,49.3
E02000734,49.8,50.2
E02000735,50.2,49.8
E02000736,49.8,50.2
E02000737,51.8,48.2
E02000738,48.9,51.1
E02000739,51.4,48.6
E02000740,52,48
E02000741,51.2,48.8
E02000742,50.4,49.6
E02000743,50.3,49.7
E02000744,51.8,48.2
E02000745,51,49
E02000746,52.1,47.9
E02000747,49.5,50.5
E02000748,51.4,48.6
E02000749,51.8,48.2
E02000751,50.9,49.1
E02000752,52,48
E02000753,52,48
E02000754,50.8,49.2
E02000755,52,48
E02000756,51.6,48.4
E02000757,51.2,48.8
E02000758,51.4,48.6
E02000759,51.6,48.4
E02000760,52,48
E02000762,50.3,49.7
E02000763,50.5,49.5
E02000764,52.9,47.1
E02000765,49.7,50.3
E02000767,50.6,49.4
E02000768,51.2,48.8
E02000770,50,50
E02000772,50.6,49.4
E02000773,50.8,49.2
E02000774,48.2,51.8
E02000776,48.6,51.4
E02000777,51.2,48.8
E02000779,50.4,49.6
E02000781,49.8,50.2
E02000782,50.5,49.5
E02000783,49.1,50.9
E02000896,51.8,48.2
E02000897,53.1,46.9
E02000901,50.9,49.1
E02000915,51.1,48.9
E02000918,48.8,51.2
E02000921,50.1,49.9
E02000922,50.4,49.6
E02003279,51.3,48.7
E02003280,51.2,48.8
E02003281,51.8,48.2
E02003282,51.2,48.8
E02003283,51.6,48.4
E02003284,51.7,48.3
E02003285,51,49
E02003286,51,49
E02003287,52.6,47.4
E02003288,50.7,49.3
E02003289,51.7,48.3
E02003290,51,49
E02003291,51.8,48.2
E02003292,50.6,49.4
E02003293,50,50
E02003294,51.9,48.1
E02003295,52.1,47.9
E02003296,50.7,49.3
E02003297,52.1,47.9
E02003298,51.5,48.5
E02003299,51,49
E02003300,50.7,49.3
E02003301,51,49
E02003302,50.9,49.1
E02003303,51,49
E02003304,51.4,48.6
E02003305,51.2,48.8
E02003307,51.6,48.4
