areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02000002,22.3,21,4.9,48.8,3
E02000003,34.9,15.6,4.2,40.7,4.6
E02000004,15.9,14.2,3.7,62.9,3.3
E02000005,30.1,17.7,4.3,44.4,3.6
E02000007,14.7,26.1,4.2,51,4
E02000008,18.7,19.3,4.1,54.6,3.2
E02000009,24.1,22.9,4.8,44.1,4.1
E02000010,15.7,19.9,4,57.3,3.1
E02000011,21.8,19.9,3.3,51.6,3.3
E02000012,58.8,8.9,3.1,25.9,3.3
E02000013,16.8,20.6,4.4,56.3,2
E02000014,15.4,18.9,3.2,60.3,2.2
E02000015,13.7,30.7,4.9,48.1,2.6
E02000016,36.6,26.6,5.1,27.4,4.3
E02000017,48.4,11.9,3.6,31.7,4.4
E02000018,20.2,20.5,4.1,52.1,3.1
E02000019,17.8,22.8,4.6,52.1,2.7
E02000020,31.1,24.5,4.4,35.7,4.3
E02000021,18.4,28.3,4.4,45.5,3.4
E02000022,26,33.8,5.3,30.2,4.7
E02000023,21.4,37.2,5.7,32.5,3.3
E02000065,7.8,49.8,4.9,34,3.4
E02000066,10.4,37.7,4.2,45.1,2.6
E02000067,10.8,22.5,5,58.5,3.2
E02000068,11.8,27.2,5,53,3
E02000069,12.6,19.2,4.4,61.3,2.6
E02000070,11.2,9.5,3.9,72.3,3.1
E02000071,9,10.3,3.4,74.2,3
E02000072,7.6,31.5,4.1,54.2,2.5
E02000073,15.7,6.4,2.6,72.5,2.8
E02000074,6.6,17.9,3.6,69.7,2.2
E02000075,10.9,4.6,2.7,79.3,2.4
E02000077,16.6,6.6,2.9,69.8,4.1
E02000078,6.7,7.6,3.2,80.8,1.7
E02000079,12.8,5.3,3.3,76.3,2.4
E02000080,16.5,7.4,3.7,69.1,3.3
E02000081,9.7,6.6,3.1,78.5,2
E02000082,10.6,6.2,3.1,76.9,3.1
E02000083,7.1,10.2,3.3,76.9,2.4
E02000084,12.1,4.6,3.4,77.5,2.5
E02000085,7.7,4.3,2.5,83.7,1.8
E02000086,5.6,2.5,2.9,87.2,1.8
E02000087,8.7,3.6,3.2,83.4,1.2
E02000088,7,2.8,2.5,86.5,1.1
E02000089,5.8,2.4,3.1,86.9,1.7
E02000090,6.3,3.3,3.9,85.1,1.4
E02000091,7.3,4.7,3.9,82.6,1.5
E02000092,5,9.6,3.8,79.1,2.5
E02000127,7.4,12.6,5.7,71.4,2.9
E02000128,7.2,5,4.9,81.1,1.9
E02000133,9.7,3.7,5,79.5,2.1
E02000134,8.2,8.4,7,73.6,2.8
E02000136,8.8,6.2,3.8,78.9,2.4
E02000140,7,11.7,4.7,74.4,2.3
E02000142,9.9,5.4,5.5,77,2.2
E02000144,14.2,6,6.3,69.8,3.7
E02000145,6.4,16.3,4.7,70.6,2.1
E02000146,9.2,5.8,6.2,76.8,2.1
E02000148,9.1,3.9,3.7,81.7,1.7
E02000149,7.1,6.7,4.6,79.6,1.9
E02000151,11.3,1.9,3.5,82.2,1.1
E02000152,8.3,9,6.6,73.1,3
E02000153,6.6,3,4,84.5,1.8
E02000154,15.7,4.1,4.4,73.8,2.1
E02000155,9.2,6.4,3.2,79.2,1.9
E02000157,10.7,2.6,3.3,81.7,1.7
E02000158,9.7,9.7,4.2,74.6,1.8
E02000159,7.5,2.9,3.1,84.4,2.2
E02000160,4.2,2.8,4.1,87.2,1.7
E02000161,17.2,2.9,3.3,75.1,1.6
E02000162,8.9,4.1,3.3,82.7,1.1
E02000163,11.1,2.1,2.8,82.7,1.3
E02000165,1.8,2.7,2.9,92.2,0.4
E02000313,5.4,43.5,4.6,43.8,2.6
E02000314,10.4,43.9,7.1,34.4,4.2
E02000315,9,37.5,4.5,45.4,3.6
E02000317,14.3,32,5.6,44,4.2
E02000318,34,23.3,4.1,29.4,9.1
E02000319,20.7,26.7,6.7,40.4,5.5
