areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02000002,23.9,37.6,4.2,30.9,3.4
E02000003,21.3,36.9,4.1,34,3.7
E02000004,23.5,37.6,5.1,30.7,3
E02000005,22.3,36.2,3.9,33.8,3.8
E02000007,23.8,37,4.2,31.7,3.3
E02000008,25.2,38.2,4,28.5,4
E02000009,22.2,36.6,3.9,33.5,3.8
E02000010,23.8,37.1,4.2,31,3.8
E02000011,25.5,34.9,4.7,31.1,3.8
E02000012,19.3,39.4,3.1,34.2,4.1
E02000013,25.9,36.3,4.4,30.1,3.2
E02000014,25.9,37.9,4.4,28.3,3.5
E02000015,23.1,36.6,4.2,32.6,3.4
E02000016,18,31.1,2.9,43.9,4.1
E02000017,23.1,35.1,3.1,34.6,4.1
E02000018,23.9,36.3,4.6,31.7,3.5
E02000019,23.4,37.6,3.6,31.8,3.6
E02000020,21.5,33.8,3.2,37.7,3.8
E02000021,23.4,37.6,3.9,31.4,3.7
E02000022,16.7,34,2.5,42.9,3.9
E02000023,20.4,35.7,3.7,36.9,3.2
E02000065,17.1,36,3.6,40.8,2.4
E02000066,20.9,36.9,4.1,35.1,3
E02000067,20,37.7,4.6,34.5,3.2
E02000068,19.9,38.8,4.1,33.7,3.5
E02000069,19.3,38.4,5,34,3.3
E02000070,20.1,42.6,5,29,3.4
E02000071,20,45.6,5.3,26,3
E02000072,20.3,37.5,3.6,36,2.7
E02000073,17.7,44.1,5.8,29.7,2.7
E02000074,22.6,41.6,5.1,27.6,3
E02000075,18.6,43.6,6.3,28.8,2.8
E02000077,20,41.3,5.4,30.2,3.1
E02000078,16.8,45,6,29.4,2.8
E02000079,17,40.2,5.7,34.1,3
E02000080,18.3,41.8,5.1,31.5,3.4
E02000081,18.5,43.1,5.6,29.8,2.9
E02000082,17,44.6,6.3,29.2,2.8
E02000083,17.7,43.3,5.5,30.7,2.9
E02000084,15.6,42.9,5.7,33.1,2.7
E02000085,18.3,47.7,5.8,25.4,2.8
E02000086,16.7,46.7,6.1,27.8,2.8
E02000087,13.6,42.1,5.2,36.6,2.5
E02000088,15.2,46.1,5.7,29.8,3.2
E02000089,15,45.5,5.9,30.5,3.2
E02000090,14.8,43.6,4.5,35,2.3
E02000091,17.3,40.3,5.2,34.4,2.8
E02000092,21.8,43,5.5,27,2.8
E02000127,20.4,39.1,4.7,32.9,3
E02000128,14.8,38.7,4.5,39.5,2.6
E02000133,10.4,32.1,2.8,52.7,2
E02000134,11.6,32.5,3.4,50.1,2.3
E02000136,16.7,40.5,4.2,35.9,2.8
E02000140,22.5,42.5,4.7,27.6,2.7
E02000142,10.4,35.1,3.2,48.7,2.6
E02000144,9,30.7,2.9,55.2,2.3
E02000145,21.6,39.7,4.4,31.7,2.7
E02000146,11.9,35.7,4,45.9,2.5
E02000148,12.2,35.4,3.9,46.1,2.4
E02000149,18.2,41.8,5.1,32.4,2.5
E02000151,11,37.7,3.8,45.1,2.4
E02000152,19.1,39.1,5,34.7,2.1
E02000153,11.5,42.1,4.3,39.4,2.7
E02000154,12.6,35.8,3.5,45.5,2.7
E02000155,20.1,41,5.4,30.7,2.7
E02000157,11.3,39.4,4,42.6,2.6
E02000158,15.9,39.6,4.6,36.8,3.1
E02000159,13.9,42.3,4.6,36.4,2.8
E02000160,12.2,42.9,4.6,37.9,2.4
E02000161,12.4,38.4,4.2,42.7,2.4
E02000162,16.8,40.7,5.3,34.1,3.1
E02000163,14.1,38.3,4.7,40.4,2.5
E02000165,15.4,49.5,5.9,26.8,2.5
E02000313,22.1,35.6,4,35.8,2.5
E02000314,15.9,36.1,4,40.5,3.4
E02000315,21.6,34.5,4.6,36.2,3
E02000317,22.3,33.2,3.6,38.2,2.7
E02000318,25,33.8,3.6,33.1,4.5
E02000319,19.9,33.2,3.4,40.2,3.4
E02000320,20.6,34.8,3.7,37.9,3
E02000321,23,32.5,4.5,36.4,3.6
E02000323,18.6,32.3,3.7,42.2,3.1
E02000324,19.6,33,4,40.3,3.1
E02000326,13,27.2,2.6,55.2,2
E02000327,17.6,35.1,3.4,41.5,2.3
E02000328,11.2,22.8,1.9,62.2,1.9
E02000329,21.7,35.2,3.9,36,3.2
E02000331,19.4,32.4,3.8,41.4,3
E02000332,14.5,33.4,3.9,45.7,2.5
E02000333,8.7,22.5,2.2,64.4,2.1
E02000334,18.4,34.2,3.8,40.9,2.7
E02000335,15.4,37.3,4.5,39.9,2.8
E02000337,24.7,35.4,4,33,2.9
E02000339,14.3,34.2,3.9,45.7,1.9
E02000340,17.4,35.2,4.8,39.6,3.1
E02000341,24.5,37.4,4.8,30.6,2.8
E02000342,17.5,42,4.1,33.7,2.6
E02000343,21.5,36.4,4.5,34.7,2.9
E02000344,16.9,38.9,5.5,36.1,2.6
E02000464,26,40.2,4.8,26.1,2.9
E02000465,22.7,41.5,4.4,28.4,2.9
E02000466,24.1,42.6,5.2,24.9,3.1
E02000467,23.4,42.9,4.4,26,3.3
E02000468,22.2,44.3,5.7,24.2,3.5
E02000469,25.8,39.4,4.3,27.4,3.1
E02000470,16.9,40.5,5.3,34.6,2.6
E02000471,19.7,43.5,6,27.5,3.3
E02000472,19.6,43.7,5.7,28.2,2.9
E02000473,16.9,44.1,5,31.2,2.7
E02000474,21,42,5,29.2,2.8
E02000475,16.6,40.9,4.8,34.9,2.8
E02000476,19.3,35,4.2,38.4,3.1
E02000477,15.5,45,5.3,31.4,2.7
E02000478,19.3,37.1,4.8,35.6,3.2
E02000479,18.1,40.4,4.5,34.4,2.6
E02000480,19.2,37.5,4.3,35.6,3.4
E02000481,18.6,46.6,5.5,26.5,2.9
E02000482,13.6,46,4.3,33.3,2.8
E02000483,20.7,43.3,6,27.3,2.7
E02000484,18.5,45.4,6,27.1,3
E02000485,17.5,44.1,5,30.6,2.8
E02000486,20.2,44.1,5.7,26.6,3.4
E02000487,14.5,46.5,5.1,30.9,3
E02000488,19.2,45,6.6,26.1,3.1
E02000489,21.1,41.6,5.5,28.8,2.9
E02000490,23.9,42.4,5.9,24.9,2.9
E02000491,22.1,41.9,4.6,28.2,3.2
E02000492,23.7,43.2,6.3,23.4,3.4
E02000493,22.9,42,4.7,27.4,2.9
E02000661,10.3,25.5,2.3,59.7,2.2
E02000665,12.4,27.5,2.7,55.1,2.4
E02000668,11.3,28.5,2.6,55.2,2.4
E02000675,15.8,33.3,3.8,44.5,2.5
E02000678,19.5,37.9,3.8,35.5,3.4
E02000683,21,36.3,3.8,35.7,3.3
E02000714,18.4,32.2,4.2,41.9,3.3
E02000715,25.3,37.5,2.9,29.6,4.7
E02000716,23.4,34.6,2.8,35.5,3.8
E02000717,26.3,34,3.3,31.5,4.9
E02000718,22.2,39.4,2.7,31.8,3.9
E02000719,19.4,32.3,3.4,41.8,3.1
E02000720,21.6,33.4,2.5,39,3.5
E02000721,26,35,2.5,32.5,4
E02000722,19,30.5,3.4,42.9,4.1
E02000723,25.6,32.4,2.6,35.3,4.1
E02000724,25.9,34.2,3.5,32.1,4.4
