areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02000002,14,29.3,40.4,14,2.4
E02000003,22.6,28.4,34.4,11.1,3.5
E02000004,29.5,31.4,30.8,6.6,1.7
E02000005,15.6,30.3,38.4,13,2.8
E02000007,14.4,24.6,45,13.1,2.8
E02000008,11.6,27.5,44.5,13.6,2.8
E02000009,11.6,26.3,43.7,14.3,4.1
E02000010,12,30.2,41.5,13.4,2.9
E02000011,23.7,28.2,33.6,11.9,2.5
E02000012,28.9,22.5,31.4,11.9,5.3
E02000013,13.6,28.5,42,13,2.8
E02000014,12.5,29,42.1,13,3.4
E02000015,12.1,20.8,48.5,15.4,3.2
E02000016,5.3,16.7,52.9,21.4,3.7
E02000017,20,22.1,35.6,17,5.3
E02000018,11.3,26.6,43.8,15.2,3.1
E02000019,12.6,30.6,39.7,14.5,2.6
E02000020,12.1,25.9,43.4,14.7,4
E02000021,17.9,26.6,38.6,14.1,2.8
E02000022,3.5,19,51.4,21.7,4.4
E02000023,10.6,20.2,47.8,17.3,4.1
E02000065,17.8,24.7,40.6,13.5,3.4
E02000066,17.8,23.7,45.1,10.8,2.7
E02000067,15.5,30.3,42.4,9.9,2
E02000068,13.2,28.9,45.3,10.5,2
E02000069,26.8,34.8,31.3,5.9,1.1
E02000070,35.6,35.9,23.7,4.2,0.6
E02000071,33.1,34.7,26.4,4.8,1
E02000072,17.1,28.2,42.2,10.5,2.1
E02000073,43.8,35.6,17.1,2.7,0.7
E02000074,18,28,44.5,8.4,1
E02000075,44.1,36.3,17.3,2,0.3
E02000077,36.6,33.4,24.6,4.4,1
E02000078,39.3,36.5,20.7,2.8,0.6
E02000079,33.1,34.1,28.5,3.9,0.4
E02000080,33.5,36.5,25,4.5,0.6
E02000081,35.6,33.7,26.3,3.6,0.8
E02000082,42.8,35,18.2,3.5,0.4
E02000083,26.6,35.6,31.9,5.4,0.6
E02000084,43.4,35.1,18.6,2.4,0.5
E02000085,31.9,39.9,24,3.6,0.7
E02000086,42.5,34.4,20.8,2.2,0.2
E02000087,46.5,33.2,18.1,2.1,0.1
E02000088,44.9,35.5,16.8,2.4,0.3
E02000089,48.5,34.1,15.6,1.5,0.3
E02000090,26.1,34.9,34.6,3.8,0.6
E02000091,32.4,32.2,32.1,3,0.4
E02000092,24.9,33.4,34.8,6.1,0.8
E02000127,23.1,31.1,37.3,7.5,0.9
E02000128,37,37.5,22,3,0.4
E02000133,58.8,25.6,14.3,1.2,0.1
E02000134,21.7,32.6,39.2,6,0.5
E02000136,40.1,29.8,25.3,4.1,0.6
E02000140,20.2,29.6,40.6,8.2,1.4
E02000142,41.3,30.6,24.6,3.1,0.5
E02000144,31.3,30.1,33.6,4.6,0.4
E02000145,18.4,32.7,39.2,8.8,1
E02000146,28.3,36.5,31.1,3.8,0.3
E02000148,52.4,29.7,16.1,1.8,0.1
E02000149,28.1,36.6,29.9,4.7,0.6
E02000151,59.1,28.9,10.7,1.1,0.1
E02000152,30.2,34.2,30.1,4.6,0.9
E02000153,52.1,33.2,12.7,1.8,0.2
E02000154,41.5,30.4,24.4,3.4,0.3
E02000155,36.9,38.2,21.2,3.1,0.6
E02000157,52.7,33.2,13,1.1,0
E02000158,45.3,28.9,21.1,4.1,0.6
E02000159,56.3,29,13,1.3,0.3
E02000160,43.4,33.6,20.6,2.1,0.3
E02000161,47.8,35,15.4,1.5,0.2
E02000162,39,34,24.3,2.5,0.3
E02000163,54,29.7,14.4,1.5,0.4
E02000165,47.2,33.5,17.1,1.9,0.2
E02000313,14.1,20.9,48.4,13.4,3.2
E02000314,11.1,26.6,43.1,15.9,3.3
E02000315,15,25.5,42.1,14.3,3.1
E02000317,14.8,22.2,46.3,13.4,3.3
E02000318,16.7,23.9,39.4,13.6,6.5
E02000319,13.7,27.5,42.4,13,3.4
E02000320,21.5,30,35.6,10.6,2.4
E02000321,11.9,22.1,46.7,14.9,4.4
E02000323,12,22.7,48,12.5,4.7
E02000324,21.1,24.2,42.6,9.7,2.4
E02000326,25,34.7,33.2,5.9,1.2
E02000327,15.7,24.1,46.8,11,2.5
E02000328,25.3,30.5,39.6,4.2,0.4
E02000329,27.1,31.7,32,7.8,1.5
E02000331,19.6,29.2,41.4,8.2,1.6
E02000332,33.9,31.1,27.7,6.1,1.2
E02000333,27.1,30.1,38.6,3.7,0.4
E02000334,29.8,30.5,31.5,7,1.3
E02000335,40.6,34.9,20.7,3,0.8
E02000337,25.9,33.3,31.5,7.6,1.7
E02000339,40.7,26.4,28,4.3,0.6
E02000340,29.6,33.1,31.8,4.8,0.7
E02000341,20.6,31.7,36.4,9.3,2
E02000342,24.2,31.2,37,6.9,0.8
E02000343,33.9,25.7,32.9,6.1,1.4
E02000344,42,30.7,22.5,3.8,0.9
E02000464,22.5,32.4,36.7,7.2,1.3
E02000465,21.8,31.5,37.1,8,1.5
E02000466,31.4,32.2,28.8,6.8,0.9
E02000467,15.1,23.2,49.2,11.2,1.3
E02000468,35.6,32.9,25.8,4.6,1.1
E02000469,20.3,33.7,37.4,7,1.6
E02000470,33.2,34.7,28.4,3.2,0.4
E02000471,49.1,33.7,13.9,2.7,0.6
E02000472,36.1,35.3,23.4,4.2,0.9
E02000473,39.9,32.7,22.9,4,0.5
E02000474,26.6,31.3,34.5,6.6,1
E02000475,41.3,30.3,24.3,3.8,0.3
E02000476,16,25.9,48,8.9,1.1
E02000477,46.4,35.1,15.7,2.3,0.4
E02000478,61.3,25.1,11.4,1.9,0.4
E02000479,22.4,31.2,38,7.3,1
E02000480,20.8,28.8,38.6,10,1.8
E02000481,41.9,36.4,18.2,3.1,0.4
E02000482,55.9,30.4,12.5,1.2,0
E02000483,29.5,33.7,32,4.4,0.4
E02000484,41.3,33.1,21.7,3.1,0.7
E02000485,33.6,41.2,21.6,3,0.5
E02000486,38.6,35.2,22.4,3.2,0.7
E02000487,57.7,30.4,10.4,1.4,0.1
E02000488,45.1,34.6,18.1,1.7,0.5
E02000489,38.1,30.4,26.1,4.5,0.9
E02000490,36,33,25.5,4.4,1.1
E02000491,25.4,31.6,34,8.1,0.9
E02000492,42.5,33.8,19.8,3,0.9
E02000493,25.3,30.2,35,8,1.6
E02000661,21.9,29.5,41.2,6.3,1.1
E02000665,23.7,28.5,39.5,6.9,1.4
E02000668,32.4,31.8,29.1,5.3,1.3
E02000675,29.2,31.2,30.7,7.6,1.3
E02000678,19.6,25.9,40.1,11.2,3.2
E02000683,18.5,29.7,41.2,8.6,2
E02000714,17,24.8,38.8,14.3,5.1
E02000715,12.9,19,41.6,20.5,6.1
E02000716,17.3,20.2,40.7,16.9,4.9
E02000717,12.6,19.7,39.8,20.6,7.3
E02000718,9.2,18.5,42,23.8,6.6
E02000719,13.5,21.6,44,15.6,5.3
E02000720,23.6,20.8,33,15.9,6.6
E02000721,16.1,17.7,39,19.7,7.5
E02000722,12.9,22,44.8,15.2,5
E02000723,18.4,22.6,30.6,18,10.4
E02000724,16.8,21.5,33.1,18.1,10.6
E02000725,7.1,23.2,48.3,17.1,4.3
E02000727,14.2,18.7,36.2,21.1,9.8
E02000728,19.3,21.7,34.9,16.4,7.6
E02000729,18.4,21.6,38.1,13.2,8.7
E02000730,15.9,19.3,36,19,9.9
