areacd,heating_type_3a-001,heating_type_3a-002
E02000002,2.2,97.8
E02000003,2.3,97.7
E02000004,1,99
E02000005,1.9,98.1
E02000007,2,98
E02000008,1.8,98.2
E02000009,1.8,98.2
E02000010,1.8,98.2
E02000011,2.9,97.1
E02000012,1.9,98.1
E02000013,1.9,98.1
E02000014,2.4,97.6
E02000015,2.3,97.7
E02000016,3.3,96.7
E02000017,2.8,97.2
E02000018,1.8,98.2
E02000019,1.9,98.1
E02000020,2.6,97.4
E02000021,2.7,97.3
E02000022,2.4,97.6
E02000023,2.8,97.2
E02000065,2.8,97.2
E02000066,2.4,97.6
E02000067,2.6,97.4
E02000068,2.1,97.9
E02000069,1.9,98.1
E02000070,1.8,98.2
E02000071,1.6,98.4
E02000072,2.6,97.4
E02000073,1.3,98.7
E02000074,2.3,97.7
E02000075,1,99
E02000077,1.5,98.5
E02000078,1.3,98.7
E02000079,1.6,98.4
E02000080,1.5,98.5
E02000081,1.5,98.5
E02000082,1.1,98.9
E02000083,1.5,98.5
E02000084,1,99
E02000085,1.8,98.2
E02000086,1.4,98.6
E02000087,1,99
E02000088,0.9,99.1
E02000089,0.8,99.2
E02000090,1.7,98.3
E02000091,1.6,98.4
E02000092,1.9,98.1
E02000127,1.3,98.7
E02000128,1.1,98.9
E02000133,0.7,99.3
E02000134,1.4,98.6
E02000136,1.4,98.6
E02000140,1.3,98.7
E02000142,1.4,98.6
E02000144,1.4,98.6
E02000145,1.9,98.1
E02000146,1.1,98.9
E02000148,0.6,99.4
E02000149,1.1,98.9
E02000151,0.6,99.4
E02000152,1,99
E02000153,0.6,99.4
E02000154,1.4,98.6
E02000155,1.1,98.9
E02000157,0.5,99.5
E02000158,0.7,99.3
E02000159,0.9,99.1
E02000160,0.9,99.1
E02000161,1.3,98.7
E02000162,1.2,98.8
E02000163,0.9,99.1
E02000165,0.6,99.4
E02000313,3.1,96.9
E02000314,2.4,97.6
E02000315,2.2,97.8
E02000317,2.8,97.2
E02000318,2.9,97.1
E02000319,2.3,97.7
E02000320,2.3,97.7
E02000321,2.5,97.5
E02000323,2.5,97.5
E02000324,1.9,98.1
E02000326,2.7,97.3
E02000327,2.4,97.6
E02000328,1.7,98.3
E02000329,2.4,97.6
E02000331,1.7,98.3
E02000332,1.7,98.3
E02000333,2.3,97.7
E02000334,2,98
E02000335,1.3,98.7
E02000337,1.4,98.6
E02000339,2.1,97.9
E02000340,2.1,97.9
E02000341,1.5,98.5
E02000342,1.3,98.7
E02000343,1.3,98.7
E02000344,0.9,99.1
E02000464,1.1,98.9
E02000465,1.7,98.3
E02000466,1.2,98.8
E02000467,1.8,98.2
E02000468,1.2,98.8
E02000469,1.6,98.4
E02000470,1.5,98.5
E02000471,1.2,98.8
E02000472,1.3,98.7
E02000473,1.2,98.8
E02000474,1.6,98.4
E02000475,1.2,98.8
E02000476,1.7,98.3
E02000477,0.9,99.1
E02000478,0.9,99.1
E02000479,2.3,97.7
E02000480,1.8,98.2
E02000481,1.2,98.8
E02000482,0.5,99.5
E02000483,1.7,98.3
E02000484,1.1,98.9
E02000485,1.3,98.7
E02000486,2.5,97.5
E02000487,0.7,99.3
E02000488,1,99
E02000489,1.5,98.5
E02000490,1.2,98.8
E02000491,1.7,98.3
E02000492,1.1,98.9
E02000493,1.8,98.2
E02000661,2.2,97.8
E02000665,2,98
E02000668,1.5,98.5
E02000675,1.8,98.2
E02000678,2.5,97.5
E02000683,1.8,98.2
E02000714,2,98
E02000715,2.6,97.4
E02000716,2.1,97.9
E02000717,2.8,97.2
E02000718,3.6,96.4
E02000719,2.5,97.5
E02000720,2.3,97.7
E02000721,2.4,97.6
E02000722,3.2,96.8
E02000723,2.9,97.1
E02000724,2.4,97.6
E02000725,3.4,96.6
E02000727,2.8,97.2
E02000728,2.1,97.9
E02000729,2.2,97.8
E02000730,2.1,97.9
E02000731,2.7,97.3
E02000732,2.6,97.4
E02000733,2.7,97.3
E02000734,2.6,97.4
E02000735,3.3,96.7
E02000736,2.1,97.9
E02000737,2.4,97.6
E02000738,1.9,98.1
E02000739,2.5,97.5
E02000740,2.6,97.4
E02000741,2.5,97.5
E02000742,2.5,97.5
E02000743,2.7,97.3
E02000744,2.3,97.7
E02000745,2.3,97.7
E02000746,2.3,97.7
E02000747,3.1,96.9
E02000748,3.1,96.9
E02000749,2,98
E02000751,1.1,98.9
E02000752,1.8,98.2
E02000753,1.8,98.2
E02000754,1.3,98.7
E02000755,2.3,97.7
E02000756,1.7,98.3
E02000757,2,98
E02000758,1.9,98.1
E02000759,2.1,97.9
E02000760,2.1,97.9
E02000762,1.5,98.5
E02000763,1.3,98.7
E02000764,1.9,98.1
E02000765,2.5,97.5
E02000767,2.4,97.6
E02000768,1.3,98.7
E02000770,2.4,97.6
E02000772,2.2,97.8
E02000773,1.9,98.1
E02000774,1.9,98.1
E02000776,1.8,98.2
E02000777,2.2,97.8
E02000779,2.4,97.6
E02000781,2.1,97.9
E02000782,3.2,96.8
E02000783,2.4,97.6
E02000896,1.1,98.9
E02000897,1.6,98.4
E02000901,1.8,98.2
E02000915,2.9,97.1
E02000918,2.4,97.6
E02000921,2.7,97.3
E02000922,2.9,97.1
E02003279,0.6,99.4
E02003280,1,99
E02003281,1.2,98.8
E02003282,1.2,98.8
E02003283,1.2,98.8
E02003284,1.7,98.3
E02003285,1.6,98.4
E02003286,0.5,99.5
E02003287,0.9,99.1
E02003288,1.5,98.5
E02003289,1.1,98.9
E02003290,1.7,98.3
E02003291,1.9,98.1
E02003292,1.9,98.1
E02003293,2.8,97.2
E02003294,0.7,99.3
E02003295,0.9,99.1
E02003296,1,99
E02003297,1,99
E02003298,1.2,98.8
E02003299,1,99
E02003300,1.4,98.6
E02003301,1.6,98.4
E02003302,1.5,98.5
E02003303,1.6,98.4
E02003304,1.1,98.9
E02003305,0.9,99.1
E02003307,1,99
E02003308,2.8,97.2
E02003309,1.7,98.3
E02003311,2.4,97.6
E02003312,3.7,96.3
E02003313,2,98
E02003314,2,98
E02003315,1.5,98.5
E02003316,0.8,99.2
E02003317,1.5,98.5
E02003318,0.9,99.1
E02003319,2.8,97.2
E02003320,1.7,98.3
E02003321,1.4,98.6
E02003322,2.7,97.3
E02003323,2.4,97.6
E02003324,1.9,98.1
E02003325,2.5,97.5
E02003326,2.4,97.6
E02003327,1.9,98.1
E02003328,2.4,97.6
E02003329,3.4,96.6
E02003330,2.3,97.7
E02003331,1.6,98.4
E02003332,1.2,98.8
E02003333,3.7,96.3
E02003334,2.5,97.5
E02003335,3.1,96.9
E02003336,1.1,98.9
E02003337,1.5,98.5
E02003338,1.6,98.4
E02003339,1.1,98.9
E02003340,1.4,98.6
E02003341,0.9,99.1
E02003342,1.2,98.8
E02003343,0.5,99.5
E02003344,1.4,98.6
E02003345,0.9,99.1
E02003346,0.9,99.1
E02003347,1.4,98.6
E02003348,0.5,99.5
E02003349,0.9,99.1
E02003350,0.9,99.1
E02003351,0.9,99.1
E02003719,1.7,98.3
E02003720,1.6,98.4
E02003721,1.6,98.4
E02003722,1.9,98.1
E02003723,1.8,98.2
E02003724,1.6,98.4
E02003725,2.1,97.9
E02003726,2.2,97.8
E02003727,1.9,98.1
E02003728,1.2,98.8
E02003729,1.1,98.9
E02003731,1.1,98.9
E02003732,0.8,99.2
E02003733,0.5,99.5
E02003734,1.2,98.8
E02003735,1,99
E02003736,0.9,99.1
E02003737,1.1,98.9
E02003738,0.5,99.5
E02003739,0.4,99.6
E02003740,0.8,99.2
E02003752,1,99
E02003759,0.4,99.6
E02003775,0.5,99.5
E02003776,1,99
E02003777,0.5,99.5
E02003778,0.7,99.3
E02003780,0.6,99.4
E02003781,1.2,98.8
E02003784,1.2,98.8
E02003785,1.4,98.6
E02003786,0.9,99.1
E02003788,0.5,99.5
E02003789,0.6,99.4
E02003790,0.7,99.3
E02003791,0.7,99.3
E02003792,0.8,99.2
E02004356,1,99
E02004357,1,99
E02004358,1.6,98.4
E02004359,1.5,98.5
E02004361,1,99
E02004362,1.2,98.8
E02004363,2.4,97.6
E02004364,1.8,98.2
E02004365,3,97
E02004366,2.8,97.2
E02004367,1.4,98.6
E02004368,1.1,98.9
E02004369,0.9,99.1
E02004370,1.4,98.6
E02004371,1.8,98.2
E02004372,1.8,98.2
E02004373,1.5,98.5
E02004374,2.5,97.5
E02004375,2.5,97.5
E02004376,3.9,96.1
E02004377,1.8,98.2
E02004378,4.6,95.4
E02004379,2,98
E02004381,1.5,98.5
E02004382,1.4,98.6
E02004386,1.5,98.5
E02004387,2,98
E02004388,1.1,98.9
E02004389,0.8,99.2
E02004390,0.6,99.4
E02004391,1.8,98.2
E02004392,1.5,98.5
E02004393,2.1,97.9
E02004394,1.7,98.3
E02004395,2.2,97.8
E02004396,1.6,98.4
E02004397,1.3,98.7
E02004398,1.4,98.6
E02004399,0.9,99.1
E02004400,0.5,99.5
E02004401,0.9,99.1
E02004402,2.2,97.8
E02004403,1.3,98.7
E02004404,1.4,98.6
E02004405,0.4,99.6
E02004406,0.8,99.2
E02004407,1,99
E02004408,1,99
E02004409,1.3,98.7
E02004410,0.8,99.2
E02004411,0.8,99.2
E02004412,0.8,99.2
E02004413,1.8,98.2
E02004414,0.6,99.4
E02004415,1.7,98.3
E02004416,2.2,97.8
E02004417,1.2,98.8
E02004418,0.6,99.4
E02004419,1.4,98.6
E02004420,1.1,98.9
E02004421,0.8,99.2
E02004422,0.8,99.2
E02004423,0.7,99.3
E02004424,0.2,99.8
E02004425,0.6,99.4
E02004426,1,99
E02004427,0.5,99.5
E02004428,0.6,99.4
E02004429,0.9,99.1
E02004430,0.6,99.4
E02004431,1,99
E02004432,0.5,99.5
E02004433,0.9,99.1
E02004434,2.3,97.7
