areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02000002,31.8,44.4,19.1,4.7
E02000003,29.4,46.8,18.3,5.4
E02000004,23.6,42.6,24.8,9
E02000005,28,47.7,19.7,4.7
E02000007,37.4,43.8,15.1,3.7
E02000008,32.6,45.1,17.7,4.5
E02000009,34.2,46.9,14.8,4.1
E02000010,33.4,45.9,16.5,4.1
E02000011,29.9,46.2,19,4.9
E02000012,23.4,44.5,23.8,8.4
E02000013,34.2,45.6,16.2,4
E02000014,34.5,46.2,15.1,4.2
E02000015,39,43.5,13.8,3.7
E02000016,60.6,32.8,5.7,0.8
E02000017,40.7,40.4,14.9,4
E02000018,35.2,44.8,16.5,3.5
E02000019,31.2,46.7,18.4,3.7
E02000020,35,48.2,13.8,3
E02000021,33.3,46.1,16.3,4.3
E02000022,48.2,42.8,7.6,1.4
E02000023,37.5,46.2,13.4,2.9
E02000065,34.2,44.7,16.4,4.7
E02000066,39.9,42.4,14.3,3.5
E02000067,31.7,48.2,15.4,4.7
E02000068,36.5,43.9,15,4.7
E02000069,25.4,45.4,21.8,7.4
E02000070,18.7,44.9,25.4,10.9
E02000071,21.6,44.2,24,10.3
E02000072,29.9,45.2,19.8,5.1
E02000073,14.8,42.6,30.6,12
E02000074,26.5,45.8,21.2,6.4
E02000075,16,44.5,28.3,11.2
E02000077,19.3,46.6,23.9,10.2
E02000078,15.6,43.9,29.3,11.2
E02000079,27.6,45.5,20.7,6.2
E02000080,20.8,45.5,25.1,8.6
E02000081,21.5,46.3,23.5,8.7
E02000082,15.6,43.9,28.7,11.8
E02000083,21.6,47.6,23.5,7.3
E02000084,14.1,44.2,29.8,12
E02000085,16.2,45.6,27.9,10.4
E02000086,12.6,44.4,30.7,12.3
E02000087,15.4,44.2,29,11.4
E02000088,13.2,45.8,29.3,11.6
E02000089,13.1,46.8,30.1,10.1
E02000090,26.7,49.2,18.1,6
E02000091,24.8,45.3,22.2,7.7
E02000092,24.2,44.7,23.7,7.4
E02000127,31.6,47,16.6,4.8
E02000128,16.3,49.8,26.4,7.5
E02000133,11.2,46.4,30.5,11.9
E02000134,33.2,49.5,13.9,3.5
E02000136,19.2,40.9,27.4,12.5
E02000140,28.4,43.4,20.4,7.8
E02000142,18.6,49.5,23.8,8
E02000144,30.8,47.8,17.3,4.1
E02000145,27.9,45,20.5,6.5
E02000146,24.1,51.5,19.4,5
E02000148,14.7,47.5,28.2,9.6
E02000149,22.4,45.4,23.9,8.3
E02000151,12.3,47.7,31,9
E02000152,22.5,46.5,23.6,7.3
E02000153,10.5,43.5,33.7,12.3
E02000154,22.4,45.5,24,8.1
E02000155,18.3,47.8,25.7,8.3
E02000157,11.9,48.4,28.9,10.9
E02000158,20,43.2,28.2,8.5
E02000159,10.2,38.2,33.6,18.1
E02000160,12,42.3,32.4,13.3
E02000161,12.1,48.5,29.7,9.6
E02000162,20,42.9,27,10.2
E02000163,11.9,44,31.3,12.9
E02000165,7.9,36,37.9,18.2
E02000313,46.7,40.8,10,2.4
E02000314,37.7,46.3,13,3
E02000315,41,42.8,13.6,2.6
E02000317,49,40.6,8.9,1.4
E02000318,46.9,39.9,10.8,2.4
E02000319,45.1,42.6,10.2,2.2
E02000320,37,44.4,14,4.6
E02000321,49.4,40.1,9.1,1.5
E02000323,55,34.5,8.3,2.3
E02000324,44.3,41.6,10.8,3.3
E02000326,38.4,48,10.3,3.3
E02000327,48.4,41.9,8,1.8
E02000328,42.3,45,10.5,2.3
E02000329,35.3,43.6,16,5.1
E02000331,38.2,45.7,12.4,3.7
E02000332,29,48.9,17.2,4.9
E02000333,36,49,12.2,2.8
E02000334,26.8,49.1,19.2,5
E02000335,22.9,50.5,20.6,6
E02000337,30.3,48.7,16.3,4.7
E02000339,31.5,46.2,16.5,5.9
E02000340,33.9,43.9,16.3,5.9
E02000341,33,46.4,16.7,3.9
E02000342,31.5,48,16.1,4.4
E02000343,27.4,44.7,21.1,6.8
E02000344,18.1,48.4,24.8,8.6
E02000464,22.6,42.2,26,9.3
E02000465,26.1,43.5,22.9,7.5
E02000466,20.3,41.1,27,11.7
E02000467,33.8,43.5,17.2,5.4
E02000468,17,42.7,29.1,11.2
E02000469,26.9,43.3,22.2,7.6
E02000470,18.5,50,24.3,7.2
E02000471,11.5,39.4,33.7,15.4
E02000472,16.3,44.7,28.4,10.6
E02000473,15.2,45.1,28.1,11.7
E02000474,24.4,45.1,23.6,6.9
E02000475,20,44.8,24.7,10.5
E02000476,44.6,39.9,11.7,3.8
E02000477,13.7,46.5,29.1,10.6
E02000478,10.3,31.3,34.6,23.7
E02000479,29.1,48.1,17.3,5.4
E02000480,30.4,45.4,17.9,6.2
E02000481,17.1,43.6,28.1,11.1
E02000482,13.7,42.5,31.8,12
E02000483,26.9,44.1,21.3,7.7
E02000484,15.6,43.1,29.6,11.7
E02000485,18.8,48.7,25,7.5
E02000486,20.5,47,24.6,7.9
E02000487,8.4,41.8,35.4,14.4
E02000488,14.7,47.1,27.7,10.5
E02000489,21.2,46.9,23.8,8.1
E02000490,21.5,44.5,24.8,9.2
E02000491,23.9,44.6,23.7,7.7
E02000492,14.7,41.9,29.3,14.1
E02000493,27,43.4,21.6,8
E02000661,48.5,42.1,7.9,1.6
E02000665,45.6,44.3,8.6,1.4
E02000668,32.5,52,13.1,2.3
E02000675,30.7,48.1,16.8,4.4
E02000678,34.9,45.4,15,4.7
E02000683,40.5,42.4,14.1,3
E02000714,47.7,42,8.2,2.1
