areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02000002,79.4,2.7,17.9
E02000003,72.6,2.8,24.5
E02000004,83.1,1.8,15.1
E02000005,74.1,3.5,22.4
E02000007,78.4,1.9,19.6
E02000008,76.2,2.1,21.7
E02000009,71.1,3.1,25.8
E02000010,74.3,2.8,22.9
E02000011,73,3.1,23.9
E02000012,81.1,2.4,16.4
E02000013,75.1,2.4,22.5
E02000014,73.9,2.5,23.5
E02000015,75.7,2.4,21.9
E02000016,59.7,3,37.3
E02000017,64.2,3.1,32.7
E02000018,73.8,2.3,23.9
E02000019,74.9,2.6,22.5
E02000020,69.4,3.3,27.3
E02000021,71.2,3.1,25.7
E02000022,68.9,3.7,27.5
E02000023,74.8,2.5,22.7
E02000065,73.5,3.3,23.2
E02000066,76.6,2.8,20.6
E02000067,76.9,2.9,20.2
E02000068,79.8,2.3,17.9
E02000069,83.4,2.6,13.9
E02000070,88.4,2.5,9.1
E02000071,89.7,1.8,8.5
E02000072,82.6,2.8,14.6
E02000073,90.4,2.4,7.2
E02000074,88.4,2.2,9.4
E02000075,91.9,2.6,5.5
E02000077,86.3,3.1,10.7
E02000078,91.3,1.8,7
E02000079,85.1,2.4,12.5
E02000080,85.2,3,11.8
E02000081,89.1,2.4,8.5
E02000082,90.1,2.3,7.7
E02000083,88,2.6,9.4
E02000084,91,2.3,6.7
E02000085,91.4,1.6,6.9
E02000086,93.9,1.5,4.6
E02000087,92.2,1.9,6
E02000088,94,1.6,4.4
E02000089,93.4,1.6,5.1
E02000090,89.7,2.1,8.1
E02000091,90.8,2,7.2
E02000092,91.2,1.8,7
E02000127,84.8,2.9,12.4
E02000128,89,3.2,7.9
E02000133,88.7,3.1,8.2
E02000134,79.4,3.9,16.6
E02000136,91.2,2.2,6.6
E02000140,89,2.3,8.8
E02000142,85.6,3.3,11.1
E02000144,75.7,5,19.3
E02000145,85.1,2.8,12.1
E02000146,85.4,3.6,11
E02000148,90.1,3,6.8
E02000149,89,2.7,8.3
E02000151,89,3.4,7.6
E02000152,87.7,3.3,8.9
E02000153,92.4,2.5,5.1
E02000154,84.2,3.4,12.3
E02000155,89.9,2.6,7.5
