areacd,disability_3a-001,disability_3a-002
E02000002,15.5,84.5
E02000003,12.2,87.8
E02000004,15,85
E02000005,12.5,87.5
E02000007,15.8,84.2
E02000008,15.7,84.3
E02000009,12.3,87.7
E02000010,13.6,86.4
E02000011,13.8,86.2
E02000012,11.7,88.3
E02000013,14.6,85.4
E02000014,15.2,84.8
E02000015,14,86
E02000016,9.7,90.3
E02000017,11.9,88.1
E02000018,14.2,85.8
E02000019,14.3,85.7
E02000020,10.8,89.2
E02000021,12.5,87.5
E02000022,9.8,90.2
E02000023,13.1,86.9
E02000065,12.1,87.9
E02000066,15.3,84.7
E02000067,14,86
E02000068,15,85
E02000069,15.2,84.8
E02000070,15.5,84.5
E02000071,15.2,84.8
E02000072,15.5,84.5
E02000073,12.5,87.5
E02000074,18,82
E02000075,14.4,85.6
E02000077,15,85
E02000078,14,86
E02000079,15.9,84.1
E02000080,13,87
E02000081,16.5,83.5
E02000082,11.7,88.3
E02000083,15.7,84.3
E02000084,12.6,87.4
E02000085,12.8,87.2
E02000086,12.6,87.4
E02000087,13.7,86.3
E02000088,13.3,86.7
E02000089,14.4,85.6
E02000090,16,84
E02000091,16.4,83.6
E02000092,19.3,80.7
E02000127,17.3,82.7
E02000128,13.8,86.2
E02000133,11.3,88.7
E02000134,13.6,86.4
E02000136,17.1,82.9
E02000140,19.5,80.5
E02000142,12.2,87.8
E02000144,11.3,88.7
E02000145,17.8,82.2
E02000146,14,86
E02000148,12.2,87.8
E02000149,15.2,84.8
E02000151,12,88
E02000152,15.9,84.1
E02000153,11,89
E02000154,13.1,86.9
E02000155,17,83
E02000157,12.8,87.2
E02000158,15.9,84.1
E02000159,12.2,87.8
E02000160,13.4,86.6
E02000161,12.5,87.5
E02000162,16.5,83.5
E02000163,14.1,85.9
E02000165,13,87
E02000313,15.5,84.5
E02000314,13.9,86.1
E02000315,15.6,84.4
E02000317,16,84
E02000318,13,87
E02000319,13.4,86.6
E02000320,14.1,85.9
E02000321,16.2,83.8
