areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00014980,62.9,28.6,2.4,4.8,1.4
E00014981,60.3,28.8,4.8,2.6,3.4
E00014982,63.6,28.6,6,1.6,0.3
E00014983,75.4,20.6,2.6,0,1.4
E00014984,80.1,17.5,0.6,0,1.8
E00014985,73.3,22.2,0.6,1.3,2.6
E00014986,68.6,21.3,5,1.9,3.1
E00014987,80.6,16.1,1.7,1.7,0
E00014988,76.6,16.1,4.1,1.3,1.9
E00014989,60.6,32.2,3,3,1.2
E00014990,58.9,26.6,4.2,4.9,5.5
E00014993,62.9,28.3,5.3,1.3,2.3
E00014994,77.4,13.8,5,2.5,1.4
E00014995,55.9,35.4,4.5,2.7,1.5
E00014996,63.7,27.7,3.5,3.5,1.6
E00014997,60.6,26.6,8.4,2.2,2.2
E00014998,59.6,17,6.4,10.6,6.4
E00014999,69.3,17.6,7.7,3.1,2.2
E00015000,76.4,18.6,2.9,2.1,0
E00015001,75.5,18.1,4.5,1.2,0.6
E00015002,65.9,19.7,5,4.4,5
E00015003,69.8,22.5,1.8,1.5,4.4
E00015004,73.8,20.5,4.4,1.1,0.3
E00015005,70.6,19.2,6.5,1.9,1.9
E00015006,69.8,23.1,4.5,1.9,0.6
E00015007,74.9,19.2,2,2.3,1.7
E00015008,56.4,34.7,3.3,3.3,2.2
E00015009,68.8,26.1,1.4,2.5,1.1
E00015010,47.6,41.5,3.7,2.6,4.6
E00015011,45.8,32.3,10.4,4.6,6.9
E00015012,64.3,29.3,2.7,2.1,1.6
E00015013,59.8,31.7,3.1,3.8,1.6
E00015014,59.4,28.3,5.9,4,2.4
E00015015,62.4,27.8,5.9,2.4,1.5
E00015016,60.9,29.4,3.8,3.6,2.3
E00015017,70.3,20.7,4.1,1.4,3.4
E00015018,69,26,2.9,1.8,0.3
E00015019,53.1,29.9,12.5,3.1,1.3
E00015020,58.6,26.5,7.7,4.4,2.8
E00015021,49.2,32.8,8.9,3.9,5.3
E00015022,62.9,28.6,3.7,3.1,1.7
